,0
0,59.862622837245745
1,27.696288167630456
2,74.41854603005436
3,54.1388452288577
4,40.20448466340949
5,42.88298385050705
6,25.63284543428736
7,82.6228556600214
8,84.5988115742644
9,22.37925776541779
10,46.174116542317215
11,92.66989779417497
12,44.52213251773616
13,67.77209767138692
14,8.204643255736784
15,18.50457605615987
16,10.080612685035014
17,5.4411092403445025
18,3.9099870396550003
19,67.73621732330733
20,55.80831404889948
21,9.470986789165067
22,21.78634811932171
23,45.44054208916245
24,68.34625628377361
25,1.392460543751227
26,26.966363874181575
27,74.60315010137553
28,27.36191301047645
29,87.63750436229039
30,8.59004863600147
31,93.6676194221669
