,0
0,47.45230321229272
1,17.631303574058173
2,80.4466818854593
3,57.74423127250639
4,32.54754270780453
5,41.849508626718816
6,41.40508495998185
7,97.58922540685785
8,89.2352425670386
9,22.41571814915119
10,50.262237975227244
11,127.65544647902934
12,54.57020721053571
13,73.29531621609765
14,7.329955468148256
15,19.601170921729086
16,21.89755621851053
17,7.306912302311865
18,14.109126475561531
19,58.3806571935268
20,42.76714975857406
21,40.20638561263503
22,30.592031902516965
23,11.466290439846418
24,61.00345946421212
25,31.515755057133966
26,30.803804175758295
27,23.70923243638064
28,2.0532202148437193
29,77.55535627680862
30,7.73203394101651
31,67.56361675096034
