,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
1,Purdue,127.82564428552789,94.23993286628674,16.5,22.4,31.2,54.7,33.58571141924115,14.765883965737103,2024-02-06
0,Houston,118.07764556871932,85.28346158338763,13.7,38.7,28.9,47.9,32.794183985331685,13.209402231052326,2024-02-06
2,Connecticut,124.59553190176796,95.8080730185053,15.6,35.8,32.5,59.0,28.78745888326266,10.762249918790223,2024-02-06
3,Auburn,120.2620330710773,92.72382257466325,15.0,36.5,29.7,55.1,27.538210496414052,10.142558402812575,2024-02-06
4,Arizona,121.1391422802828,94.93213745146303,16.3,24.6,34.7,54.8,26.207004828819763,9.815772945580054,2024-02-06
5,Alabama,126.71588357511418,99.44943416061594,16.900000000000002,35.8,31.7,58.1,27.26644941449824,9.653034142843929,2024-02-06
7,BYU,121.54792084315736,96.65211308062445,15.8,28.7,29.7,60.1,24.89580776253291,9.275592735145075,2024-02-06
6,Tennessee,118.52156314950484,93.17224765432492,14.8,36.3,30.9,52.3,25.349315495179923,8.679632452059753,2024-02-06
9,North Carolina,117.05843808972284,93.38846069068543,14.3,27.6,29.7,50.6,23.669977399037407,8.59768621341282,2024-02-06
12,Illinois,121.59505699830622,98.28102291833063,15.8,23.200000000000003,32.3,54.0,23.314034079975585,8.433960788785106,2024-02-06
10,Kansas,119.73805804730114,95.9403045478644,16.7,27.500000000000004,32.9,56.5,23.797753499436737,8.20277963465641,2024-02-06
11,Marquette,117.52317029637987,94.31833539321234,14.8,28.000000000000004,33.3,57.7,23.204834903167537,8.117549290932198,2024-02-06
17,Creighton,117.2377980947829,97.35330119442882,15.4,15.6,31.8,60.2,19.88449690035408,7.345743109215987,2024-02-06
8,Iowa St.,115.34136800619136,91.90702172660532,15.9,34.7,34.1,53.7,23.434346279586038,7.2623012305474814,2024-02-06
14,Wisconsin,121.19016163267383,98.53800097152074,14.9,31.3,35.7,53.6,22.65216066115309,7.1400680033033845,2024-02-06
13,Michigan St.,117.91125582604836,95.86549166054463,15.0,31.6,31.0,52.3,22.045764165503726,7.062316140957274,2024-02-06
20,Dayton,119.63798397103722,100.0638806716068,15.3,21.3,30.9,53.5,19.57410329943042,6.5112530126525545,2024-02-06
19,Duke,119.83485253121202,100.03810996364165,13.7,28.3,33.9,54.1,19.796742567570377,6.039362966217929,2024-02-06
15,Saint Mary's,114.72808543812364,93.70116358466302,16.5,34.0,32.4,52.2,21.02692185346062,5.8494223306109765,2024-02-06
18,Baylor,122.37477733771334,101.71574554267148,17.1,31.8,32.8,52.9,20.659031795041855,5.7189093949755305,2024-02-06
23,Gonzaga,117.09679334277388,98.3034651098479,14.9,25.7,32.6,57.5,18.793328232925973,5.674780222084843,2024-02-06
16,New Mexico,115.98196042934188,96.02579438673676,14.2,34.8,31.5,53.6,19.95616604260512,5.621861285989122,2024-02-06
