,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
239,Ball St.,105.67457324092528,111.58015261905918,18.7,29.1,35.3,50.2,-5.905579378133893,-10.782853420661676,2024-02-04
242,North Carolina Central,100.18657460837758,105.94565743596436,17.9,37.9,27.2,48.3,-5.759082827586781,-10.790890524827937,2024-02-04
226,Mercer,101.47172120745732,105.98312703150424,17.9,40.5,34.1,47.9,-4.511405824046918,-10.83690755266862,2024-02-04
237,Marist,96.78803221137848,102.07690650896627,18.5,36.7,32.3,50.3,-5.288874297587796,-10.840663321528554,2024-02-04
212,Norfolk St.,103.4931888007715,107.32748622254428,19.4,42.1,34.0,46.9,-3.8342974217727743,-10.847471427281393,2024-02-04
223,Abilene Christian,102.33925455872026,106.69055538266872,17.8,42.8,32.5,45.9,-4.351300823948463,-10.869493502608561,2024-02-04
229,Utah Valley,99.07836106255536,103.86158759679005,18.3,39.2,33.7,48.2,-4.783226534234686,-10.90736818588316,2024-02-04
253,North Dakota,105.11371365265516,111.85755653584243,15.1,31.3,36.0,50.3,-6.74384288318727,-10.948094158744233,2024-02-04
218,Saint Peter's,96.7548657554162,100.67304190969875,19.8,44.6,31.8,42.6,-3.9181761542825484,-11.152587454112355,2024-02-04
254,Austin Peay,103.72288740567105,110.41248391803396,13.900000000000002,38.1,32.5,46.4,-6.689596512362911,-11.186203872541377,2024-02-04
256,Niagara,107.31019063068489,114.38311146735744,16.3,30.1,35.4,50.1,-7.072920836672552,-11.196231710370256,2024-02-04
259,Portland St.,100.22101902006705,106.94373712237427,16.2,30.5,36.7,45.5,-6.722718102307226,-11.245208042407407,2024-02-04
250,Florida Gulf Coast,104.4968370806424,111.02223645572904,18.4,29.5,36.6,50.2,-6.52539937508665,-11.251943618802857,2024-02-04
245,Southern Miss,101.3131304601918,107.50936749380408,17.2,32.0,36.9,45.3,-6.196237033612277,-11.254304590503487,2024-02-04
277,The Citadel,101.48498548461454,109.982782422719,18.0,20.0,33.5,49.9,-8.497796938104457,-11.26065613224372,2024-02-04
261,SIU Edwardsville,100.97330156113298,107.82149444215496,15.8,32.7,34.9,45.4,-6.848192881021973,-11.319247657423404,2024-02-04
263,South Alabama,103.81331258472775,111.02839032763416,16.0,33.4,33.5,49.4,-7.215077742906402,-11.410097423172905,2024-02-04
267,Central Michigan,97.76675902962457,104.99162063386709,18.3,31.8,30.6,48.5,-7.22486160424252,-11.447865578587937,2024-02-04
258,American,107.61898681333312,114.83386198459884,17.4,30.1,36.8,53.8,-7.214875171265717,-11.468623854472085,2024-02-04
251,Milwaukee,107.63770559460036,114.400278200455,18.4,32.800000000000004,36.3,51.9,-6.762572605854643,-11.630169289571333,2024-02-04
241,Rider,103.87837929347896,109.78818615964472,17.8,39.7,33.5,44.8,-5.909806866165766,-11.643332188361118,2024-02-04
262,Brown,102.51563188082687,109.54154427705006,17.8,33.300000000000004,34.2,48.7,-7.025912396223191,-11.664756561696148,2024-02-04
264,UC Riverside,101.644382470281,108.81166803755966,14.499999999999998,35.8,35.4,42.8,-7.167285567278654,-11.703344196039978,2024-02-04
249,San Diego,101.0315560433032,107.27011498489112,20.0,36.6,32.4,48.6,-6.238558941587925,-11.721620954368635,2024-02-04
246,Cal St. Northridge,100.60544120070604,106.78317602235208,19.3,38.3,32.9,49.6,-6.177734821646041,-11.735868241204084,2024-02-04
247,Little Rock,106.15890019392124,112.69728013556843,17.599999999999998,39.8,33.4,52.3,-6.538379941647193,-11.769511764404786,2024-02-04
268,Canisius,102.23667406341276,109.95083902619814,19.3,28.9,33.6,49.0,-7.714164962785375,-11.868190627299079,2024-02-04
273,Queens,103.07363828448815,111.5679870635843,16.400000000000002,30.1,34.0,50.1,-8.494348779096143,-11.96810275524865,2024-02-04
257,Pepperdine,105.63497384185598,112.60169295484867,16.3,36.1,39.0,49.1,-6.966719112992692,-12.010448658925542,2024-02-04
243,Lamar,106.30886761217488,112.57757345033453,18.3,40.7,34.9,49.5,-6.268705838159647,-12.010760561277385,2024-02-04
255,Kennesaw St.,106.6772676662337,113.69042737308683,15.4,41.6,36.6,53.4,-7.013159706853131,-12.08082742118041,2024-02-04
275,Valparaiso,100.70985000479575,109.11569191839703,16.1,30.7,34.7,44.7,-8.405841913601279,-12.13781356729678,2024-02-04
260,Texas St.,97.4110784372551,103.99194764047124,20.9,38.5,30.5,46.4,-6.580869203216139,-12.173280213961846,2024-02-04
266,Nicholls St.,103.1321729644479,110.56637200364264,18.3,37.4,31.6,48.3,-7.434199039194738,-12.18516141390879,2024-02-04
248,UMKC,101.80844677188225,108.0802493963286,18.4,43.4,34.3,47.6,-6.271802624446352,-12.290899600912276,2024-02-04
235,New Mexico St.,100.20750168779436,105.51023298970549,18.8,49.3,33.7,46.9,-5.302731301911123,-12.291616094165784,2024-02-04
265,UTSA,109.03337107276026,116.87131740456772,15.2,36.8,39.1,48.0,-7.8379463318074585,-12.46354726240255,2024-02-04
274,Middle Tennessee,95.74044484185978,103.68175874339528,22.0,29.0,33.2,47.5,-7.941313901535494,-12.482701479936653,2024-02-04
271,Albany,103.3828125361459,111.71986497939378,18.8,38.1,29.1,51.0,-8.33705244324787,-12.604351990381202,2024-02-04
270,Chicago St.,99.3908309110688,107.176047962228,20.4,36.2,31.6,45.9,-7.785217051159194,-12.711882401207108,2024-02-04
282,Lehigh,98.32913440936552,107.15837557997696,17.599999999999998,32.2,37.5,50.8,-8.82924117061144,-12.82933711407298,2024-02-04
279,Idaho St.,103.73139245588568,112.58896481998784,17.8,35.3,35.4,52.2,-8.857572364102154,-12.960069142102315,2024-02-04
281,Bucknell,102.01550803037595,110.99402350124537,19.5,31.9,34.5,49.3,-8.97851547086941,-13.01654443723034,2024-02-04
285,Portland,104.55991836520974,114.54755859389894,18.5,26.3,36.9,51.6,-9.987640228689202,-13.063510539500413,2024-02-04
276,North Alabama,104.22520774326256,112.92608335277647,15.8,40.5,34.8,48.2,-8.700875609513915,-13.086684121803488,2024-02-04
296,Wagner,99.01578090110806,109.82679074037368,15.9,28.6,31.0,42.7,-10.811009839265623,-13.139016001952031,2024-02-04
269,Cal St. Bakersfield,99.6112470077172,107.24982898826318,17.8,44.8,34.8,46.1,-7.638581980545979,-13.239735008133046,2024-02-04
272,Tennessee St.,99.95999206929211,108.06077769805805,18.8,44.1,32.0,49.5,-8.100785628765934,-13.298229233547222,2024-02-04
283,Northern Illinois,104.61778130051808,114.20476182522766,17.4,35.0,36.3,50.5,-9.586980524709588,-13.432758120072847,2024-02-04
300,Lafayette,93.33398838388491,103.89575788724255,18.4,29.1,33.8,47.2,-10.561769503357638,-13.54272939704816,2024-02-04
290,Old Dominion,99.51888918971136,109.36588640902728,14.9,38.8,35.9,48.3,-9.846997219315924,-13.560668303782714,2024-02-04
278,Jackson St.,101.45168133504129,109.99370102359534,19.8,38.5,35.4,45.4,-8.54201968855405,-13.606782010017971,2024-02-04
307,Campbell,98.1092651122848,109.67153559318348,19.1,24.9,32.3,51.5,-11.562270480898675,-13.62893499334819,2024-02-04
280,Howard,105.46305148725456,114.47290849115603,21.0,36.6,34.4,49.7,-9.009857003901473,-13.707112772379897,2024-02-04
287,Idaho,102.79841932651604,112.69972062332572,16.400000000000002,36.5,37.5,49.8,-9.901301296809677,-13.713743791053902,2024-02-04
288,Alabama St.,93.43188420266,102.45333986255044,16.7,43.8,32.6,40.4,-9.021455659890435,-13.799987952533167,2024-02-04
286,Texas Southern,95.20378342096284,104.352618768031,18.5,41.9,32.6,43.4,-9.148835347068157,-13.912439561711578,2024-02-04
284,Robert Morris,104.67764173244647,114.3474725647902,20.0,36.8,35.0,51.7,-9.66983083234372,-13.94839680772967,2024-02-04
299,Bellarmine,101.59786711444318,113.08958356842776,15.9,31.7,34.0,47.1,-11.49171645398458,-13.952097036930596,2024-02-04
294,Binghamton,101.15430393202732,111.76839601965688,18.2,34.5,35.4,50.7,-10.614092087629558,-14.06894617345403,2024-02-04
292,Southeastern Louisiana,100.47984780411124,110.73303590955982,21.0,31.0,35.3,46.6,-10.253188105448572,-14.10694474432363,2024-02-04
306,UMBC,105.02020445834395,117.35552262863824,18.4,27.9,33.2,52.3,-12.335318170294286,-14.311394083879513,2024-02-04
289,USC Upstate,103.21847699539693,113.32343062948736,16.1,45.0,34.9,50.1,-10.104953634090435,-14.365321716795167,2024-02-04
305,Sacred Heart,101.55589596500592,113.26965611246138,17.4,32.300000000000004,35.2,50.1,-11.71376014745546,-14.40164368994783,2024-02-04
302,Elon,104.6733886418442,116.64680767585438,17.7,31.7,34.0,48.6,-11.973419034010178,-14.503335610746209,2024-02-04
301,Charleston Southern,100.55634647636084,111.93969620259448,18.2,34.2,34.3,46.4,-11.383349726233632,-14.551143333002518,2024-02-04
303,DePaul,99.272169529454,110.64624917544512,19.7,30.8,36.3,46.5,-11.374079645991117,-14.636588584054582,2024-02-04
309,Boston University,95.60147108892627,107.0767052976531,17.9,35.5,34.0,45.3,-11.475234208726832,-14.687342867323368,2024-02-04
291,FIU,101.8081941148331,112.06060990643604,19.7,36.7,39.9,49.4,-10.252415791602942,-14.705023632877797,2024-02-04
293,Georgia Southern,102.94051107249628,113.68262703699271,19.5,39.6,37.0,47.7,-10.742115964496435,-15.060290738342825,2024-02-04
297,Louisiana Monroe,99.35683945688086,110.39235388267772,19.3,39.4,35.5,45.9,-11.035514425796862,-15.120963799736083,2024-02-04
