,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
0,Connecticut,127.96555621026782,91.271095709408,14.499999999999998,31.1,31.2,59.1,36.69446050085982,16.31677090552449,2024-12-29
2,Purdue,126.01964010309288,94.46131775316464,16.400000000000002,22.0,31.5,53.3,31.558322349928247,13.517376633456228,2024-12-29
1,Houston,119.64215059460378,86.48042036237479,13.8,39.4,30.1,49.2,33.16173023222899,13.294355441659683,2024-12-29
5,Arizona,120.50796085013474,93.2660745548689,16.0,25.9,32.9,54.4,27.241886295265843,10.507900640112164,2024-12-29
9,Creighton,121.67812966589123,97.05670960252236,15.4,16.0,32.3,59.2,24.621420063368873,10.127866238655011,2024-12-29
3,Auburn,121.0110306495324,93.07229375539352,15.1,41.5,30.2,55.1,27.938736894138884,9.862579505424721,2024-12-29
7,Duke,121.26508516500223,95.4730006041413,14.4,28.1,31.8,53.5,25.79208456086093,9.747621582125166,2024-12-29
11,Gonzaga,123.55076132154883,99.06769647121487,14.000000000000002,25.2,34.1,58.3,24.48306485033396,9.247469558703717,2024-12-29
8,North Carolina,119.19096656462384,94.2737266298609,14.099999999999998,28.2,32.0,50.2,24.917239934762932,9.140016360205388,2024-12-29
4,Iowa St.,113.61171376545585,87.66897824722793,15.4,34.8,31.5,51.2,25.94273551822792,9.00006866611903,2024-12-29
12,Illinois,125.70179521404332,101.07120505283608,15.0,26.700000000000003,34.1,54.4,24.630590161207238,8.912209998336415,2024-12-29
6,Tennessee,115.91256199996955,90.44242747801952,14.499999999999998,35.7,31.2,50.8,25.47013452195003,8.790832058389515,2024-12-29
10,Marquette,118.62924637165514,94.87339843075398,14.3,26.9,33.7,56.6,23.755847940901162,8.57551724394971,2024-12-29
13,Alabama,126.0648110856856,102.48482938035278,15.9,38.8,31.7,56.7,23.579981705332827,7.249788840253023,2024-12-29
16,Baylor,122.55171289016366,100.95822692705008,17.7,31.2,33.4,53.5,21.59348596311358,6.214226437499283,2024-12-29
14,Saint Mary's,115.34944831919913,94.08274299428412,16.0,33.4,32.3,52.7,21.26670532491501,6.158790248198155,2024-12-29
15,St. John's,120.09168984488772,98.54632724558932,15.7,34.4,35.0,50.8,21.5453625992984,6.012671185572024,2024-12-29
