,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,TO%_scaled,FTR Def_scaled,3pD%_scaled,2p%_scaled,Adj_OtoD_Margin_scaled,gilgo_score_v2,projected_points
31,Georgia,112.5365109,93.94580817,19.7,28,28.1,56,18.59070274,4.844728674,1/24/25,0.496062992,0.712041885,0.850340136,0.702040816,0.719166131,0.694069657,
47,Oklahoma,119.1249044,102.9783992,17.3,31.9,28.4,57.4,16.14650517,3.410318154,1/24/25,0.68503937,0.609947644,0.829931973,0.759183673,0.688286117,0.693909601,
17,Texas A&M,114.5266443,92.32290152,17.8,33.7,30.7,49.9,22.20374274,6.443933071,1/24/25,0.645669291,0.562827225,0.673469388,0.453061224,0.764813312,0.691553357,
40,Pittsburgh,117.2220943,100.5906009,15.1,32.1,33.3,55.2,16.63149345,3.599061005,1/24/25,0.858267717,0.604712042,0.496598639,0.669387755,0.694413463,0.689753431,
71,Liberty,108.3890111,97.14940579,15.9,26.6,28.8,56.8,11.23960533,1.097859253,1/24/25,0.795275591,0.748691099,0.802721088,0.734693878,0.626292299,0.68925405,
75,North Dakota St.,120.113329,108.2610789,15.8,26,31.3,56.7,11.85225012,1.341472576,1/24/25,0.803149606,0.764397906,0.632653061,0.730612245,0.634032459,0.682997772,
50,Utah St.,118.5042833,102.70487,16.8,29.3,33.6,58.1,15.79941329,3.130692109,1/24/25,0.724409449,0.678010471,0.476190476,0.787755102,0.683900955,0.679864418,
39,Vanderbilt,116.5816159,99.74885024,14.3,36.1,35.4,55.7,16.83276571,3.329237081,1/24/25,0.921259843,0.5,0.353741497,0.689795918,0.696956339,0.677039123,
29,Baylor,119.8158105,99.42252281,15.2,34.4,37.9,52.6,20.39328771,5.215905506,1/24/25,0.850393701,0.544502618,0.183673469,0.563265306,0.741940006,0.675372648,
38,Nebraska,112.9803663,96.65401434,17.4,27.5,33.3,54.7,16.326352,3.44162472,1/24/25,0.677165354,0.72513089,0.496598639,0.648979592,0.690558303,0.674616514,
48,Santa Clara,117.5579375,101.6433892,17.2,31.7,31.4,55.6,15.91454824,3.010324424,1/24/25,0.692913386,0.615183246,0.62585034,0.685714286,0.685355571,0.672631532,
57,Arkansas,110.8585724,97.56054721,16.5,28.7,31.4,55.2,13.29802517,1.800345353,1/24/25,0.748031496,0.693717277,0.62585034,0.669387755,0.652298394,0.671123225,
34,Connecticut,125.2455432,104.6463946,15.2,42.6,37.4,59,20.59914863,4.806780665,1/24/25,0.850393701,0.329842932,0.217687075,0.824489796,0.744540855,0.669956175,
58,Penn St.,114.7743891,101.1864116,16.3,29.9,32.3,56.2,13.58797747,1.856616254,1/24/25,0.763779528,0.662303665,0.56462585,0.710204082,0.655961654,0.669448902,
89,Lipscomb,109.6232671,100.7699618,16.2,21.7,31.6,56.5,8.853305231,-0.183033809,1/24/25,0.771653543,0.876963351,0.612244898,0.72244898,0.596143762,0.669106232,
49,Boise St.,117.7368513,101.8998026,16.7,30,34.9,57,15.83704867,2.967999686,1/24/25,0.732283465,0.659685864,0.387755102,0.742857143,0.68437644,0.668716661,
