,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
0,Houston,118.35938353335546,82.6288374599799,14.099999999999998,39.3,28.3,48.5,35.73054607337555,14.943283104759084,2024-01-29
1,Purdue,126.41161645689628,92.53530175522644,16.6,22.9,30.7,54.4,33.87631470166984,14.910601968018605,2024-01-29
3,Connecticut,124.32206677839233,95.63844825313193,15.4,35.099999999999994,33.1,59.6,28.6836185252604,10.767957300408845,2024-01-29
2,Auburn,120.02774280284544,92.18918451132043,14.8,36.3,29.4,55.1,27.838558291525004,10.402070557830251,2024-01-29
5,Arizona,120.9913369379114,94.84167263679932,16.400000000000002,26.200000000000003,34.7,54.5,26.149664301112082,9.60539522367837,2024-01-29
6,Alabama,126.3651155909761,99.37851852723804,17.299999999999997,35.099999999999994,31.6,57.5,26.98659706373806,9.470574208880215,2024-01-29
9,BYU,121.0063906910881,95.8928978009514,16.0,29.3,29.8,60.0,25.113492890136698,9.307680662983383,2024-01-29
8,North Carolina,117.27492655916971,92.75431662281392,14.7,28.2,29.1,50.9,24.520609936355797,9.050272061177036,2024-01-29
4,Tennessee,117.5110840770252,91.91024509581226,15.3,37.1,29.8,52.7,25.600838981212945,8.774261778539895,2024-01-29
10,Illinois,120.54190434239467,97.37430535407672,16.0,23.200000000000003,31.4,53.8,23.16759898831795,8.377035382873945,2024-01-29
7,Iowa St.,115.517999707212,91.08664602309454,15.9,34.0,33.3,54.4,24.431353684117454,8.020925747311646,2024-01-29
17,Creighton,115.25054357617704,95.01198479270396,15.6,15.4,30.2,59.8,20.23855878347308,7.66282085791858,2024-01-29
11,Wisconsin,122.15298454306742,99.1183101657061,14.9,30.1,36.2,53.8,23.034674377361313,7.4516013701903985,2024-01-29
12,Michigan St.,116.59374748637114,94.89825233769596,15.0,31.0,31.1,52.0,21.695495148675178,6.8877520406918595,2024-01-29
14,Marquette,115.10820855936105,94.11176838801892,14.7,27.1,33.3,57.5,20.99644017134213,6.8653785045186995,2024-01-29
19,Dayton,119.6007894371,99.51118961006196,15.8,21.5,31.7,53.5,20.089599827038043,6.659005894493205,2024-01-29
16,Kansas,117.5207554845668,96.81397963191264,16.6,27.1,33.3,55.9,20.70677585265416,6.321483270119038,2024-01-29
21,Kentucky,120.4886175134044,100.8065466508552,13.1,31.5,31.6,54.5,19.68207086254921,5.967013226155016,2024-01-29
15,New Mexico,115.24449953254071,94.6793605311099,14.4,35.3,31.4,53.8,20.565139001430822,5.926984790872802,2024-01-29
25,Texas Tech,119.67662793860072,100.72570897828103,15.6,22.6,33.3,52.9,18.950918960319683,5.749160565795006,2024-01-29
22,Duke,118.36011303533364,99.25052086290442,13.3,28.2,34.1,53.6,19.109592172429217,5.665751225181821,2024-01-29
13,Saint Mary's,112.75965219566086,92.14910033889,16.900000000000002,34.300000000000004,32.3,52.3,20.61055185677087,5.511186632630229,2024-01-29
20,Baylor,120.50842936957228,100.72354072981118,16.5,31.3,31.2,53.6,19.784888639761107,5.482232070254274,2024-01-29
29,Indiana St.,120.83626137684372,102.127065432882,16.900000000000002,25.8,34.2,60.8,18.709195943961717,5.249109525816646,2024-01-29
18,St. John's,115.83128954854476,96.11100251032518,16.900000000000002,33.2,31.3,49.8,19.72028703821958,5.075975093313945,2024-01-29
31,Gonzaga,116.09504343113494,98.5792762137912,15.4,26.8,32.1,57.5,17.515767217343736,4.74861800257968,2024-01-29
26,San Diego St.,112.69046215166672,94.8980711733904,15.2,31.9,29.7,52.9,17.792390978276316,4.528108496748555,2024-01-29
27,Florida,119.8302451360197,101.17720136688708,17.2,31.4,33.0,52.6,18.653043769132623,4.490856699170899,2024-01-29
30,Clemson,119.14708699445262,100.7878972389636,15.0,32.800000000000004,35.0,55.2,18.359189755489027,4.468305750848305,2024-01-29
23,SMU,112.8590896568714,94.747832325201,18.1,32.2,27.4,51.4,18.1112573316704,4.346366972318943,2024-01-29
28,Colorado,116.24206103971312,98.15850140264276,18.3,29.6,33.6,54.2,18.083559637070366,4.1269713786129225,2024-01-29
24,Mississippi St.,111.8823629327573,94.03911895063764,18.5,33.6,27.7,53.7,17.84324398211966,4.02977882909299,2024-01-29
35,Utah,115.3697019521056,98.75241411486556,16.400000000000002,24.3,35.5,54.1,16.617287837240042,3.892295580716426,2024-01-29
42,Miami FL,115.82524593728716,100.64356256640872,17.5,19.9,29.4,55.5,15.181683370878446,3.7731768562358527,2024-01-29
32,Oklahoma,112.78090305701276,96.0973688534566,18.3,29.7,29.0,56.1,16.683534203556164,3.6886058641692605,2024-01-29
37,Utah St.,114.75382418601583,98.98823200873056,15.8,32.2,28.4,57.9,15.76559217728527,3.4169112281440146,2024-01-29
33,Texas,117.0741374858251,99.80944780096776,17.599999999999998,33.1,34.1,54.0,17.264689684857345,3.3718107077629798,2024-01-29
34,TCU,116.2980543374872,99.36251844389749,17.9,33.800000000000004,30.8,55.1,16.935535893589716,3.352176895089727,2024-01-29
55,Butler,114.58389411431564,100.4518937475372,14.4,22.2,31.4,52.1,14.132000366778442,3.176620223734851,2024-01-29
36,Villanova,112.0215105520982,96.58266802566158,15.2,27.700000000000003,33.2,51.3,15.43884252643663,3.1571439411263453,2024-01-29
45,Florida Atlantic,117.62742309355296,102.4933837295252,16.3,25.5,34.4,56.3,15.134039364027757,3.0461140120569317,2024-01-29
