,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date,gilgo_score_v2
17,Michigan St.,113.3285703,93.48397053,0.25,0.493975904,0.379032258,0.459090909,0.747125288,0.640621818,1/23/25,0.588190089
18,Texas,116.6222581,96.52636798,0.408333333,0.542168675,0.451612903,0.577272727,0.750896535,0.634239117,1/23/25,0.636077599
25,Nebraska,115.9836142,96.85674715,0.316666667,0.352409639,0.370967742,0.563636364,0.736353896,0.633472663,1/23/25,0.586577054
22,Colorado,118.3019597,98.62141502,0.508333333,0.340361446,0.338709677,0.618181818,0.744663228,0.632955935,1/23/25,0.620864419
20,Kansas,113.74546,94.22103899,0.375,0.376506024,0.540322581,0.65,0.742320197,0.632607027,1/23/25,0.624152147
24,Wisconsin,118.8242247,99.13901127,0.241666667,0.536144578,0.725806452,0.536363636,0.744733293,0.631331367,1/23/25,0.627957743
29,Pittsburgh,116.7250348,98.84586,0.116666667,0.436746988,0.233870968,0.436363636,0.717629122,0.625306443,1/23/25,0.530544413
28,New Mexico,113.8977716,95.98224889,0.166666667,0.524096386,0.225806452,0.486363636,0.718174615,0.621076147,1/23/25,0.550864477
32,Texas A&M,117.7043119,100.0250054,0.175,0.478915663,0.475806452,0.290909091,0.714629594,0.61200538,1/23/25,0.550484834
27,San Diego St.,111.9693654,94.14269846,0.35,0.515060241,0.25,0.504545455,0.71684111,0.610705465,1/23/25,0.580514548
31,Texas Tech,116.8871982,99.31459609,0.375,0.337349398,0.346774194,0.509090909,0.713028226,0.609998299,1/23/25,0.573438888
34,Wake Forest,116.9952651,99.73942307,0.283333333,0.424698795,0.419354839,0.618181818,0.708274441,0.607059992,1/23/25,0.58206461
30,Villanova,110.4392626,93.79654915,0.225,0.301204819,0.39516129,0.459090909,0.699072898,0.604663532,1/23/25,0.539224732
41,Indiana St.,119.6091773,102.6967707,0.35,0.298192771,0.548387097,1,0.703120324,0.604500188,1/23/25,0.622452701
35,Nevada,115.0128658,98.09926035,0.266666667,0.548192771,0.298387097,0.55,0.703138316,0.600933048,1/23/25,0.571962956
46,Dayton,116.7396544,100.6014615,0.333333333,0.177710843,0.330645161,0.590909091,0.691501293,0.599116227,1/23/25,0.544866704
36,Northwestern,115.6607575,98.82715254,0.116666667,0.701807229,0.532258065,0.4,0.701937707,0.596105803,1/23/25,0.571688442
39,Utah,114.1723826,97.87052385,0.341666667,0.301204819,0.459677419,0.6,0.693957511,0.59434512,1/23/25,0.572297231
40,Ohio St.,115.0367597,98.68484925,0.291666667,0.418674699,0.540322581,0.459090909,0.694708665,0.590622658,1/23/25,0.571548623
42,Colorado St.,112.788418,96.8467053,0.283333333,0.472891566,0.411290323,0.754545455,0.688552611,0.58924491,1/23/25,0.587189365
33,Mississippi St.,112.2615618,95.50554709,0.575,0.475903614,0.153225806,0.590909091,0.70077327,0.589085698,1/23/25,0.600253266
38,Washington St.,112.8447605,96.717685,0.366666667,0.490963855,0.370967742,0.536363636,0.691334449,0.585610145,1/23/25,0.579816845
43,Boise St.,113.6743185,97.77949905,0.366666667,0.515060241,0.209677419,0.472727273,0.68784886,0.584267377,1/23/25,0.559996296
37,Seton Hall,113.1256961,96.89594229,0.533333333,0.289156627,0.411290323,0.454545455,0.692875395,0.583698668,1/23/25,0.581779858
47,N.C. State,114.2298407,99.10799503,0.15,0.46686747,0.459677419,0.445454545,0.676248436,0.580977963,1/23/25,0.536110232
50,Drake,114.7709477,100.0979504,0.15,0.460843373,0.435483871,0.654545455,0.669512333,0.577689045,1/23/25,0.548309006
53,Iowa,119.5080807,104.6454862,0.1,0.509036145,0.637096774,0.568181818,0.672357718,0.576263636,1/23/25,0.557622587
44,Cincinnati,111.3020728,95.74837234,0.441666667,0.394578313,0.459677419,0.472727273,0.682729508,0.574885864,1/23/25,0.578780073
45,TCU,113.9932086,98.15870242,0.5,0.584337349,0.411290323,0.472727273,0.686943707,0.57046767,1/23/25,0.604553231
49,South Carolina,114.980268,100.1140962,0.291666667,0.469879518,0.483870968,0.477272727,0.672411405,0.570176215,1/23/25,0.560515385
51,Oregon,114.2015587,99.67511839,0.225,0.490963855,0.564516129,0.554545455,0.667312874,0.567384912,1/23/25,0.563930266
56,Butler,112.5810287,98.90591198,0.283333333,0.189759036,0.362903226,0.504545455,0.654536614,0.566441628,1/23/25,0.512632155
52,Virginia Tech,115.8003328,101.3130431,0.35,0.427710843,0.475806452,0.654545455,0.666725321,0.565467656,1/23/25,0.577036189
54,Florida Atlantic,116.6516318,102.4674589,0.35,0.340361446,0.459677419,0.709090909,0.662176289,0.565124093,1/23/25,0.569165779
48,Oklahoma,113.0876829,98.41073182,0.508333333,0.454819277,0.161290323,0.613636364,0.669571669,0.565099356,1/23/25,0.573131181
57,Utah St.,114.8520595,101.2989937,0.291666667,0.439759036,0.14516129,0.740909091,0.652704932,0.562844922,1/23/25,0.539514049
58,Washington,114.7119692,101.3339237,0.325,0.515060241,0.467741935,0.609090909,0.65007831,0.548559561,1/23/25,0.567715617
61,Virginia,104.0957943,92.33498093,0.083333333,0.295180723,0.209677419,0.263636364,0.625807658,0.547762077,1/23/25,0.441326678
55,Providence,108.6717844,95.4658618,0.458333333,0.352409639,0.516129032,0.604545455,0.647495171,0.543922343,1/23/25,0.573923915
60,Xavier,111.7026114,99.03449662,0.366666667,0.412650602,0.443548387,0.35,0.639424007,0.538159835,1/23/25,0.532156099
59,Bradley,111.576015,98.83013595,0.508333333,0.575301205,0.411290323,0.659090909,0.640591057,0.530495448,1/23/25,0.595251334
62,Grand Canyon,111.2021368,98.81752365,0.483333333,0.545180723,0.338709677,0.531818182,0.63516935,0.528038773,1/23/25,0.567412109
70,Syracuse,112.3344169,100.8367482,0.325,0.319277108,0.548387097,0.522727273,0.621858507,0.527146042,1/23/25,0.531537353
73,James Madison,111.8417578,100.6994254,0.241666667,0.575301205,0.14516129,0.609090909,0.616525789,0.52699262,1/23/25,0.513082518
66,SMU,112.0997387,100.392104,0.375,0.542168675,0.338709677,0.454545455,0.625009578,0.523638315,1/23/25,0.538115289
71,UNLV,112.159072,100.9118043,0.35,0.409638554,0.370967742,0.540909091,0.61810061,0.523262213,1/23/25,0.527850118
79,Richmond,107.0210531,97.39742474,0.066666667,0.319277108,0.282258065,0.518181818,0.5937338,0.520027599,1/23/25,0.452395566
75,Boston College,112.9104426,102.1294689,0.275,0.364457831,0.540322581,0.5,0.611102689,0.51840886,1/23/25,0.519653348
72,Georgia,109.6692441,98.6859601,0.341666667,0.40060241,0.419354839,0.390909091,0.614138867,0.517943761,1/23/25,0.514293149
64,San Francisco,109.9046595,98.25530739,0.4,0.659638554,0.516129032,0.736363636,0.624134901,0.516994394,1/23/25,0.594445089
96,Princeton,114.711138,105.7121017,0,0.274096386,0.427419355,0.731818182,0.58436022,0.515648812,1/23/25,0.464826342
74,Penn St.,110.2268249,99.57453166,0.308333333,0.611445783,0.193548387,0.459090909,0.609171514,0.513379927,1/23/25,0.513359878
63,North Texas,110.5784391,98.76569173,0.475,0.680722892,0.451612903,0.304545455,0.626587059,0.511727694,1/23/25,0.564531165
78,Mississippi,113.5573413,103.0095392,0.308333333,0.490963855,0.475806452,0.4,0.607603361,0.509708422,1/23/25,0.520502882
69,USC,110.5495546,99.22664209,0.491666667,0.469879518,0.693548387,0.468181818,0.61923585,0.508033758,1/23/25,0.578258105
