,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
1,Purdue,126.91661277034406,92.54435101193516,16.3,23.0,30.9,54.1,34.3722617584089,15.229179672629424,2024-01-28
0,Houston,118.50599896893856,82.60909895045648,14.099999999999998,39.3,28.3,48.5,35.89690001848207,15.044759011274065,2024-01-28
2,Auburn,120.17059037526164,92.35258578507116,14.8,36.3,29.4,55.1,27.818004590190483,10.389532800016196,2024-01-28
3,Arizona,121.20571696628348,94.8826352623892,16.400000000000002,26.200000000000003,34.7,54.5,26.323081703894275,9.711179839375507,2024-01-28
5,Alabama,126.55263863725236,99.55673885334892,17.299999999999997,35.099999999999994,31.6,57.5,26.99589978390344,9.476248868181099,2024-01-28
8,BYU,121.19626451998263,95.95547566178293,16.0,29.3,29.8,60.0,25.240788858199707,9.38533120350182,2024-01-28
7,Connecticut,123.18590233935008,97.261557617242,15.4,35.6,33.1,59.7,25.924344722108074,9.041050280485925,2024-01-28
9,North Carolina,117.3700208675016,93.03447159204808,14.7,28.2,29.1,50.9,24.335549275453516,8.937385058026646,2024-01-28
4,Tennessee,117.62440768879895,92.0954059137466,15.3,37.1,29.8,52.7,25.52900177505235,8.730441082781933,2024-01-28
10,Illinois,120.60260376369956,97.50329463276243,16.0,23.200000000000003,31.4,53.8,23.09930913093713,8.335378569871647,2024-01-28
6,Iowa St.,115.68025685568612,91.2674178306438,15.9,34.0,33.3,54.4,24.41283902504233,8.00963180527582,2024-01-28
15,Creighton,115.45782875607966,95.1754762836298,15.6,15.4,30.2,59.8,20.28235247244986,7.6895350081944125,2024-01-28
12,Wisconsin,122.33287347155962,99.30986767717825,14.9,30.1,36.2,53.8,23.023005794381376,7.4444835345726394,2024-01-28
14,Marquette,115.28949095541412,94.2781137730297,14.7,27.1,33.3,57.5,21.01137718238442,6.874490081254497,2024-01-28
13,Michigan St.,116.71473008967024,95.0671502315367,15.0,31.0,31.1,52.0,21.64757985813354,6.8585237134614605,2024-01-28
19,Dayton,119.84886467621884,99.7407123420596,15.8,21.5,31.7,53.5,20.108152334159243,6.670322923837137,2024-01-28
16,Kansas,117.48551521418966,97.03728838440286,16.6,27.1,33.3,55.9,20.448226829786805,6.16376836616995,2024-01-28
23,Kentucky,120.63546319779677,100.99620936728736,13.1,31.5,31.6,54.5,19.639253830509404,5.940894836610736,2024-01-28
