,0
0,18.632513572099995
1,0.34345644249999285
2,6.0199020767000055
3,5.305007679699992
4,4.7881388400999985
5,10.290760164999996
6,3.1927126275000095
7,11.213411569199994
8,23.516543203800005
9,1.3878124326000014
10,3.0872551672000053
11,9.428358661800006
12,2.0912417384000017
13,6.359489616000003
14,1.6238224099000056
15,8.418223013199997
16,17.552403285000008
17,0.8325720629000006
18,1.0572807266999997
19,3.9867990624000003
20,2.2552924738999973
21,9.757950967399994
22,1.348186086400005
23,8.9387651639
24,16.577129233400008
25,2.5007026275999973
26,6.817428748700003
27,7.3550464190000024
28,3.0703588736000023
29,13.7269203022
30,0.9590296469999902
31,16.1948361896
