rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Houston,B12,19-2,117.98503644367996,18,82.89595637869665,1,0.983029665565692,1,27.76560710882942,3.2343928911705824,14.76560710882942,3.2343928911705824,6-2,0.6251672930658538,0.5079607317997327,0.8156279551233007,0.6967948111408842,0.5079607317997324,0.8331749795539378,0.680341125120776,0.8345648052647704,109.14480556942037,102.22605762255823,110.46751464426957,100.27645459376,118.8419165503437,84.9813618895871,122.12427594347638,90.83436704814547,0.9678298399990819,8,-0.017645446850120927,568.0,468.0,513.0875,1.1070236558091944,0.9121251248568715,0.8472125990984477,0.75,5.264937862593447,3,213,63.529424428784964
2,Purdue,B10,20-2,127.49749213347465,1,93.91445254296204,12,0.9711309903504429,2,27.4668764914787,3.533123508521303,16.466876491478697,3.533123508521303,9-2,0.7334804091004206,0.6709726166285338,0.7959882015723071,0.7545613134257088,0.6709726166285336,0.8005350966641551,0.6552192416870074,0.6840647911140325,112.12202592119844,100.56601574941783,112.74438523345447,100.08400966157934,129.77841374117213,96.76140673295755,135.9038869182399,103.82710349448544,0.9567291045941922,10,0.045035847333754875,935.0,816.0,768.5125,1.2166360338966509,1.06179144776435,0.8060924128875246,0.8181818181818182,7.598923688923344,1,90,68.28211057619518
3,Auburn,SEC,17-4,119.12320773702766,15,91.41453876470774,3,0.9545517919192705,3,24.57405789187507,6.425942108124925,13.574057891875077,4.425942108124925,6-2,0.6003179483662989,0.5373469400659185,0.7026458368544172,0.6773089070854157,0.5373469400659187,0.7783925499328304,0.7266369717059479,0.8400972000420691,107.6317875828184,102.99447512567224,110.23561674579034,101.75013251247677,113.8523152497749,86.98870508474465,106.31218105136206,90.39259169902833,0.8659369509886934,3,-0.07140566170144902,618.0,505.0,561.4,1.100819380121126,0.8995368721054507,0.838989920395561,0.75,2.2013602934207537,20,313,70.21420964821225
4,Connecticut,BE,19-2,124.01937896898852,3,95.64791608867878,22,0.9519963959170538,4,26.626709832372338,4.37329016762766,16.626709832372338,3.37329016762766,9-1,0.5962798917283274,0.46560819359909067,0.7400187596704878,0.6540745902782575,0.46560819359909067,0.7577311084517995,0.6944505693235866,0.7720720593887589,107.42346394960867,103.34794680222214,109.07766602249964,101.95287137895677,122.29081363059495,95.32485218508157,124.09736045975626,96.49155529122827,0.9475254581908767,10,0.07165482741890639,763.0,653.0,651.9,1.1704249117962877,1.0016873753643196,0.7754434572331111,0.9,5.563904971297415,2,54,64.98889347687928
5,Arizona,P12,16-5,120.82693865959834,8,94.06795663943007,13,0.9467950234623155,5,24.204147910711107,6.795852089288887,15.204147910711114,4.795852089288887,7-3,0.6863759333942964,0.6467126192287282,0.7300055789764214,0.7073327660263925,0.6467126192287286,0.7406738467651077,0.705789518554304,0.6777852421601291,111.43362960895051,101.83790132153501,111.10123970476477,101.09312096476006,121.95350346225825,97.05222197740117,125.84911324349444,90.4534743157969,0.9780727223281273,8,-0.03924090100519828,858.0,741.0,732.8125,1.1708315565031984,1.0111727078891257,0.7513421145537942,0.7,3.2812473159717115,10,266,73.27035861371978
6,Iowa St.,B12,16-4,115.6013804881359,39,91.25412631678195,2,0.938181827277167,6,23.20113581401906,7.7988641859809364,12.201135814019066,5.7988641859809364,5-2,0.5317256283675822,0.3642033931551568,0.8428383509049436,0.643012897735305,0.364203393155157,0.8443753177098563,0.692179824763719,0.903256024844841,105.83803406373333,103.53362690924205,108.79985403533668,100.99749601596649,116.218887936238,90.47464332673134,118.18084264731608,92.97602301216068,0.9403947060524164,5,-0.02467323465246729,488.0,467.0,469.8375,1.0386569824673424,0.9939606778939527,0.8453533874948009,0.7142857142857143,2.008052877338354,24,228,69.12656796581125
7,Tennessee,SEC,15-5,116.08322686705739,36,91.6806511373801,4,0.9378450681219501,7,22.930761199095006,8.069238800904994,12.930761199095002,5.069238800904997,5-2,0.6824863725203084,0.6217119484044535,0.7953531601640391,0.7160198977343104,0.6217119484044535,0.784131194472541,0.6627237579906753,0.6950715187180523,111.79380428793104,101.92600628924919,112.49648430247726,101.19025356776775,118.00793699779103,92.8337215375838,129.20483724787968,101.23886495403815,0.9429474361566572,9,-0.008497345611145235,557.0,482.0,489.6625,1.1375181885482346,0.9843514665713629,0.7769899435779507,0.7142857142857143,3.2299289428520748,11,192,69.2577109320194
8,BYU,B12,15-5,120.84256631962688,7,95.67067705461943,23,0.9362033837035625,8,22.941978166736924,8.058021833263076,10.941978166736924,7.058021833263077,3-4,0.5767007804363555,0.41193976226950973,0.8826855284604979,0.6521864679525481,0.41193976226950973,0.8256979776125205,0.7109890330106613,0.8826498720563409,107.67023006214372,103.34492531754715,108.74858352888675,101.09088387242095,121.40025352655589,97.13583641780092,128.01785646001747,102.77078933992276,0.9259574838203823,8,-0.06166659889356507,512.0,514.0,477.4625,1.0723355237322303,1.0765243343718094,0.789433172527444,0.42857142857142855,1.526341883549097,31,300,68.86974678368928
9,Alabama,SEC,15-6,125.95226368158315,2,99.81736846794382,70,0.93550199032075,9,21.6857555958022,9.314244404197803,13.685755595802195,4.314244404197803,7-1,0.7058861164983857,0.6672270143325408,0.7687071575178839,0.7483171314140387,0.6672270143325408,0.8068822159728986,0.64720602166739,0.7123789392840705,112.17060120176954,101.13621870283838,113.2067070018304,100.24087420020325,122.07470723352981,100.47097612420676,132.47689485229873,108.99389130736812,0.9041177528090615,9,-0.03810127485707837,671.0,601.0,578.1125,1.1606737442971742,1.0395900451901663,0.8374222627369099,0.875,2.6703190701810486,15,262,71.92523532779832
10,North Carolina,ACC,17-4,116.36855546268094,32,92.71540254307787,7,0.9317011415610695,10,24.496766618437178,6.50323338156282,16.496766618437174,3.503233381562822,9-1,0.673544052104975,0.6170172454240587,0.735723539453983,0.7090913897838438,0.6170172454240586,0.7597321691817258,0.7048826134252851,0.7357403849159959,109.79000413692644,101.45738457369295,110.37778213627014,100.56151557511302,111.54971392236499,87.92337583135313,130.81797393889735,103.92793467352064,0.9337797878755268,7,0.025520202994477104,778.0,645.0,714.2375000000001,1.0892735259630024,0.9030609566145714,0.7837407989094687,0.9,4.032324125122627,4,120,70.86540837826234
