rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
1,Houston,B12,15-2,118.94577196926863,16,84.25071211407078,1,0.9814035438947015,1,27.168823143109236,3.831176856890772,14.168823143109226,3.831176856890772,2-2,0.5700725742111877,0.5012083343344904,0.7938813538104547,0.6903032825429829,0.50120833433449,0.8268718562491165,0.6861138470454086,0.8282453686849021,108.79949777173215,104.47224593023633,110.49966839610963,100.77356838885105,120.54204778526358,89.3783324461551,119.95555462238103,89.18937267739913,0.9679577515506514,6,-0.04938217524387656,286.0,234.0,248.9,1.149055845721173,0.9401366010445962,0.8362977140887342,0.5,3.212806911359948,8,262,63.91667997065676
2,Purdue,B10,16-2,127.10315778043537,2,93.75646669767858,9,0.9706715863806521,2,27.035507356680956,3.9644926433190504,16.035507356680952,3.9644926433190504,5-2,0.7183794167004163,0.6735529650603246,0.7888209835634171,0.7504297518892323,0.6735529650603244,0.7927119846451316,0.6587173401742203,0.6703040379157077,112.34369923636005,101.04249743986072,112.94007225125002,100.46184287886607,127.97699676245176,96.52549119591983,132.35363970732172,103.36721799699085,0.9449390624681026,9,0.03253468753783351,579.0,523.0,488.13750000000005,1.1861411999692708,1.0714194258789786,0.7948071390737471,0.7142857142857143,5.9004976052765095,1,115,68.37561469986584
3,Arizona,P12,13-4,120.68080008748674,10,91.36959702486129,2,0.9608236245480074,3,25.204632088861445,5.795367911138559,16.204632088861445,3.7953679111385594,4-2,0.6961208298576967,0.6485096668428476,0.7834079620515867,0.7037654619173871,0.6485096668428476,0.7341561492083839,0.7041511109899615,0.6661680883956834,113.301942858886,102.7003121874206,111.94685776504498,101.91766620447432,120.60139742626286,92.30163264144285,118.50908541273141,90.66562671710369,0.9560530501881205,8,-0.055986351707362436,523.0,444.0,450.6625,1.1605136881812885,0.9852162094693923,0.7130482294184398,0.6666666666666666,3.219613950850258,7,271,73.99124833591554
4,Auburn,SEC,15-2,122.55550769179752,5,94.4326617994389,13,0.9524740059085104,4,25.419607359070596,5.5803926409294045,14.419607359070595,3.580392640929404,4-0,0.5636861677131582,0.5358767443898735,0.6540667935138333,0.6722672233404264,0.5358767443898735,0.7707714581380479,0.7290320272019912,0.8412242316376015,106.45803113400233,104.05459425389837,110.63060024523394,102.26044664389816,116.58560042033417,88.44082913123528,116.38387581772844,98.9433970202421,0.866108418730912,1,-0.030062425490946953,322.0,249.0,281.01250000000005,1.145856501045327,0.8860815800008895,0.8041156480306807,1.0,2.2777905089179216,14,233,70.59677207271871
5,Alabama,SEC,12-5,128.33541749035794,1,99.90488467979361,61,0.9468453463763731,5,21.82204119119832,9.17795880880168,13.82204119119832,4.177958808801682,4-0,0.6697726039423711,0.6699127587584605,0.669317100790081,0.7447092488682464,0.6699127587584605,0.7987289361697582,0.6478749741726365,0.6976899928168291,112.05482918113701,102.59084661654471,113.68989101795759,100.7404286228024,120.2979488938932,97.22907964819308,133.95668080558744,109.50103814004132,0.9103730220482834,7,-0.09401133422630181,327.0,271.0,276.3375,1.183335595060388,0.9806848509521872,0.8357037462782373,1.0,1.4734183500088482,28,326,71.90081357395279
6,Tennessee,SEC,13-4,117.57591558348457,26,92.78226347457067,5,0.9384009162994599,6,23.30843406884643,7.691565931153574,13.308434068846427,4.691565931153572,3-1,0.670198198767691,0.6228703510091085,0.8240137039830846,0.711951893486637,0.6228703510091083,0.7762885630537413,0.6664439850649455,0.7001445934773597,111.69268208696386,102.4242198373454,113.26599790976557,102.00779423946818,121.80151005125988,93.93351535312148,122.06692528513499,100.86558463749543,0.8997074089250708,7,0.005179917105456622,332.0,286.0,286.1875,1.1600786197859794,0.9993448351168377,0.7626528085025004,0.75,2.964249195698764,11,170,69.6244374791277
7,BYU,B12,14-3,118.99736014725084,15,94.28273257644366,12,0.9356700353128267,7,23.64706995653801,7.35293004346199,11.64706995653801,6.35293004346199,2-2,0.5265077005187765,0.423398889073637,0.8616113377154797,0.6566843154233724,0.423398889073637,0.8251682344537367,0.7099775831073537,0.8713849336289599,106.29817893166577,104.8503250752382,109.0281792424096,101.22730079579908,114.84062530587119,93.44645953347172,123.8804677836084,100.37403138368316,0.9183214823853127,5,-0.02882749061217127,282.0,282.0,279.0625,1.0105263157894737,1.0105263157894737,0.814755919236096,0.5,1.6850832737536068,24,232,68.97190245168396
8,Connecticut,BE,16-2,123.55642387625801,3,97.93042569623047,40,0.9354185806935064,8,25.31528818878042,5.6847118112195885,15.31528818878041,4.684711811219589,6-1,0.5523040643291666,0.4551143669196533,0.7050307316869731,0.6510009536551221,0.45511436691965285,0.7587385763596305,0.695289483988754,0.785790282197933,107.12375336095997,105.06919461547233,109.4267804318383,102.42352491742837,119.916337433904,97.67270879182783,124.17929765658707,96.59614243966654,0.9472829111874476,9,0.0842208601014296,524.0,467.0,452.5,1.158011049723757,1.0320441988950275,0.7876581850295227,0.8571428571428571,4.136106679649748,2,50,65.03651409850599
9,North Carolina,ACC,14-3,118.40869751673924,19,94.15650462967767,11,0.9331187702029142,9,24.67486545382906,6.32513454617094,16.674865453829057,3.3251345461709407,6-0,0.6512492490188299,0.6217667501114529,0.705300497015688,0.7087969843739288,0.6217667501114527,0.7566636132182907,0.7064904522325605,0.7300459709400324,110.51441506446801,102.9108871129411,111.4470574092758,101.63952694175683,111.19090071093156,85.71096414133248,123.23172350263847,97.69101866042801,0.9352908053060462,6,0.0324975775688916,469.0,373.0,428.625,1.0941965587634879,0.8702245552639254,0.7786763773051203,1.0,3.364454100795395,5,116,71.22529636784202
10,Iowa St.,B12,13-4,114.13299793062583,56,91.7255158337411,3,0.9250817064296728,10,21.854669154370967,9.145330845629035,10.854669154370965,7.1453308456290365,2-2,0.48553929589530104,0.37197238617173267,0.8546317524968983,0.6467499395450046,0.37197238617173267,0.8452003947590344,0.694356202005686,0.9055109942645158,105.22257061318011,104.80045334430253,109.10364552555566,101.08248713458319,113.01406633372046,89.04691312172366,116.58381746062082,94.98915086985005,0.9133901549204168,3,-0.062586984264287,258.0,253.0,259.0625,0.9958986731001206,0.9765983112183353,0.8425057211196447,0.5,0.5161583992326194,50,287,69.19797074387735
11,Michigan St.,B10,10-7,118.66520210017828,18,95.58623396233894,23,0.9232388127199992,11,19.97565872302925,11.024341276970757,11.975658723029245,8.024341276970754,2-4,0.6512581607787782,0.5727690587748903,0.7951548477859061,0.7116142199407349,0.5727690587748899,0.7879790585819496,0.6924832392291494,0.7667420950829307,111.30238910628702,103.35080047901357,112.54747640219232,101.99812508032774,116.85155169298973,100.96127210014595,122.80748929625622,105.11429828229024,0.8568109380839491,8,-0.17123954178312029,434.0,422.0,391.53749999999997,1.1084506592599688,1.0778022539348084,0.7849037203516828,0.3333333333333333,-0.611365791149197,73,361,65.95323262762011
12,Illinois,B10,12-4,120.10664191413139,13,97.3601832196998,33,0.9179316919175919,12,22.085110212406175,8.914889787593829,13.085110212406173,6.914889787593826,3-2,0.5819476098048133,0.4805156843268905,0.8050978458562434,0.6847729980029359,0.48051568432689035,0.7971145205247607,0.6958484990438383,0.8213777370294439,107.94264484859366,102.70170975955543,111.12036668449446,101.47841450341181,124.47618393649964,97.72903005923494,128.1711944440887,106.68777941959193,0.8918513097885962,5,-0.030868426752405864,388.0,351.0,339.5625,1.142646788146512,1.033683048039757,0.7944534120809333,0.6,1.1281121829732181,36,237,70.45311593233212
13,Marquette,BE,12-5,115.77025736083053,38,94.57821167291718,14,0.9109326727846576,13,20.947931247597815,10.052068752402183,11.947931247597818,8.052068752402183,3-3,0.6812506001859127,0.6354319934376449,0.7652513792244034,0.7166046800743728,0.6354319934376449,0.7612496577245732,0.660281013728898,0.7013434876588961,110.93405461265269,101.17370442277695,112.16515130778073,100.77163561746679,107.37915667801293,92.23130056787448,116.38507919017599,95.80461608593744,0.9035951529528875,8,-0.010163393933626419,434.0,411.0,425.775,1.019317714755446,0.9652985731900652,0.7595346342246458,0.5,1.7611248925812486,21,198,70.29719352979454
14,Kansas,B12,15-2,116.24042712756463,34,95.13539779439185,18,0.9092189305113989,14,22.83465653512365,8.165343464876347,10.834656535123651,7.165343464876347,3-1,0.5949345262793981,0.5301989657158738,0.8053250981108526,0.7078607697053142,0.5301989657158739,0.8361720725865767,0.6573629299861211,0.7785645967297288,108.81744460634921,102.22204192019937,111.30561196705011,99.22947305062814,123.93834974045583,97.10651580011026,115.24125774716849,94.5024957522033,0.9073431787012903,7,0.11251658588636149,311.0,278.0,272.98749999999995,1.1392463024863777,1.0183616465955403,0.8449854938653549,0.75,3.7420678071265523,3,23,68.82307233613724
15,Creighton,BE,13-5,115.53569439956775,43,94.64420788449343,16,0.9083564860563498,15,21.4506460208219,9.5493539791781,12.450646020821901,7.549353979178101,4-3,0.6445695783348471,0.5817266847425041,0.7433226968371001,0.6977178929277682,0.5817266847425042,0.7615130574296629,0.683473534827425,0.7680057560823189,110.72783549883209,103.20112276453008,111.92393539332204,102.01426548499703,106.67141240610331,88.2612472135182,106.94275149182866,93.17352245661762,0.8299179420159097,8,-0.013644786474682591,477.0,445.0,472.73749999999995,1.0090166318517149,0.9413257886247655,0.7713078669795045,0.5714285714285714,1.8016315012358746,18,205,66.35853980003131
16,Saint Mary's,WCC,13-6,112.81298981381477,66,92.73139604489555,4,0.9050191226532782,16,23.174557973474265,7.82544202652573,14.174557973474268,1.8254420265257307,4-0,0.56124904043755,0.5877710554139361,0.4617914842761019,0.5317311807721148,0.5877710554139364,0.47919379829540715,0.8222648192669362,0.7931611159995758,108.15298804305847,103.60375306397624,107.08311060476181,104.63882665882404,123.78526640889433,94.3559448182815,115.15588718724406,104.0538691694,0.7623935491515544,6,-0.13260604217913596,317.0,235.0,251.2625,1.2616287746878265,0.9352768518979155,0.48499456963517557,1.0,-0.7661823818530883,78,350,62.79907623501749
17,Duke,ACC,13-3,120.78778335949627,8,99.32730704410015,55,0.9046132769681173,17,23.57478817723262,7.425211822767379,14.57478817723262,5.425211822767378,4-1,0.5705348874365315,0.5156388967625417,0.6913060669193091,0.6494264187284731,0.5156388967625415,0.723009555809735,0.743082331730779,0.7938873099211722,106.70896487348847,103.07345224910522,109.09031546441649,101.90761243956949,117.82367794132503,97.37741963980993,130.04163657318864,99.91475545660492,0.9539410153271615,3,0.01846589465842363,380.0,329.0,338.7375,1.1218126130115502,0.971253551791579,0.7335773854398772,0.8,1.7701740355949998,20,141,68.12871767662514
18,Wisconsin,B10,13-4,121.02793972350823,6,99.67983042102836,58,0.9030574666071282,18,21.746617060027404,9.253382939972594,13.746617060027404,6.253382939972593,5-1,0.6875043558417964,0.6196308687724408,0.8119390821356149,0.7411957477052318,0.6196308687724406,0.808056431118267,0.6571252304471225,0.7202359061176452,110.43406031102333,100.64418164537908,111.97579509206804,99.63283799859633,123.06377644111926,97.06553942314406,128.5699540184307,107.59789796682634,0.8857280052076548,7,0.07006898569025966,466.0,411.0,393.23749999999995,1.1850344893353255,1.0451699036841604,0.8063924378251179,0.8333333333333334,2.9677589096595938,10,64,65.14820293017823
19,Kentucky,SEC,13-3,122.59867112171965,4,101.31294519334327,85,0.8996257272624761,19,22.576305064846974,8.423694935153023,11.878590748571032,6.121409251428973,3-1,0.5722950435839962,0.49967719032538166,0.7901486033598397,0.6676616281455673,0.5258292176841195,0.7700961468121685,0.7161016153271137,0.8247337230180252,108.00510967082533,104.26296200366342,110.61321135280772,102.0213752565235,123.62027274326593,101.04791678775891,129.6634508656733,103.6695124008478,0.9290998109370432,5,0.0248531382131143,359.0,336.0,307.26250000000005,1.1683820837232006,1.0935275212562547,0.764366873512834,0.75,1.7139063276453734,23,122,72.8748820488488
20,Baylor,B12,14-3,120.22433896201488,12,100.09156896785018,64,0.8916446301461058,20,21.362186825527015,9.637813174472981,10.362186825527019,7.637813174472983,3-1,0.5710013053778437,0.49358846787992167,0.8225930272460902,0.7023039612815423,0.4935884678799218,0.8530429287382681,0.6611299538475292,0.7941210712358475,108.85600369033251,103.84787951753765,111.66691256175754,100.45396320692156,112.09383100454978,94.5163628373196,123.9210879744308,106.91189764711446,0.8452548316986754,6,0.07915816310224144,282.0,269.0,273.9125,1.0295258522338337,0.9820654406060328,0.8617429005931762,0.75,2.59157964763712,12,60,67.56215291878841
21,Utah,P12,12-5,118.25962597117122,20,98.59397040971929,44,0.8900773741238648,21,21.6274005703951,9.372599429604898,12.627400570395102,7.3725994296048984,3-3,0.6480858317591057,0.5951321472690094,0.7451675866576157,0.6855425289541232,0.5951321472690094,0.7352682388809357,0.7053706867495809,0.7197410769832502,109.71992913239153,101.24853640821081,110.54070959424935,101.10895569814558,115.75972425001758,98.30096001750985,129.72321151189442,105.98594982452695,0.9108542132196416,6,0.016224647184350016,481.0,445.0,437.7125,1.0988948225147785,1.0166490561727162,0.7310256612623585,0.5,1.5075982279754863,27,146,71.06203335586147
22,Indiana St.,MVC,15-3,120.75905766294511,9,100.74222158468496,74,0.8893551915884806,22,25.948634531614857,5.05136546838514,16.948634531614857,3.051365468385141,6-1,0.4832555703820041,0.3914898063952617,0.6274589137897423,0.5035377914852158,0.3914898063952619,0.5651641832846903,0.8299631829421595,0.8266718638357667,107.97312662831007,106.53523024582067,107.05829100910938,105.67389619865949,123.24467747336857,94.36914592462357,121.15410615319561,104.90340964264786,0.8397364162018578,4,0.03323862925020238,586.0,483.0,491.97499999999997,1.1911174348290057,0.9817572031099142,0.5316208668588934,0.8571428571428571,1.5653132899262243,26,114,71.30817963265096
23,San Diego St.,MWC,15-3,113.99843732224232,57,95.55510870897442,22,0.8838637096106896,23,23.807166071530812,7.192833928469187,12.807166071530812,5.192833928469187,4-1,0.6115525789504418,0.5924346858570444,0.6612591009932753,0.652549057332193,0.5924346858570444,0.6959649922864676,0.7312909109794419,0.7440510902183656,111.09861642265474,102.04914137231103,111.27487988095214,101.91608949979288,111.90975269899756,92.01644584429754,124.46872581077427,98.23811729520749,0.9382887877314376,4,0.1091060790161601,368.0,333.0,342.4375,1.0746486585143273,0.9724402263186713,0.7093134120146181,0.8,3.180553650357063,9,29,67.68825208706888
24,St. John's,BE,12-6,116.73252931225552,30,97.86267359554927,39,0.8836728495062413,24,20.379062106276287,10.620937893723719,12.379062106276281,7.620937893723718,4-3,0.6819732443492681,0.5700032396505965,0.8579261088757516,0.6951814711829154,0.5700032396505962,0.7640294985256911,0.6939774206153112,0.8086655710110907,111.22019363031966,102.43829830249328,111.55062154434218,101.95837847936276,116.72609085134137,93.88511754428146,120.49231846738869,97.76195006839828,0.9171380055766074,8,-0.013377884319833111,518.0,495.0,483.95,1.070358508110342,1.0228329372869098,0.7134697852602739,0.5714285714285714,1.108716577645823,37,204,70.01003040919133
25,Oklahoma,B12,14-3,113.84369201099813,58,95.6663797465485,24,0.8808531073871811,25,21.42675676186569,9.573243238134312,9.426756761865688,8.573243238134312,2-2,0.515023681244991,0.4243010059168383,0.8098723760614872,0.6620468864578835,0.4243010059168383,0.8337522446264161,0.6926119626841006,0.8628134709952698,105.79072220132207,105.24724061288174,109.09955332955252,101.20672963266524,113.43979333869858,96.61571074603037,112.34794246234472,98.13703594253991,0.8256652833223895,4,0.05469136093939364,285.0,284.0,274.3625,1.038771698027245,1.0351268850517108,0.8405750642163958,0.5,1.78224612981917,19,79,68.02776856632669
