,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Florida,136.2,96.8,0.981,6–1,6,7,57.1,49.4,38.2,43.4,14.8,14.5,38.2,29.2,74.1,58.5,48.4,37,34.2,10.9,8.5,51.4,43.9,45.6,36.5,72.4,78.018,82.097,1.887,"2,025",0,0,28.619,,71.8,71.8,1.245,1.085,61.789,Florida
2,Houston,121.7,86.9,0.98,7–0,7,7,50.6,43.5,34.3,28.4,13.9,19.7,29.7,32.8,63.8,46.9,45.7,38.6,26.8,12.8,7.4,33.9,48.3,34,40.2,64,76.82,79.578,2.278,"2,025",0,0,75.695,,76.7,82,1.109,0.965,52.918,Houston
3,Alabama,130.4,93.3,0.979,3–3,3,6,56.3,50.7,33.6,36.9,13.5,14.3,28.2,28.5,77.6,55.3,51.8,38.3,32.7,7,13.2,54.9,51.6,44.1,36.9,76.4,78.074,82.581,1.819,"2,025",0,0,58.572,,70.1,68.7,1.169,1.087,68.362,Alabama
4,Duke,128.1,92.5,0.977,7–0,7,7,56.4,45.5,34.2,22.5,14.4,18.5,36.3,29.3,68.6,59.1,45.1,35.4,30.8,13.3,8.6,52.7,44,45.3,37.6,66.8,79.763,82.221,0.968,"2,025",0,0,80.734,,82.1,75.8,1.244,0.952,32.607,Duke
5,Colorado St.,125.5,91.7,0.974,7–0,7,7,62.5,45.8,38,33.8,16.6,18.2,25,28,64.4,56.5,52.8,47.6,25.6,7.8,5.1,58.1,52,40.2,48.3,65.9,77.024,79.53,2.033,"2,025",0,0,33.82,,75.9,75.4,1.231,0.969,27.347,Colorado St.
6,Gonzaga,124.6,91.8,0.971,4–0,4,4,54.6,48.1,31.3,30.1,11.8,19.8,24.2,27.3,72,60.2,50,28.2,29.8,7.2,4.7,61.6,46.5,31.3,35.6,72.6,77.317,80.873,2.522,"2,025",0,0,61.194,,78.2,71.8,1.157,0.966,46.578,Gonzaga
7,Georgia,126.5,93.5,0.97,4–1,4,5,56,50.5,45.3,41.4,17.4,16,32,26.3,68.8,54.1,45.3,39.4,37.7,12.7,4.7,36.8,47,38,46.4,67.9,78.786,81.87,1.393,"2,025",0,0,64.946,,73.4,69,1.157,1.055,45.441,Georgia
8,Michigan St.,114.7,85.7,0.966,5–1,5,6,48.5,45.1,36.1,39.1,14.9,15.8,29.5,19.1,70.7,46,53.2,35.4,23.1,11.2,8.8,54.8,49.3,34.7,43.9,69.2,78.039,81.913,1.752,"2,025",0,0,74.743,,69.7,77.9,1.054,0.953,52.564,Michigan St.
9,Auburn,130.4,98.1,0.964,3–3,3,6,57.3,50.2,38.9,48.6,14.2,18.1,27.7,34.5,67.7,56.1,54.5,39.4,28.3,13.1,5.9,56.2,44,40.1,36,66.3,78.431,81.057,2.573,"2,025",0,0,34.433,,73.7,75.9,1.181,1.101,60.315,Auburn
10,Maryland,112.5,85.3,0.96,4–2,4,6,46,44.3,36.9,23.4,12.7,21.9,25.2,32.1,70.9,41.9,44.8,35.7,28.8,12.4,10.3,53.1,53.4,35,32.1,69.2,77.5,80.919,1.64,"2,025",0,0,66.049,,78.9,79.1,1.025,0.926,48.829,Maryland
11,Texas Tech,133.4,101.2,0.96,4–2,4,6,51.8,50.7,31.4,36.6,10.3,12.3,32.2,28.6,64.8,48.5,53.1,36.3,29.7,9.4,9.5,58.7,38.9,54.3,27.1,65.3,76.407,79.854,1.972,"2,025",0,0,36.947,,75.9,75.6,1.212,1.116,54.161,Texas Tech
12,Iowa St.,120.2,92,0.956,3–3,3,6,56.1,47.7,32.6,39,18.9,21.4,26.2,32.1,69.5,54.5,49.4,38.8,30.5,11.1,10.5,54.8,66.2,42.4,47.7,68.6,77.854,81.053,2.401,"2,025",0,0,35.926,,78.8,82.1,1.102,1.01,47.548,Iowa St.
13,BYU,128.3,99.5,0.949,5–1,5,6,56.2,49.7,35.2,30.8,18.7,13.8,31.5,27.5,68.5,56,48.1,37.6,34.5,8.7,11.5,61.7,43,48.7,45.4,69.1,78.157,80.606,1.889,"2,025",0,0,35.971,,73.6,75,1.147,1.079,54.196,BYU
14,Xavier,127.7,99.2,0.948,3–1,3,4,58.8,56.8,27.5,23.1,11.6,16.3,22.1,17.6,69.1,55.8,53.3,42.9,40.4,5.8,7.1,62.6,62,35,47.6,69.2,76.997,80.414,2.524,"2,025",0,0,42.959,,83.3,67.9,1.22,1.071,32.578,Xavier
15,Tennessee,126.1,98,0.948,5–2,5,7,52.7,48,47.6,36.7,14.7,13.4,31.8,33.9,65.2,56.9,52.1,31.3,28.2,11.9,7.9,58.4,48,42.6,41.9,63.8,77.149,81.352,2.65,"2,025",0,0,51.743,,72.1,74.5,1.15,1.098,53.75,Tennessee
16,North Carolina,123.6,96.8,0.943,5–2,5,7,57.1,49,35,29.8,14.9,15.1,29.9,24.7,68,54,50.4,41,31.2,8.2,11.8,56.1,42.9,41.2,37.6,68.8,76.417,79.98,1.623,"2,025",0,0,87.298,,73,70.5,1.183,1.025,37.515,North Carolina
17,Arizona,132.8,104.1,0.943,4–3,4,7,53.2,51.8,41.3,33.3,13.6,13.4,32.5,31.9,69.3,52.9,46,35.7,40.5,12.5,7.7,46.4,53.9,34,39.7,69.5,77.892,80.498,1.92,"2,025",0,0,66.268,,81.8,75.9,1.189,1.158,57.523,Arizona
18,Wisconsin,119.5,93.8,0.942,5–3,5,8,47.4,46.8,31.9,28.7,12.5,13.3,27.9,27,67.9,49.2,44.4,30.4,33.7,7.1,12.6,56.7,59.2,49.4,39,68.1,78.113,81.776,2.223,"2,025",0,0,24.761,,80,68.6,1.077,1.016,43.407,Wisconsin
19,St. John's,114.1,90.1,0.938,6–0,6,6,50.5,47.3,29,31.4,15.4,20.2,35.2,28.1,70.2,51.9,54,31.1,25.7,8.4,7.7,51.9,53.4,26.4,42.9,70.5,78.209,80.533,2.12,"2,025",0,0,64.078,,69,59.5,1.098,0.933,37.837,St. John's
20,Kentucky,121.2,96.6,0.931,4–2,4,6,54.3,56.6,46.4,31.9,17,14.8,25.5,19.8,75.5,55.6,56.3,34.8,38.1,7.9,6.9,54.5,40,38.5,41.9,73.3,78.775,82.178,2.329,"2,025",0,0,46.326,,74.2,73.7,1.108,1.116,54.487,Kentucky
