,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
20,Wisconsin,117.3,93,0.935,4–3,4,7,45.6,46.3,32.9,30.8,13.2,12.9,26.4,27.9,68.4,46.2,43.3,30,33.9,7.7,12.3,59,62.4,49.8,39.2,68.8,78.113,81.776,2.223,"2,025",0,0,24.761,,80.6,70.5,1.038,1.023,48.283,Wisconsin
21,Oklahoma,128.4,101.9,0.935,3–2,3,5,57.3,53.7,42.3,39.1,13.9,15.3,21.2,32.2,70.5,54.8,56.2,40.7,33.6,3.6,6.5,52.2,50,40.2,43.1,69.5,77.138,80.403,2.256,"2,025",0,0,48.517,,83.2,72.4,1.195,1.144,55.025,Oklahoma
22,Baylor,119.9,95.2,0.934,3–2,3,5,47.1,44.6,32.2,33.8,15,17,37.8,34.8,62.5,49.1,44.2,29.3,30.1,6.1,9.8,50.4,47.7,40.1,40.6,63.2,76.961,79.571,1.871,"2,025",0,0,56.146,,69.9,72.3,1.079,1.011,46.793,Baylor
23,Kentucky,121.3,96.4,0.934,3–2,3,5,53.9,55.8,47.4,32.3,16.9,13.7,26.5,19.3,75.8,54.1,55.2,35.7,37.7,7.1,8.3,55.1,40,38.2,41.5,73.4,78.775,82.178,2.329,"2,025",0,0,46.326,,74.1,74.3,1.106,1.119,54.516,Kentucky
24,Arizona,133.7,106.4,0.933,3–3,3,6,54,53.9,40.4,32.9,14.2,12.7,31.1,31.8,69.4,53.8,47.1,36.3,42.9,11.5,8.5,44,52.4,32.4,39.3,69.9,77.892,80.498,1.92,"2,025",0,0,66.268,,83,75.6,1.187,1.192,64.046,Arizona
25,Louisville,116.2,92.6,0.932,5–1,5,6,53.8,44.4,36.9,28.8,18.1,15.3,29.1,30.7,67.4,54.6,41.8,35,31.7,8.5,10.3,46.8,47.8,41.4,44.9,68.7,78.008,81.168,2.555,"2,025",0,0,20.225,,73,75.2,1.1,0.997,35.214,Louisville
26,Connecticut,123.7,99.5,0.924,4–1,4,5,55.6,46.3,23.8,38.8,17.6,11.9,38.8,23.5,60.3,55,47.8,37.7,29.2,16.4,7.6,56,42.3,38.3,37.6,61.8,78.167,80.841,1.638,"2,025",0,0,87.492,,83.3,70.7,1.203,1.014,30.04,Connecticut
27,UCLA,123.8,100.3,0.918,2–1,2,3,53.2,57.5,27.4,28.1,14.6,19.6,36.4,25.6,66.4,54.1,48.9,34.7,45.7,13.3,9.9,69.8,65.8,40.3,43.8,66.8,78.101,81.377,1.849,"2,025",0,0,70.64,,68.6,75.6,1.169,1.094,45.53,UCLA
28,Kansas,121.7,98.6,0.918,2–3,2,5,52.9,53.1,27.5,28.3,18.2,13,33,26.8,68.6,49.5,49.7,39.4,38.5,9.9,11,59.2,47.9,35.3,41.8,68.2,77.963,82.013,2.526,"2,025",0,0,65.96,,74.1,80.7,1.106,1.137,58.905,Kansas
29,Clemson,108.3,88.3,0.913,4–1,4,5,47.4,47.2,31.7,26.9,16.7,20.7,35,23.9,65.8,52.2,48.8,24.1,29.6,9.4,10.8,40.2,49.1,30,36.6,66.9,77.87,81.701,2.503,"2,025",0,0,51.614,,75,70.8,1.046,0.924,30.153,Clemson
30,Mississippi,122.1,99.7,0.911,3–2,3,5,48,56.9,35,38.9,12.7,19.4,28,31.6,69.1,50.8,58.9,28.8,36.6,2.1,8.2,41.2,65.2,36.3,48.7,68.4,76.185,79.496,2.701,"2,025",0,0,56.397,,76.6,73.8,1.089,1.135,58.761,Mississippi
31,Marquette,121,98.9,0.911,2–3,2,5,52.7,48.3,24.5,32.7,14.9,15.2,24,33.5,69.5,59,48.1,29.9,32.4,7.6,5.8,41.3,58.1,44.2,34,68.4,77.724,80.58,2.084,"2,025",0,0,62.664,,67.1,75,1.061,1.081,49.119,Marquette
32,Oregon,112.4,92.4,0.905,4–1,4,5,52.2,44.2,31.1,28.4,18.2,16.2,31.1,30.6,67.6,56.5,43.2,30.4,30.9,10.3,10.2,53.7,59.8,38.8,31.3,66.8,77.427,81.554,2.452,"2,025",0,0,60.009,,76.7,64.8,1.073,0.957,33.782,Oregon
33,Iowa,131.9,108.6,0.903,2–2,2,4,59.8,52,22,41.5,11.1,12.2,24,33.3,69.9,58.3,55.5,41.4,31.4,11.6,6,58.1,52.2,39.6,41.1,68.6,78.116,80.608,1.779,"2,025",0,0,54.344,,70.9,74.8,1.209,1.198,48.024,Iowa
34,Belmont,100.5,82.8,0.903,2–1,2,3,47.7,40.6,22.9,30.4,20.1,17.1,27.9,24.1,68.1,50.5,45.8,28.8,22.7,12.5,9.2,64.9,55.7,37.7,43.9,72.5,78.105,80.895,2.04,"2,025",0,0,13.381,,72.5,78.8,0.959,0.881,17.719,Belmont
35,Illinois,128.4,106.1,0.9,3–1,3,4,54.8,54.3,34.1,24.8,15.2,9.4,39.1,25.9,72.1,55.8,53.6,35.8,37.3,7.7,8.7,60,48.8,46.5,31.2,70.8,78.84,82.012,1.177,"2,025",0,0,74.592,,78.4,69.7,1.22,1.161,51.385,Illinois
