,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
1,Purdue,127.45083186606723,93.92463424461748,16.400000000000002,22.4,31.7,54.8,33.526197621449754,14.709380549084347,2024-02-02
0,Houston,117.98692491947476,82.88905009083518,14.099999999999998,38.9,28.3,48.3,35.097874828639576,14.58875364547014,2024-02-02
3,Connecticut,124.15093073077418,95.7634893406786,15.4,35.6,32.6,59.5,28.387441390095574,10.5775392479583,2024-02-02
2,Auburn,119.15539248782598,91.4448134607378,14.9,37.0,29.1,54.8,27.710579027088173,10.256753206523785,2024-02-02
4,Arizona,120.75042444948843,94.0191854831589,16.3,25.4,34.2,54.9,26.731238966329528,10.10375576946101,2024-02-02
7,BYU,120.79070222198604,95.62626566246236,16.0,29.3,29.8,60.0,25.16443655952368,9.338756301309445,2024-02-02
8,Alabama,126.05086430510023,99.89809103420366,17.0,34.8,32.0,57.9,26.152773270896574,9.020391695246909,2024-02-02
10,Illinois,121.54549666088306,97.6402659807614,15.7,23.3,31.5,53.9,23.90523068012166,8.863040714874213,2024-02-02
9,North Carolina,116.37298418215391,92.71783684759322,14.7,28.2,29.8,50.3,23.655147334560695,8.448339874082025,2024-02-02
6,Tennessee,116.03611583705008,91.66410572489345,15.1,36.9,30.1,52.2,24.37201011215663,8.037976168415542,2024-02-02
5,Iowa St.,115.5748764767838,91.26429323890358,15.9,34.0,33.3,54.4,24.310583237880223,7.947255775106935,2024-02-02
16,Creighton,115.35524837930052,95.2098219763154,15.6,15.4,30.2,59.8,20.145426402985123,7.606010105820926,2024-02-02
13,Marquette,116.4552207795507,94.6378481800033,14.7,27.0,33.4,57.4,21.817372599547397,7.364497285723912,2024-02-02
14,Kansas,118.07398136032432,95.96000138824316,16.5,27.4,32.9,56.3,22.113979972081168,7.212627782969513,2024-02-02
12,Wisconsin,121.11247570233982,98.3736628623504,15.3,30.9,36.0,53.7,22.73881283998942,7.142125832393544,2024-02-02
11,Michigan St.,117.34916678424776,95.28651407992464,14.8,32.0,31.4,52.5,22.062652704323114,7.042818149637099,2024-02-02
19,Dayton,119.20159083839172,98.99019633499644,15.6,21.8,30.8,53.1,20.211394503395283,6.798850647071122,2024-02-02
