,team,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,date
1,Purdue,127.7338945106657,93.7957151604672,16.3,23.0,30.9,54.1,33.93817935019851,14.96438940362109,2024-01-26
0,Houston,118.91481014222228,83.90409981120506,14.2,40.0,28.0,48.7,35.01071033101722,14.451933301920503,2024-01-26
2,Auburn,122.55691376383406,93.92019791146238,14.7,36.6,29.6,55.7,28.63671585237168,10.879696669946723,2024-01-26
4,Alabama,126.46490136356778,99.71165063632309,17.4,34.9,31.1,56.8,26.75325072724469,9.349132943619262,2024-01-26
5,Arizona,121.09366781042507,95.75349671195934,16.5,25.4,34.6,54.8,25.34017109846573,9.186604370064094,2024-01-26
3,Tennessee,118.3607915414048,92.08948456062868,15.5,38.0,29.8,52.6,26.271306980776117,9.062497258273432,2024-01-26
9,BYU,121.10205817994624,96.49687839020672,15.6,29.4,29.4,59.1,24.605179789739523,9.06045967174111,2024-01-26
8,North Carolina,118.07913378792426,93.8221351319356,14.2,28.8,28.4,51.2,24.256998655988667,8.982369180153086,2024-01-26
7,Connecticut,124.0118476476382,98.3311559268598,15.4,35.6,33.1,59.7,25.680691720778412,8.892421949674832,2024-01-26
10,Illinois,122.42018483122484,99.01395432947024,16.1,22.5,32.2,54.5,23.406230501754607,8.528250606070308,2024-01-26
6,Iowa St.,116.14132925672736,91.95796970204051,15.9,34.2,33.2,54.8,24.183359554686845,7.870949328358975,2024-01-26
15,Creighton,116.508855305368,96.17127806088192,15.6,15.1,30.4,59.6,20.337577244486084,7.72927211913651,2024-01-26
11,Michigan St.,117.7424568005902,95.34586815690228,15.1,30.9,30.8,52.6,22.39658864368792,7.349969072649631,2024-01-26
17,Dayton,121.54355016908193,101.07261149797073,15.8,19.8,32.2,54.3,20.4709386711112,7.034572589377829,2024-01-26
13,Marquette,115.99737893535618,95.5651725196608,14.7,27.3,33.8,57.7,20.432206415695376,6.46849591357418,2024-01-26
20,Kentucky,123.66468151308968,103.32103240023622,13.2,31.5,32.0,55.8,20.343649112853456,6.360775958840605,2024-01-26
14,Wisconsin,122.03233043980664,100.636074635777,15.2,30.7,35.9,53.4,21.396255804029636,6.357666040458078,2024-01-26
16,Kansas,117.59920693343344,97.68453110747342,16.5,27.0,32.3,56.2,19.914675825960018,5.953452253835611,2024-01-26
12,Saint Mary's,113.46920947374544,92.08180919264112,17.4,35.6,31.6,52.3,21.38740028110432,5.835514171473634,2024-01-26
23,Gonzaga,117.20758852425044,98.11385222189502,15.3,26.1,31.9,57.2,19.093736302355424,5.8004291444368095,2024-01-26
24,Duke,120.23887600314376,101.0075821451843,13.5,27.700000000000003,34.3,54.2,19.231293857959457,5.755139253355268,2024-01-26
21,Baylor,121.3356428568151,101.46507779217688,16.400000000000002,31.3,30.7,53.1,19.870565064638214,5.576294689429309,2024-01-26
29,Texas Tech,119.44135106053903,101.2926399167193,15.7,21.6,32.8,52.5,18.14871114381974,5.364513797730041,2024-01-26
26,Indiana St.,120.9168057724191,102.26129703167366,17.299999999999997,26.6,33.3,61.0,18.655508740745432,5.152360331854714,2024-01-26
18,St. John's,116.71451439010956,97.23774973449136,16.900000000000002,33.2,31.3,49.8,19.476764655618197,4.9274264399271,2024-01-26
19,SMU,113.6040570150116,94.78375860439674,17.8,32.0,27.0,51.4,18.820298410614868,4.879982030475067,2024-01-26
22,New Mexico,115.27242225047232,96.45053707340664,14.4,35.5,31.7,53.4,18.82188517706568,4.808899958010065,2024-01-26
28,Utah,117.14052090900762,99.14504701874472,16.3,24.8,35.0,54.0,17.9954738902629,4.740039073060369,2024-01-26
31,Clemson,120.97269862116536,102.75315483023796,15.1,31.3,34.6,55.8,18.219543790927403,4.556571712465715,2024-01-26
25,Colorado,117.1856258825572,98.64569961313244,18.5,29.4,33.8,55.0,18.539926269424768,4.398455024349108,2024-01-26
27,San Diego St.,113.76132246675242,96.21561130453333,15.2,31.9,29.7,52.9,17.545711162219092,4.377633808953647,2024-01-26
30,Florida,119.4477069998273,101.39972438306262,16.900000000000002,31.9,32.4,52.0,18.047982616764685,4.155419396226458,2024-01-26
36,Ohio St.,116.87010360157798,100.26071367114729,15.6,25.3,34.8,50.9,16.609389930430694,3.8883778575627232,2024-01-26
33,Oklahoma,113.04588232296923,96.38431725673588,18.4,29.5,28.5,56.3,16.66156506623335,3.7231046904023435,2024-01-26
38,Nebraska,119.10397987489362,103.16489693016592,15.9,25.2,32.7,52.8,15.939082944727701,3.6634405962838983,2024-01-26
32,Mississippi St.,113.29614988187808,96.33177939749233,18.4,33.900000000000006,27.8,53.6,16.964370484385753,3.471415995475307,2024-01-26
35,Xavier,115.85786487559534,99.2713908546788,16.400000000000002,30.2,32.1,48.5,16.58647402091654,3.4258491527590875,2024-01-26
49,Miami FL,116.58614212400973,102.05274350981333,17.8,19.6,29.3,55.4,14.5333986141964,3.3603731546598032,2024-01-26
34,Texas,117.47221964635789,100.35347219670646,17.9,33.2,33.8,54.3,17.118747449651423,3.256035944287368,2024-01-26
43,Colorado St.,117.7570015148749,102.40190350001612,14.8,28.8,34.8,58.7,15.355098014858783,3.164409789063856,2024-01-26
45,Florida Atlantic,118.91206709771038,103.617172911037,16.1,26.4,34.2,56.6,15.294894186673375,3.118685453870758,2024-01-26
42,Utah St.,115.091285954526,100.04121389938577,15.8,31.1,28.1,57.7,15.050072055140234,3.1012939536355413,2024-01-26
37,TCU,116.90710583174344,100.49860420938504,18.1,32.5,31.2,55.0,16.4085016223584,3.0836359896386227,2024-01-26
39,Villanova,113.20644301090152,98.10587457347272,15.1,27.500000000000004,33.3,50.9,15.100568437428805,2.9662967468315715,2024-01-26
53,Butler,115.84102657488904,101.93979340954888,14.6,22.7,31.4,52.1,13.901233165340159,2.9555022308574967,2024-01-26
40,Cincinnati,110.97795719592388,96.22385508659536,16.3,27.500000000000004,31.9,51.0,14.754102109328514,2.668352286690392,2024-01-26
48,Mississippi,117.15641454540189,102.5211367452156,15.1,29.1,31.5,49.3,14.635277800186287,2.628869458113634,2024-01-26
44,Wake Forest,116.05172497688734,101.12196549180656,15.7,29.9,32.9,52.7,14.92975948508078,2.6229032858992762,2024-01-26
63,Princeton,117.26730048376926,104.38686689284496,13.8,23.1,33.1,59.0,12.880433590924298,2.500814490463821,2024-01-26
54,Drake,115.1588430158538,101.33970405893264,14.099999999999998,30.6,33.3,58.3,13.819138956921165,2.284774763721911,2024-01-26
56,Iowa,117.09868362581946,103.40579827252262,13.6,29.6,33.0,53.8,13.692885353296845,2.2742600655110747,2024-01-26
41,Boise St.,110.9783141250697,96.30805852377024,17.8,32.5,29.0,49.8,14.67025560129946,2.093705916792669,2024-01-26
51,Nevada,112.67606384385502,98.87963816214766,14.000000000000002,33.7,31.2,53.0,13.796425681707362,2.0068696658414904,2024-01-26
47,Washington St.,113.06860871385643,98.9321679108128,15.5,33.0,32.0,53.8,14.13644080304364,1.9877288898566206,2024-01-26
46,Providence,107.67804343992908,93.97849831748904,18.2,26.4,31.9,55.5,13.699545122440043,1.9437225246884258,2024-01-26
50,South Carolina,114.37197571575037,100.31035897312378,16.1,31.2,32.9,51.3,14.061616742626583,1.8625862130022146,2024-01-26
65,Richmond,108.36855501362724,97.30028777831367,12.5,24.8,29.8,51.8,11.06826723531357,1.5028430135412782,2024-01-26
57,Oregon,115.84756332958928,102.3478692499971,14.9,34.4,34.2,53.0,13.499694079592174,1.369213388551226,2024-01-26
