,0
0,UT-Martin
1,Morehead St.
2,SIU-Edwardsville
3,Lindenwood
4,Sacramento State
5,Northern Colorado
6,Abilene Christian
7,Tarleton State
8,Oregon State
9,Utah
10,UC Riverside
11,Cal State Bakersfield
