,0
0,Washington St.
1,Oregon State
2,Wagner
3,FDU
4,SIU-Edwardsville
5,Morehead St.
6,Tennessee Tech
7,Southeast Missouri State
8,Tarleton State
9,Utah Valley
10,Sacramento State
11,Idaho St.
12,UT Arlington
13,California Baptist
14,Cal State Bakersfield
15,UC Riverside
