,0
0,Western Illinois
1,Southeast Missouri State
2,UT-Martin
3,SIU-Edwardsville
4,Stephen F. Austin
5,Tarleton State
6,Sacramento State
7,Portland St.
8,Oregon State
9,USC
10,Seattle
11,California Baptist
12,UC Santa Barbara
13,Cal State Bakersfield
