,0
0,27.713671767299996
1,1.958616964500001
2,4.6822724198000065
3,6.14805134120001
4,0.31359331769999876
5,10.849275676799998
6,3.1061538992000006
7,15.097258297699998
8,23.4024618677
9,1.0419881359999859
10,3.5848618796000085
11,11.548489366899997
12,7.950054988199998
13,14.696010965300005
14,4.183163699999999
15,12.966311577200003
16,28.103028978899996
17,0.9564310897999952
18,1.2930484521999999
19,12.903683405699994
20,4.014348838899997
21,14.897593702599996
22,4.514120748500006
23,19.025818113499998
24,25.6860924935
25,5.387322909900012
26,7.014505246899996
27,10.001588222000002
28,2.9905283458000014
29,12.496609516200001
30,3.2755427368999994
31,17.416202161899996
