rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,ajdt
31,Northwestern,B10,21-11,117.19417199920213,25,99.20619955,64,0.871721227,31,21.604356880504984,11.395643119495015,12,8,8-Dec,0.6728820128223085,0.36344726577578046,0.8316165315381221,0.6772331619144532,0.36344726577578046,0.8316165315381221,0.6906351109278713,0.9012350148293014,110.50246102090536,101.55209985873606,110.7073521809624,101.59568033395244,122.16038907408124,100.84554715759826,133.30236420805952,109.9210358027409,0.9018422449786575,12,0.010526970370790312,1514,1469,1330.8125,1.1376508711783215,1.1038369417179354,0,0.6,1.5007450470092967,33,149,63.68374191341458
32,Villanova,BE,18-15,110.43984802472121,87,93.54731913049218,10,0.8709114361772624,32,18,15,10,10,10-Oct,0.7102240523326372,0.6267278271762666,0.7681515468998904,0.7102240523326372,0.6267278271762666,0.7681515468998904,0.6649115498004659,0.7728596121661397,111.7636058838937,100.6595274425556,111.7636058838937,100.6595274425556,111.43942681869025,93.61328725176065,120.04173640721706,105.0524377339622,0.8225715896037161,16,-0.070968282,1399,1321,1309.175,1.0686119120820365,1.009032405904482,0,0.5,-1.141601566,70,326,63.32918937202341
33,TCU,B12,21-12,114.49972860666715,40,97.10805907641814,31,0.8692794664993061,33,21.602154025221203,12.397845974778798,9,9,9-Sep,0.6574834012172914,0.3560692713656501,0.8469774690665866,0.6621043580669168,0.3560692713656501,0.8469774690665866,0.673900824,0.8917190471183531,109.15525501143397,101.00549864083999,109.30215031655236,100.98662521784254,118.53054108982509,99.04115923358098,125.30279253156188,107.8792863928161,0.8483583615723821,16,0.009459779,1378,1357,1265.125,1.0892204327635608,1.072621282481968,0,0.5,1.3359335376379162,38,152,69.88895056880403
34,Wake Forest,ACC,20-13,116.4607159184774,28,98.99064621632728,60,0.8663517300743995,34,20,13,11,9,9-Nov,0.6692326,0.47840928080058787,0.7678427950201737,0.6692326,0.47840928080058787,0.7678427950201737,0.7313869590831027,0.8475706303805822,108.83588856496769,101.02779916892118,108.83588856496769,101.02779916892118,117.58866624992275,97.13536265231068,123.3205718104653,108.54264098946352,0.8127391438836602,10,-0.070488268,1549,1433,1386.0124999999996,1.1175945382887964,1.0339012094046773,0,0.55,-1.333644911,72,325,68.03459206
35,Clemson,ACC,21-11,116.71722781628985,27,99.33810502176067,69,0.8646061998974351,35,21.433777981610728,11.566222018389272,11,9,9-Nov,0.7044166670014108,0.6075034679905449,0.7558137057408726,0.710127786,0.6075034679905449,0.7558137057408726,0.7081266600731643,0.7781381230926235,111.19977374981474,101.5945406756804,111.30975010334457,101.40963473767201,118.46849664577518,100.75398186718792,123.70219111151197,100.41634453129649,0.9167012471645313,8,0.001315402,1514,1446,1350.6125,1.1209728919286621,1.0706253644179955,0,0.55,0.9461715293162386,46,170,66.18821935
36,Ohio St.,B10,20-13,115.47507634694263,34,98.38500603348669,45,0.8631747362662333,36,20,13,9,11,11-Sep,0.7002943961654063,0.47964563747559197,0.8041709314425951,0.7002943961654063,0.47964563747559197,0.8041709314425951,0.7007109941532603,0.8608787394145331,110.74072893024518,100.90197834875651,110.74072893024518,100.90197834875651,116.10379311364741,100.7389085,124.32661153330683,106.61269621247129,0.8541662780838524,12,-0.032822364,1441,1451,1333.25,1.0808175510969436,1.0883180198762423,0,0.45,-0.228400241,58,256,65.42397856891162
37,Nevada,MWC,26-7,115.04891751964587,36,98.03216196497846,39,0.8630327383128752,37,26.516791838241883,7.483208161758117,13,5,13-5,0.5858950036922658,0.45092815063622005,0.6764216216927095,0.5938067574766449,0.45092815063622005,0.6764216216927095,0.7720579004643738,0.8651622979549339,108.43477227963969,103.48208080453833,108.70723289771178,103.3960771806632,116.6800962242154,99.33806529,119.19384649562083,103.15100392275534,0.8405608918217706,12,0.061703442,1329,1227,1178.45,1.1277525563239847,1.0411981840553268,0,0.7222222222222222,2.745741756071699,23,56,66.76443921813197
38,Pittsburgh,ACC,22-11,115.7343224671255,31,98.86028491844093,56,0.8596373259691966,38,22,11,12,8,8-Dec,0.6444867465207994,0.38481504966646213,0.761910681,0.6444867465207994,0.38481504966646213,0.761910681,0.7379956232420857,0.9001470514628411,109.3768013692945,102.29865999985202,109.3768013692945,102.29865999985202,115.96280581500491,101.57181187448235,126.15653782478621,110.88955759000665,0.8150811890159233,10,-0.009734751,1446,1409,1305.7875000000001,1.107377731828494,1.0790423403501717,0,0.6,0.3070123570013601,53,199,65.76801679537398
39,Washington St.,P12,24-9,112.79274834746026,58,96.62305065084794,28,0.8556288455214073,39,24.55110481,9.448895188942899,14,6,14-6,0.6433379239561007,0.4077296035278535,0.7583958180649297,0.6487808581269227,0.4077296035278535,0.7583958180649297,0.744994778,0.8849725378599881,108.97793274457645,102.12264664398475,109.1503780772398,102.06457845028412,114.74287874900872,99.05658263909012,124.79265093637802,105.0915425520728,0.8782487969512881,10,0.045331219648646504,1470,1400,1340.4875,1.0966159699363105,1.0443961618441053,0,0.7,1.9415148129123496,29,76,64.88905786212712
40,Dayton,A10,24-7,117.42597267607917,22,100.64396121661076,92,0.8548946323625828,40,24.483208161758117,7.516791838241883,14,4,14-4,0.6326182262153701,0.6330434643179965,0.6252106522957632,0.6398186797185171,0.6330434643179965,0.6252106522957632,0.762543995,0.7236445208943539,107.84183597352295,101.68284655954618,108.0670572718437,101.56876266596247,117.37685471137753,99.32635541993561,139.93963664720383,116.16592593970786,0.8948438997221055,4,0.070708747,1367,1203,1190.3374999999999,1.1484137902065592,1.0106377392966281,0,0.7777777777777778,2.5693140574561077,25,40,63.98742307
41,Boise St.,MWC,22-10,114.02588043031906,46,97.80216923683871,36,0.8538353809261106,41,22.428059657394535,10.571940342605464,13,5,13-5,0.634713184,0.562855852,0.6722673464593734,0.6423409490925832,0.562855852,0.6722673464593734,0.7341962295611137,0.778678637,109.63437647923669,101.16867613656261,109.87824611977842,101.06706085267012,116.33401099068642,99.33081385593033,113.45925950562226,97.88541329177683,0.8452644824179933,11,0.016460094748767085,1374,1232,1199.1999999999998,1.145763842561708,1.0273515677118081,0,0.7222222222222222,0.882824095,47,133,66.61938158591256
42,Cincinnati,B12,20-14,111.17986878234106,77,95.47191596371334,21,0.8521605153651599,42,20,14,7,11,11-Jul,0.6745787911115823,0.4183512134076578,0.8370461909237594,0.6745787911115823,0.4183512134076578,0.8370461909237594,0.6854343027642202,0.8958198599126803,109.95433613820715,100.43898364880181,109.95433613820715,100.43898364880181,110.96352185004518,95.12299790473068,111.80917721720503,95.37372887595266,0.8615698823639575,16,-0.029065766,1252,1247,1226.4375,1.0208428884472303,1.016766039851195,0,0.3888888888888889,-0.706326697,63,251,67.26638777233306
43,Texas A&M,SEC,20-14,115.00399151860677,37,98.91522771,58,0.8498074745712024,43,20.38661306,14.613386935143101,9,9,9-Sep,0.7042864261180485,0.5699568068273286,0.7771133168832735,0.7098716499860812,0.5699568068273286,0.7771133168832735,0.6622068211043297,0.7075486117997859,111.34748048958829,101.16063589159766,111.47101890801704,101.00104953491633,111.3168858580004,97.26044714868085,127.59475006164028,106.11646145106982,0.8928035550139082,13,0.001432618,1286,1289,1223.5874999999999,1.0510077947020546,1.0534596013770983,0,0.5,0.2567799084383531,54,168,65.55462882929254
44,Indiana St.,MVC,28-6,117.54940679320985,20,101.32357441263906,100,0.8466034096823493,44,28,6,17,3,17-3,0.5180985228030492,0.38518824850929184,0.5666221363960665,0.5180985228030492,0.38518824850929184,0.5666221363960665,0.8284924947069762,0.8419456230619095,106.12911668988154,104.5413518826823,106.12911668988154,104.5413518826823,118.54228542343783,100.31746768099869,119.95705817628513,107.26576868127192,0.7834658058789393,5,0.055910989843159564,1650,1421,1416.875,1.164534627260697,1.0029113365681517,0,0.85,1.9417486037051745,28,67,70.51534115
45,Colorado St.,MWC,24-10,113.79542510173656,49,98.13050057,40,0.8459518224655294,45,24.554991309072765,10.445008690927235,10,8,8-Oct,0.6393862351963014,0.5336632647020939,0.7035688939089584,0.6444016432899998,0.5336632647020939,0.7035688939089584,0.7421090755996466,0.8137300314138484,110.95834004942189,102.33929959947656,110.76608909068659,102.02484574822199,112.10614419557989,97.76847201414047,124.68418736411552,104.37010823125564,0.8854584942568071,13,0.042032567,1277,1223,1188.875,1.0741246977184313,1.0287036063505415,0,0.5555555555555556,1.4548107707665574,35,85,65.84935637956822
46,Oklahoma,B12,20-12,113.0546975062583,55,97.62395496653201,34,0.8439098219381891,46,20,12,8,10,10-Aug,0.677993929,0.42231118758178676,0.8520267116547781,0.677993929,0.42231118758178676,0.8520267116547781,0.6699882998218832,0.862679622,109.19270790638545,100.2615774139705,109.19270790638545,100.2615774139705,114.6552652120021,99.34920758535506,124.37360539814564,107.37428384661754,0.844243442,17,0.038316481,1269,1302,1215.4,1.0441007075859798,1.0712522626295868,0,0.4444444444444444,1.1695892216790358,43,92,67.07525238285443
47,South Carolina,SEC,26-7,114.36924967914271,43,98.86255012,57,0.8423170412359391,47,26.54809460921032,7.451905391,13,5,13-5,0.636542203,0.40384152,0.7845029503325388,0.6417899092085764,0.40384152,0.7845029503325388,0.7178204012358739,0.8757200425643797,109.28003050363526,102.22387869633444,109.3973398024151,102.14576282498331,115.49993532439245,97.74401456458655,118.70088003457518,102.46896889673395,0.844360501,11,0.14758734818718833,1261,1238,1163.4125,1.0838803949587958,1.0641109666605784,0,0.7222222222222222,4.751072217,12,1,62.999217603268306
