Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
98,Wyoming,114.1,105.7,0.707,3–3,3,6,50.6,52,29.8,44.3,13.9,16.2,31.6,32.8,66,52.8,54.2,31.5,31.4,6.2,14.4,52.8,40.3,39.8,31.2,66.8,77.033,79.971,1.569,"2,026",0,0,8.994,,71,63.4,1.109,1.091,21.583,Wyoming
99,Monmouth,111.4,103.5,0.7,5–1,5,6,53.9,50.3,29.3,27.7,15.2,22,30.1,33,66,56.3,52.5,33.3,31.3,9.8,4.7,50,52.4,38.3,38.6,66.5,77.853,80.409,1.931,"2,026",0,0,11.948,,79.2,77.2,1.142,1.023,8.17,Monmouth
100,Providence,115,106.9,0.699,3–3,3,6,55.1,51.5,30.9,27.3,16.8,13.5,26.3,29.2,71.6,51.4,55.6,40.6,29.4,6.3,7.8,36.9,51.1,38.8,35.1,70.3,78.117,80.189,1.595,"2,026",0,0,45.024,,71.8,79.2,1.097,1.127,32.279,Providence
101,George Mason,112.2,104.3,0.698,2–4,2,6,51.5,49.3,24.4,27.5,15.4,11.3,34,28.9,61.9,53.6,50.4,32.1,31.4,6.7,9.6,42.2,48.3,38.5,35.1,61.7,77.901,80.847,2.253,"2,026",0,0,25.11,,75.9,69.5,1.112,1.094,22.509,George Mason
102,Yale,110.9,103.1,0.698,3–3,3,6,52.6,49.3,28.8,18.9,13.6,17.2,35.6,33.8,63.6,53.7,47.4,33.8,34.3,14.2,6.1,61.3,59.3,36,47.9,63.3,77.443,79.682,1.963,"2,026",0,0,10.824,,63.5,73.9,1.145,1.055,10.537,Yale
103,Colorado St.,113.9,106.5,0.684,4–2,4,6,56.1,52.5,36.5,40.3,19.2,16.9,25.4,30,66.1,56.1,57.6,37.4,29.2,6.3,11.5,67.8,41.2,49.7,36.9,65.8,77.651,80.932,1.775,"2,026",0,0,31.199,,76.3,67.2,1.102,1.081,23.724,Colorado St.
104,Georgia Tech,113.4,106.2,0.68,0–3,0,3,48.8,50.3,38.8,40.6,19.4,13.6,27.9,33.3,68.7,49.4,56.7,32.1,27.6,9.6,11.5,64.7,62.5,47.3,42.2,68.6,77.921,80.521,1.656,"2,026",0,0,79.31,,79.7,74,1.029,1.141,34.388,Georgia Tech
105,Northern Kentucky,120.3,112.8,0.677,3–2,3,5,57.5,55,41.6,34,13.6,14.2,32.6,28.4,71.9,57.2,55.6,38.6,36,9.6,5.8,59.3,51.3,43.3,35.9,72,76.954,79.144,2.395,"2,026",0,0,0.2,,72.4,81,1.232,1.182,10.067,Northern Kentucky
106,Sam Houston St.,114,106.9,0.677,3–3,3,6,51.3,53.1,36.4,36.5,15.4,17.1,39.4,26.4,69.2,48.2,54.3,38.7,34.3,5.1,10.1,50,52.6,31.6,42.1,69.7,76.496,79.673,1.708,"2,026",0,0,12.416,,68.6,71.8,1.155,1.083,10.477,Sam Houston St.
107,Detroit Mercy,110.1,103.3,0.676,3–2,3,5,50.3,48.6,34.8,36.3,14.1,15,30.3,32.1,66.8,50,50.8,34.2,30.1,7.8,7.5,51.1,57.6,26.2,38.7,67.4,77.15,80.313,1.419,"2,026",0,0,5.729,,81.2,67,1.119,1.062,12.101,Detroit Mercy
108,Seattle,103.2,96.9,0.674,4–1,4,5,48.5,49.5,42.2,21.5,14.6,23.1,22.1,32.1,65.6,48.2,45.8,32.7,36.7,15.7,8.5,58.4,57.8,38.8,39.6,65.6,77.33,81.168,2.278,"2,026",0,0,10.636,,71.7,72.9,1.037,0.958,12.433,Seattle
109,Kansas St.,111.2,104.6,0.669,1–4,1,5,51.7,55.2,31.1,30.7,18.4,16.3,22.3,33.7,75,50.3,59.1,36,33.1,7.8,12.6,48.5,55.7,36.8,40.8,75.1,77.367,80.522,2.109,"2,026",0,0,40.46,,71.3,68,1.01,1.141,40.107,Kansas St.
110,DePaul,101.3,95.3,0.669,2–3,2,5,46.5,47.3,25.9,38.3,18.8,18.5,27.4,32.2,67,45.3,48.6,32.4,30,8.5,11.6,57.8,56.9,36.7,36.1,67,77.84,80.876,2.094,"2,026",0,0,41.369,,70.3,75.5,0.95,1.022,29.625,DePaul
111,High Point,110.3,103.8,0.668,4–0,4,4,51.8,42.8,41.1,43.5,13,17.2,28.6,32.3,71.2,49.7,45.6,36.6,25.6,10.9,7.6,49.5,43.3,41.1,38,71.5,76.312,79.626,2.541,"2,026",0,0,13.909,,70.3,73.8,1.144,0.979,5.269,High Point
112,South Carolina,110.3,103.9,0.665,1–4,1,5,46.3,55.9,33.9,28.4,16.2,13.8,30.1,30.6,65.4,45.8,60.2,31.2,32.4,6.6,13.4,50.9,63.9,49.3,37.4,65.3,77.62,80.715,2.053,"2,026",0,0,55.531,,72.6,74.4,1.003,1.174,45.69,South Carolina
113,Oral Roberts,114.5,107.9,0.664,3–1,3,4,60.1,46.2,42.1,38.3,17.7,12.4,35.3,27.1,70.5,57.3,46.6,42.3,30.4,6.8,7.3,49.6,54.5,45.6,41.1,69.3,76.746,79.217,1.534,"2,026",0,0,16.521,,74,62.1,1.224,1.022,5.41,Oral Roberts
114,Towson,109.6,103.3,0.664,5–1,5,6,48.6,43.8,29.4,20.4,13.7,12.7,38.2,33.5,60.8,46.4,43.9,35.4,29,14.3,8.4,40.7,42.1,32.3,39.4,61.3,78.118,81.056,2.228,"2,026",0,0,0.46,,75.7,66.7,1.126,1.002,8.366,Towson
115,Temple,113.4,107.1,0.659,1–4,1,5,53.4,53.1,33.8,35.4,13.7,15.8,25.2,26.6,65.6,54.4,52.9,34.4,35.6,7.1,8.2,39.4,45.2,34.5,37.3,65.1,77.504,79.898,2.013,"2,026",0,0,29.083,,78.7,72.9,1.131,1.091,17.628,Temple
116,Illinois Chicago,114.4,108.3,0.653,3–2,3,5,52,53.5,39.5,34.3,15.3,16.5,34.4,28.3,66.1,54.4,50,31.1,38.3,7.7,10.8,50.4,65.9,30.6,46,66,77.147,79.629,1.498,"2,026",0,0,12.486,,71.6,70.7,1.124,1.095,13.696,Illinois Chicago
117,Loyola Chicago,105.8,100.3,0.649,3–2,3,5,55.1,46.7,37.2,35.1,20.4,11.4,25.5,24.7,63.3,54.7,48.7,37,29.7,13.3,17.2,64.9,62.3,48.2,47.9,62.9,77.46,80.402,1.866,"2,026",0,0,22.913,,69.6,68.3,1.038,1.044,20.726,Loyola Chicago
118,North Dakota St.,105.2,100,0.642,4–1,4,5,52.2,46.9,32.1,29.8,14.5,16.3,29.5,19.5,67.6,50.3,50.4,36.4,29.5,8.4,12,57.6,64.2,44.1,56.7,67.4,76.177,79.574,1.834,"2,026",0,0,0.2,,68.8,80.5,1.119,0.959,8.369,North Dakota St.
119,UMBC,114.7,109.1,0.64,6–1,6,7,58.9,45.5,35.9,26.3,13.1,15,29.1,27.2,66.5,58.3,46.6,39.9,29.2,8.1,4.1,37.1,36.4,38.7,40.9,66.4,76.966,79.572,2.083,"2,026",0,0,7.895,,78.9,66.4,1.24,0.973,2.989,UMBC
120,UNC Wilmington,110.4,105.1,0.638,3–2,3,5,50.6,46.4,23,39.5,15.9,13.2,40.6,29.8,66.5,47.4,49.4,36.8,28.3,5.5,8.4,56.4,49.6,41.7,43.6,66.4,78.88,81.086,2.681,"2,026",0,0,12.867,,64,72.2,1.136,1.061,10.834,UNC Wilmington
121,California,106.7,101.6,0.637,2–3,2,5,48.8,53.6,31.4,43,14.7,17.5,24.6,25.9,70.9,53.8,53.7,28.4,35.7,7.9,10.7,48.8,58.9,44.2,41.2,69.8,77.333,80.943,2.252,"2,026",0,0,60.065,,74.7,68.3,1.035,1.075,26.628,California
122,Kennesaw St.,113.7,108.3,0.636,5–2,5,7,52.9,47.6,49.4,46,16.4,16.4,34.7,31.7,69.5,52.4,48.1,35.8,31.2,12.9,6.9,49.7,50.9,38,39.4,70.8,78.338,80.486,1.297,"2,026",0,0,13.242,,69.9,79.2,1.145,1.077,10.099,Kennesaw St.
