Rank,team,adjoe,adjde,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
161,Drexel,102,100.6,0.54,2–2,2,4,47.2,47.2,32.9,28.4,19.7,18.1,33.6,36.6,63.5,41.2,52,37.6,25.3,10,13,55.8,42.9,39.4,34.5,63,77.042,80.723,2.193,"2,026",0,0,2.149,,74.6,73.8,1.013,1.04,12.602,Drexel
162,Western Carolina,111,109.5,0.539,3–1,3,4,49.6,53.8,39.5,33.2,16.6,14,43.1,23.3,66.2,51.8,56,30.9,32.9,5.3,8.5,35,31.5,40.8,32.7,66.1,77.28,81.045,1.827,"2,026",0,0,0.2,,76.6,58.1,1.163,1.068,6.044,Western Carolina
163,Campbell,114.2,112.7,0.538,3–3,3,6,52.5,47.9,44.2,32.4,17.5,15.1,37.8,34.3,67.4,55.2,50.2,31.6,28.4,4.3,7.7,46.8,44,34,29.9,69.1,76.325,78.915,2.229,"2,026",0,0,0.745,,74.3,78,1.142,1.09,10.146,Campbell
164,Charlotte,116.8,115.5,0.532,3–4,3,7,52.8,50.2,35.1,26.2,17.3,10.4,31.3,35.2,64.8,56.5,52.6,32.8,31.1,7.8,9.8,54.9,57.1,50.3,40.6,63.3,78.855,82.49,2.016,"2,026",0,0,11.418,,74.3,76.3,1.106,1.176,20.787,Charlotte
165,Western Kentucky,113.5,112.4,0.528,2–3,2,5,53.7,51.3,55.1,49.8,13.6,15.2,23.4,29.7,73.5,51.1,53.9,38.8,31.6,2.8,10,54.5,54.5,36.4,39.4,72.9,76.763,80.838,2.144,"2,026",0,0,10.396,,73.1,70.9,1.137,1.115,9.682,Western Kentucky
166,Middle Tennessee,109.5,108.5,0.526,4–1,4,5,52.7,50.3,42.4,28.4,20.3,15.9,33.3,30.3,67.3,51.3,50.5,36.3,33.3,8.5,9.9,52,45.5,44.9,33.1,68.2,78.264,81.421,2.043,"2,026",0,0,19.705,,76.1,71.8,1.102,1.049,9.072,Middle Tennessee
167,Belmont,124.2,123.2,0.523,1–2,1,3,62.2,59.6,22.8,39.5,14.4,14.4,28.4,23.8,67.1,53.8,63.9,46,36.7,12,11.3,73,57.3,55.6,48.8,67.6,77.823,80.944,1.452,"2,026",0,0,5.77,,65.9,81.3,1.246,1.216,12.031,Belmont
168,Fresno St.,102.4,101.7,0.52,1–4,1,5,48.1,50.2,23.3,22.4,16,13.3,22.8,32.8,66.1,48.9,53,31.2,31.3,10.8,6.7,41.3,53.7,38,47,68.6,77.877,81.206,1.222,"2,026",0,0,8.025,,77.6,70,0.992,1.098,25.66,Fresno St.
169,South Alabama,109.3,108.6,0.519,1–3,1,4,53.3,54.8,37.3,30.9,11.8,16.3,25,23.9,65.8,51.1,48.6,37.6,38.5,11.1,10.4,51,69.6,40.8,67.3,64.1,77.32,79.521,2.408,"2,026",0,0,3.281,,62.4,77.9,1.124,1.116,16.233,South Alabama
170,Mercer,113.9,113.2,0.518,1–2,1,3,53.9,48.9,46.4,33.2,13,17,28.9,44,66.6,51.8,50,38.9,31.4,6.1,6.3,36.7,36.7,32.5,38,66.7,77.232,80.221,2.088,"2,026",0,0,9.256,,64.9,83.6,1.146,1.156,7.397,Mercer
171,Princeton,100.9,100.3,0.517,1–2,1,3,54.8,44.4,28.3,35.9,20.9,13.1,18.8,28.7,63.7,51.7,52.8,39.7,23.5,3.4,8,55.9,42.4,40,47.6,65.3,77.571,80.023,1.108,"2,026",0,0,18.449,,78,75.4,0.999,1.03,13.215,Princeton
172,Saint Louis,113.9,113.3,0.515,3–3,3,6,55.1,53.5,35.2,35.1,18.2,15,25,30,66.7,55.5,51.8,36.5,37.1,12,10.4,61.3,56.8,46.1,44.2,67.1,77.534,80.111,1.939,"2,026",0,0,21.913,,81.4,74.2,1.114,1.137,20.305,Saint Louis
173,Jacksonville,113.5,112.9,0.515,2–1,2,3,52.9,54.6,30.9,42.9,12,13,45.5,21.1,66.7,48.6,56,43.1,34.9,9,7.9,50,44.9,26.7,38.7,66.8,76.921,80.308,1.364,"2,026",0,0,21.198,,86.4,71.4,1.264,1.139,2.802,Jacksonville
174,Rice,106.2,105.8,0.511,2–2,2,4,49,45.8,27.2,37.1,18.9,12.9,36.4,33.3,66.1,51.4,49,31.3,27,10.6,10.8,46.4,40.8,53.6,37.1,66,76.506,79.295,2.231,"2,026",0,0,11.733,,61.5,69.7,1.036,1.066,16.005,Rice
175,Duquesne,108.2,107.8,0.511,2–4,2,6,45.9,57.8,33.2,33.8,16.5,19.6,33.8,28.3,64.5,50.5,51.4,26.5,44.3,13,14.8,52.2,55.7,42.9,42.5,64.8,77.448,79.806,2.576,"2,026",0,0,5.589,,71.1,72.1,1.024,1.114,22.9,Duquesne
176,Drake,110.2,109.9,0.508,2–3,2,5,50.4,51.3,29.5,23.9,16.6,14.1,28.3,33.5,65.1,54.8,53,30.8,32.8,8.3,8.1,57.6,57.5,51.4,44.9,66.1,76.941,80.284,1.975,"2,026",0,0,10.033,,75.6,68.5,1.051,1.116,18.203,Drake
177,Incarnate Word,104.8,104.8,0.5,1–2,1,3,51,50,32,26.7,16.3,17.4,22.8,31.3,61.3,52.7,49.1,32.3,34.5,3.8,12.1,45.6,38,40.5,34.2,63.2,76.381,79.726,2.479,"2,026",0,0,0.2,,67.3,67.4,1.028,1.033,7.096,Incarnate Word
178,SIU Edwardsville,101.9,102.4,0.486,2–1,2,3,54.3,44.4,21.8,35.6,17.8,17.3,30.3,22.5,63,53.5,46.3,37,26.9,10.2,6.9,56.8,43.8,42,32.5,64.3,77.257,81.486,2.479,"2,026",0,0,8.71,,68.4,56.1,1.094,0.885,1.045,SIU Edwardsville
179,Pacific,106,106.6,0.484,1–2,1,3,44.7,52.8,25.3,37.1,17.5,16.5,38.8,28.2,62.7,46.4,45,27.9,40.5,6.3,12.7,72.9,66.2,38.2,49.7,62.6,77.11,80.538,2.545,"2,026",0,0,14.815,,68.9,64.4,1.01,1.095,25.458,Pacific
180,Siena,100.6,101.2,0.483,4–1,4,5,45.3,43.2,36.3,18.2,15.1,14.5,28.7,29.7,64.9,44.3,42.9,31.6,29.1,12.1,13.1,64,42.7,34.2,35.7,66,76.737,79.979,1.725,"2,026",0,0,3.878,,84.2,71.4,1.039,0.944,5.355,Siena
181,Florida Atlantic,106.1,106.8,0.481,3–2,3,5,51.6,48.8,38.5,36.2,19,12,29.7,25.6,67,52.6,50,32.9,30.7,7.6,8.9,39.1,44.7,30.9,29.5,69.5,77.749,81.03,1.157,"2,026",0,0,42.887,,68.9,73.1,1.041,1.079,14.336,Florida Atlantic
182,Stetson,114.4,115.2,0.48,2–2,2,4,61.2,50.2,30.1,36.7,15.2,14,25,28.9,65.8,60.2,49.7,41.7,34.2,6.8,7.3,61.4,47,43.8,35,66.4,76.73,81.099,1.827,"2,026",0,0,1.603,,71.2,84.3,1.196,1.128,5.696,Stetson
183,Harvard,96.5,97.2,0.479,2–2,2,4,49.6,48.1,17.4,14.6,21.2,16.4,27.7,23.2,65.3,57,47.4,27.5,33.3,9.9,4.1,55.6,45.2,47.4,28.8,65.4,76.614,78.066,1.456,"2,026",0,0,13.647,,80,62.9,0.967,0.941,10.527,Harvard
184,Notre Dame,115.4,116.4,0.475,1–3,1,4,50.7,54.9,42.9,49.4,16.7,11,23.8,29.4,68.4,47.4,58.8,36.1,33.9,5.9,11.2,47.9,51.8,48.2,49.8,68.9,78.294,81.004,1.425,"2,026",0,0,64.099,,75,79.5,1.062,1.254,36.598,Notre Dame
185,Howard,108.3,109.3,0.474,6–0,6,6,53.7,46.6,52.1,33.9,18,18.4,39.5,30,69.6,50.9,48.5,39.2,28.2,8.7,9.2,60.8,41.2,35.5,31.3,69,76.226,78.557,1.899,"2,026",0,0,0.2,,73.3,71.4,1.178,0.987,2.588,Howard
186,Furman,112.1,113.2,0.472,4–1,4,5,56.8,55,36,33.6,15.9,13.4,32.9,23.1,64,56.4,59,38.3,33,10.3,9.1,45.5,37.7,39.3,42.4,64.7,79.189,81.426,1.607,"2,026",0,0,11.546,,74.5,61.5,1.194,1.107,5.786,Furman
187,Missouri St.,114.4,115.7,0.468,3–4,3,7,54.7,51.8,39.6,39.1,14.4,14.6,29.6,33.5,64.7,55.9,53.8,35.3,31.8,5.3,12.7,60.2,42.1,39.6,33.5,65.1,77.062,79.42,1.787,"2,026",0,0,5.371,,69.3,70.8,1.146,1.142,12.803,Missouri St.
188,FIU,110.1,111.5,0.464,2–3,2,5,50.8,55.6,38,44,20.3,20.9,39.1,35,70,51.2,51.2,33.3,41.4,12.8,6.8,47.1,60.8,30.3,40.4,70.5,76.882,80.962,2.133,"2,026",0,0,0.2,,70.8,70.2,1.091,1.117,12.767,FIU
189,Portland,104.9,106.3,0.462,3–2,3,5,51.1,51.7,29.3,23.6,19.6,14.3,29.9,31.5,68.5,54.2,53.2,29.7,33.3,7,4.2,58,73.6,32.2,46.2,68,78.741,81.823,1.306,"2,026",0,0,0.2,,74.7,69.3,1.025,1.112,23.045,Portland
190,UT Arlington,100.4,101.8,0.46,3–2,3,5,41.7,47.2,44.3,35.6,18.6,17.4,34.8,27.9,64.5,43.2,51.8,25,26.3,9.5,10.1,30.8,41.6,26.6,37.1,63.6,76.761,80.175,1.384,"2,026",0,0,23.878,,77.5,66.3,0.989,0.977,15.418,UT Arlington
191,Jacksonville St.,104.7,106.3,0.457,2–3,2,5,50,50,40.4,43.2,16,15.1,30.7,21.8,64.3,46.5,46.8,37.9,36.3,10.1,5.9,48.8,44.3,33.7,41.7,66.5,77.195,80.183,2.012,"2,026",0,0,0.595,,68.4,73.5,1.067,1.058,8.388,Jacksonville St.
192,Mount St. Mary's,97.6,99.1,0.456,1–2,1,3,46.7,41.3,20.7,33.1,19.7,16.6,40,33.1,64.4,48.6,36,29.3,31.3,11.2,9.2,52,62.1,40.8,48.3,65,76.987,80.432,2.284,"2,026",0,0,1.742,,63.2,78.9,1.015,0.969,7.404,Mount St. Mary's
193,North Dakota,102.8,104.4,0.456,2–2,2,4,48.2,55,40.3,41.7,13,17.8,19.3,30.4,67.6,50.4,54.5,30.4,37.1,7.4,6.7,48.4,54.9,46.2,44.5,67.7,76.576,79.802,1.583,"2,026",0,0,15.387,,69.7,64.8,1.018,1.106,16.237,North Dakota
194,UC Davis,100.5,102.1,0.455,2–3,2,5,47.6,48.8,37.4,42.2,17.9,20,18.8,29.1,72.4,50.6,50,29.5,31,6.2,10.8,50.4,35.2,46.8,34,71.1,76.415,80.135,1.531,"2,026",0,0,15.319,,75.7,75.8,0.968,1.004,13.816,UC Davis
195,Kent St.,113,114.8,0.455,4–2,4,6,52.3,54.2,41,47,14.9,17.7,35.7,31,70.4,48,53.7,38.2,36.5,6.8,9.7,56.6,52.9,46.4,47.3,69.2,76.065,79.628,2.038,"2,026",0,0,7.733,,74.7,71.5,1.171,1.129,9.733,Kent St.
196,UC Santa Barbara,101.3,103,0.452,1–3,1,4,50.5,45.9,32.7,39.6,22.2,12.9,26,20.4,67.6,52.2,53.2,32.3,18.8,7,7,45.1,42.7,45.5,28.8,66.7,78.018,80,1.956,"2,026",0,0,53.721,,76.8,70.5,0.984,0.984,12.5,UC Santa Barbara
197,Cal Poly,113.3,115.2,0.452,2–3,2,5,50,52.7,26,31.8,14.6,13,30.1,25.6,77,54.7,55.9,30.3,31,4.1,14,55.4,52.5,50.9,33.9,76,77.431,79.457,1.052,"2,026",0,0,0.2,,85.7,71.7,1.112,1.11,14.233,Cal Poly
198,Massachusetts,108.9,110.9,0.448,2–3,2,5,49.7,51.6,33,33.9,16.6,13.5,36.5,27.3,69.4,54.6,57.1,26.7,29.5,6.3,7.2,48.9,60.4,33.7,43,69,76.787,80.474,2.031,"2,026",0,0,18.128,,70.9,76.9,1.078,1.118,12.817,Massachusetts
199,New Orleans,107.3,109.3,0.447,2–3,2,5,46.6,48.3,47.5,35.9,19.7,14.3,38.9,31.9,67.2,51.1,49.7,24.4,30.6,9.6,6.8,54.2,52.4,31.2,36.6,69.1,77.858,80.905,1.837,"2,026",0,0,0.2,,72.5,66,1.048,1.057,12.835,New Orleans
200,Bowling Green,107.5,109.8,0.439,2–2,2,4,51.5,51.7,41.2,32.8,12.6,14.4,28,23.9,69.5,50,51.2,36.3,35.3,6.7,9.5,49.1,36.1,33.6,29.3,68.8,78.226,81.086,2.498,"2,026",0,0,14.18,,69.4,73.7,1.127,1.065,7.596,Bowling Green
201,Western Michigan,108.1,110.6,0.435,1–3,1,4,49.3,52.6,42.8,41.7,14.8,13.1,26.1,24.1,68.8,46.3,50.7,36.6,37.3,7.9,8.2,41.8,46.3,35.8,35.3,68,77.096,80.292,1.596,"2,026",0,0,10.811,,79.6,62.2,1.074,1.088,12.872,Western Michigan
202,Long Beach St.,108.4,111,0.432,2–2,2,4,56.7,50.6,33.7,48.2,17.4,13.2,22.6,21.1,75.4,54.5,55.7,40.7,28.6,6.7,6.7,32.5,40.5,32.9,39.7,71.9,77.483,80.763,1.435,"2,026",0,0,11.127,,66.3,75.6,1.076,1.095,11.937,Long Beach St.
203,UAB,110.6,113.3,0.431,2–2,2,4,50.8,52.6,32.5,26.4,11.8,13.7,29.7,31,67.7,56.3,51,24.6,36.8,10.6,6.3,55.7,51.8,28.4,38.6,70,76.69,79.57,1.797,"2,026",0,0,30.832,,74.7,66.2,1.13,1.116,8.77,UAB
204,Lehigh,108.6,111.3,0.43,5–0,5,5,58.8,47.4,40.6,30.9,16.3,12.7,26.4,25.3,66.1,54.6,52.5,44.8,25.9,9.3,3.4,59.7,35.5,33.3,37.1,67.6,76.658,79.857,1.368,"2,026",0,0,0.826,,74.5,78.9,1.168,1.05,3.277,Lehigh
205,Mississippi St.,108.4,111.1,0.43,0–5,0,5,52.7,59,23,30.1,18.9,13.5,23.7,38,74.1,54.7,53.7,33.3,43.7,10.1,8.8,44.1,56.3,42.2,44.5,71.4,77.482,81.889,2.171,"2,026",0,0,48.435,,55.6,75.5,0.999,1.288,51.747,Mississippi St.
206,Florida A&M,101.1,103.7,0.428,4–1,4,5,49,45.6,35.1,36.5,19.9,19.4,37.1,30.5,70.2,50.7,44.2,30,32,8.4,10,52.7,52.1,30.9,35.2,68.4,77.607,80.192,2.465,"2,026",0,0,22.699,,82.4,68.2,1.051,0.968,4.88,Florida A&M
207,James Madison,109.9,112.9,0.423,2–2,2,4,56.4,46.3,44,36.4,18,10.8,29.9,25.5,69.3,58.8,49.1,34.3,27.2,8.7,8.1,39.6,27.7,32.1,33.5,69.4,77.286,80.019,2.075,"2,026",0,0,22.045,,74,78.4,1.144,1.057,4.183,James Madison
208,Portland St.,102.3,105.2,0.42,2–3,2,5,48.2,55.5,38.4,35.3,13.1,19.3,28.7,20.9,71.6,51.1,53.2,29.1,38.8,9.7,4.7,45.8,48.8,38.1,44,71.3,78.029,80.734,2.425,"2,026",0,0,0.701,,69.5,68,1.056,1.036,11.774,Portland St.
209,UC Riverside,107.2,110.3,0.419,1–2,1,3,45.8,52.3,35.3,48.9,11.9,15.5,25.4,30.6,73.1,49.1,56.1,27,27.3,7.6,7.8,49.4,41.9,38.9,25,71.2,77.94,80.507,2.062,"2,026",0,0,0.2,,80.6,73.3,1.039,1.126,18.206,UC Riverside
210,Oakland,114.7,118.3,0.412,1–2,1,3,56.7,57.1,29,37.7,14.2,12.9,32,27.6,72.6,55.6,57.7,39.1,37.5,5.4,7.3,55.2,70.3,35.8,39.3,69.1,76.666,78.923,2.617,"2,026",0,0,0.2,,71.4,65.2,1.19,1.167,5.255,Oakland
211,Utah,115.2,119.2,0.403,0–5,0,5,52.1,60,28.1,29.7,18.8,9.7,27.3,30.1,63.8,50.8,57.8,36.4,42.9,8.9,14,53.7,54.2,33,33.8,63.2,77.492,80.547,1.857,"2,026",0,0,16.78,,80,76.7,1.059,1.297,44.636,Utah
212,Boston University,112.1,116,0.403,4–1,4,5,59.8,48.6,27.2,29.4,19,10.9,24,33.1,62.1,63.1,50.3,36.6,30.6,9.7,6,40.5,47.6,40.4,36.9,63.2,77.435,80.687,1.046,"2,026",0,0,8.249,,80.9,72.1,1.14,1.117,7.422,Boston University
213,Utah Tech,116,120.1,0.401,2–3,2,5,57.7,55,38.4,32.8,18,15.2,22.8,33.3,69,57.1,54.3,39.2,37.6,6.3,4.5,56.7,51.9,36.6,34.4,68.5,78.245,79.919,1.856,"2,026",0,0,0.2,,77.6,74,1.118,1.176,9.747,Utah Tech
214,San Jose St.,120.1,124.5,0.398,2–4,2,6,53.8,58.1,39,36.6,10.8,15.6,28,37.4,66.2,53.9,57.3,35.7,39.7,9.6,4.6,39.3,53.7,37.3,36.6,67,76.579,80.059,1.254,"2,026",0,0,29.015,,69.6,81,1.174,1.265,19.429,San Jose St.
215,Richmond,106.4,110.6,0.391,0–4,0,4,49.1,56.2,32.7,46.4,12.2,21,19.3,29.2,65.6,51.7,64.6,30.8,31.6,7.1,6.9,51.6,57.4,48,49,66.1,76.563,80.399,2.124,"2,026",0,0,4.573,,69.9,77.8,1.03,1.098,12.547,Richmond
216,Penn St.,107.8,112.5,0.38,1–3,1,4,55.1,59.7,40.9,28.4,20.2,13.6,14.3,28.3,64.3,54.4,58.8,37.5,40.7,6.1,4.4,59.6,66.7,38.7,41,66.3,78.761,81.539,0.987,"2,026",0,0,57.97,,73.7,76.2,1.016,1.218,33.332,Penn St.
217,Longwood,108.1,112.9,0.378,1–1,1,2,48.4,54.1,58.2,55,17.3,16.6,42.1,19.4,70.9,49.4,57.9,31.1,33.3,3.5,9.1,44.2,41.2,36.9,48.6,70.5,76.841,79.391,2.107,"2,026",0,0,34.304,,76.1,63.9,1.144,1.058,3.78,Longwood
218,Pepperdine,112.5,117.5,0.378,1–2,1,3,48.5,52.3,24.5,31.8,18.2,15.4,42.6,34.8,71.6,48.1,53.7,32.9,33.3,8.9,10.7,62.1,62.9,35.8,35.9,70.9,78.492,81.636,1.413,"2,026",0,0,29.556,,76,68.9,1.098,1.131,9.399,Pepperdine
219,Saint Peter's,100.5,105.1,0.374,2–1,2,3,50.9,42.3,28,33.1,22.5,17.3,39.6,40.5,63.7,48.1,44.3,37.5,25.4,16.4,7.4,63,49.3,34.1,32.6,64,76.704,79.614,2.079,"2,026",0,0,0.2,,56.5,70,1.01,1.02,6.052,Saint Peter's
220,Canisius,102.6,107.3,0.374,1–1,1,2,47.2,42.5,30.3,50.5,14.9,11,24.2,27,63.6,45.7,48.3,33.3,23.4,8.3,7.1,60,42.5,35.8,43.9,64.1,77.293,80.718,1.785,"2,026",0,0,3.33,,81.8,70.4,1.022,1.014,4.62,Canisius
221,Merrimack,99.8,104.4,0.373,3–2,3,5,47.1,47.4,26.9,30,13.6,24.8,26.5,35,62,45.1,45.2,32.8,34.5,16.9,18.1,60.2,70.2,47.6,33.6,64.2,76.711,78.578,1.512,"2,026",0,0,0.2,,78.4,86.7,1.023,0.975,4.902,Merrimack
222,South Dakota,104.1,108.9,0.373,2–1,2,3,47.7,48.9,48,33.5,10.1,13,22.2,27.4,69.2,46.2,48,33.3,33.9,5.7,9.6,46.5,30.8,39.9,31.3,69.5,76.478,79.382,1.436,"2,026",0,0,0.449,,73.5,71.7,1.089,1.051,3.962,South Dakota
223,West Georgia,101.4,106.1,0.373,3–1,3,4,53.2,47.1,25.3,37.3,16.4,13.6,32.2,22.4,71.8,57.7,53.1,29.4,25.5,14.7,4.2,37.7,42.6,33.6,40.7,70.5,77.229,79.821,2.19,"2,026",0,0,0.2,,71.9,77.8,1.097,1.035,3.503,West Georgia
224,Stonehill,100.7,105.4,0.372,2–2,2,4,51.6,43.2,33.2,31,13.3,12.9,22.8,27.4,69.3,51.1,41.1,34.9,32.1,11.1,14.8,52.3,45.5,44.7,30.2,69.5,77.588,80.158,2.234,"2,026",0,0,0.2,,67.9,70,1.074,0.976,3.413,Stonehill
225,Central Michigan,110.5,115.7,0.371,1–3,1,4,55.9,58.2,27,29,20.7,16.9,30.6,35,66.5,52.1,61.7,41.5,35.9,7,10,58.9,63.8,36.9,44.6,66.3,77.421,81.045,2.034,"2,026",0,0,8.649,,68.3,68.7,1.086,1.183,13.263,Central Michigan
226,Fordham,102.2,107.1,0.369,1–3,1,4,47.6,51.3,28.6,34.1,15.9,18.5,29.4,31.1,66.1,48.5,61.3,30.9,27.7,3.6,11.2,57.9,62.6,42,50.2,66.1,77.647,81.312,2.091,"2,026",0,0,5.609,,75.8,72.4,1.022,1.075,23.585,Fordham
227,Loyola Marymount,103.5,108.5,0.368,1–2,1,3,47.1,51.2,28.2,32.1,14,17.2,27.5,29,63.8,46.7,47.3,32,37.7,10.8,13.3,50,52.9,29.4,42.6,63.3,78.398,81.107,1.926,"2,026",0,0,31.453,,72.9,71.2,1.014,1.056,8.937,Loyola Marymount
228,Charleston,115.7,121.4,0.365,2–1,2,3,50.3,53.3,43.8,23.5,11.9,17.6,31.4,42.1,64.4,52.7,48,30.5,39.8,14,5.5,60.5,53.1,34.9,45.4,67.2,78.153,81.486,1.496,"2,026",0,0,15.781,,67.6,76.7,1.138,1.18,12.723,Charleston
229,Southern Utah,110.3,116,0.359,1–3,1,4,53.2,50.8,37.1,34.4,16.5,14.3,29.4,31.9,69.7,61,50,27.5,35.3,8,6.4,53.2,45.5,39.2,27.9,70.7,78.7,82.044,2.067,"2,026",0,0,11.369,,69.8,73.8,1.101,1.112,9.813,Southern Utah
230,East Carolina,110.9,116.7,0.358,2–2,2,4,51.3,57.1,39.2,29.4,20.1,15.1,41.1,30.4,71,49.4,56.2,36.6,39.5,5.9,7,50.9,57.6,34.2,31,69.3,76.931,80.99,2.087,"2,026",0,0,21.562,,73.4,72.2,1.109,1.169,12.411,East Carolina
231,Buffalo,110.4,116.3,0.355,1–4,1,5,53.6,58.1,32.2,32.6,16,17.4,26.9,31.2,68.9,54.8,58,34.8,38.8,8,7,50,57.7,45.7,35.4,67.8,75.975,79.709,2.305,"2,026",0,0,28.96,,69.9,78.9,1.088,1.198,19.236,Buffalo
232,Vermont,100,105.4,0.353,4–1,4,5,50.9,47.1,32.2,31.5,13.7,17.6,27.2,26.9,62.6,54.3,46.5,31.1,32,8.9,7.3,40,39.6,44.7,39.6,63.3,77.515,80.34,1.772,"2,026",0,0,9.252,,63.6,73.2,1.068,0.975,3.59,Vermont
233,Wagner,99.6,105.1,0.35,3–1,3,4,48.4,42.3,28.7,33.2,16.4,11.3,29.5,23.4,64.1,46.7,45.2,34.1,23.9,6.5,15.6,51.6,32.2,39.5,31.4,66,76.539,78.429,1.97,"2,026",0,0,0.2,,85.9,74.7,1.056,0.963,4.053,Wagner
234,UNC Greensboro,108.4,114.4,0.35,3–2,3,5,52.9,55.4,37.5,29.1,13.5,14.1,27.8,24,69.6,52.5,51.3,35.7,39.6,8,7.7,45.6,54.4,38.9,49.8,70,75.799,79.078,1.594,"2,026",0,0,6.808,,75.7,67.8,1.141,1.121,5.559,UNC Greensboro
235,Valparaiso,105.8,111.8,0.347,2–2,2,4,49.6,51.7,41.1,30.9,15.8,16.1,29.7,27.6,65.3,43.4,52.3,38.9,33.7,5.2,10.3,63.5,61.1,41.1,35.2,65.3,78.126,81.152,1.426,"2,026",0,0,4.496,,74.7,80.8,1.076,1.086,7.533,Valparaiso
236,LIU,104.9,111,0.343,5–0,5,5,56.6,46.6,49,28.4,16,18.8,28.5,30.8,63.9,55.2,47.6,40,29.7,16.6,6.9,54.8,58.6,30.1,32.7,66.2,77.547,78.697,2.414,"2,026",0,0,0.2,,71.3,73.4,1.154,0.991,1.198,LIU
237,New Mexico St.,101.5,107.4,0.343,3–3,3,6,43.5,48.6,43.3,47.6,14.8,15,30.8,31.4,69.4,46.5,48.9,25.2,32.1,5.8,7.3,41.1,46.4,34.1,37.3,69,76.72,79.862,2.424,"2,026",0,0,2.082,,72,66.1,1.015,1.066,12.081,New Mexico St.
238,William & Mary,107.6,113.9,0.342,4–1,4,5,51.5,55.6,63.5,35.8,13.3,20,22,31,72.1,58.6,59.1,26.9,34.7,10.7,5.6,63.4,56.5,39.1,49.1,72.4,77.445,79.092,2.451,"2,026",0,0,0.2,,75.7,74.3,1.115,1.12,6.825,William & Mary
239,Florida Gulf Coast,98.3,104.1,0.341,2–3,2,5,47.3,51.8,21.3,29.3,12.9,18.4,29.6,22.5,66.4,55.2,54.4,22.9,32.5,11.6,4.7,45.1,56.2,38.1,46.2,65.9,77.195,79.925,1.741,"2,026",0,0,22.102,,74.2,68.8,1.03,1.018,5.481,Florida Gulf Coast
240,Winthrop,102.9,109,0.34,3–2,3,5,43.8,51.5,49.5,40.1,14.1,14.7,32.9,22.8,74.9,44.3,51.6,28.7,34.2,8.2,12.5,37.7,44.9,40.2,39.5,73.9,76.602,80.52,2.814,"2,026",0,0,21.094,,70.4,70.5,1.049,1.065,7.878,Winthrop
241,Rhode Island,95,100.8,0.336,1–4,1,5,45.8,47.4,25.3,39.8,21.5,18.2,27.6,33.1,65.9,45.6,51.3,30.8,28.1,10,15,53.3,57,46.9,41.6,65.9,76.125,79.421,2.522,"2,026",0,0,9.61,,72.9,68.8,0.926,1.017,13.546,Rhode Island
242,Columbia,102.4,108.9,0.33,1–2,1,3,48.9,55.2,18.3,39.3,18.9,21.9,37.3,25.9,65.4,51.3,58.9,29.9,32,4.2,11.8,48.1,55.6,36,34.5,67.9,77.802,80.179,1.606,"2,026",0,0,8.784,,67.6,75.4,1.045,1.035,10.352,Columbia
243,South Dakota St.,104.7,111.6,0.324,1–2,1,3,47.8,51.6,22.7,45.8,17.7,10.1,38.7,12.6,65.9,47.1,48.8,32.8,36.6,3.6,8.3,43.6,52.2,34.6,45.8,64,76.827,80.512,1.47,"2,026",0,0,9.971,,78.6,76.1,1.061,1.082,8.336,South Dakota St.
244,Fairfield,94.8,101.1,0.323,3–2,3,5,44.2,47.7,25.2,28.1,17.4,19.8,36.9,27,66.6,43,47.5,31.1,32,7.7,9.7,46.3,59,33.2,34.9,67.9,76.325,79.676,1.126,"2,026",0,0,0.2,,65.4,67.9,0.976,0.955,4.437,Fairfield
245,Texas St.,104.4,111.4,0.322,1–1,1,2,50.5,47.1,31.8,56.7,16.2,18.5,29.5,38.2,64.9,50.5,55.2,33.3,21.6,3,7.4,37.7,31.1,13.6,35.6,66.2,76.758,79.65,2.021,"2,026",0,0,0.2,,74.3,67.8,1.055,1.063,5.779,Texas St.
246,Nicholls St.,96.5,103,0.321,3–2,3,5,45.4,48.1,29.5,28.9,21,20.1,37.7,28.1,64.6,51.6,51.7,25,29.1,10.1,11.2,52.6,61.3,43.5,44,66.3,77.637,80.293,2.674,"2,026",0,0,5.597,,66.7,83.1,0.975,0.99,9.138,Nicholls St.
247,Bucknell,105.3,112.4,0.321,2–2,2,4,54.3,53.1,22.1,26.2,19.3,20.4,30.4,31.8,67.5,55.1,61.2,35.5,31.3,1,11.6,42.2,75.2,40.3,57.2,68.2,76.289,80.703,1.322,"2,026",0,0,0.2,,72.5,80,1.067,1.078,7.023,Bucknell
248,Southeastern Louisiana,102.8,109.8,0.319,1–2,1,3,50.3,52.4,36.7,37.1,17.1,19.6,26.5,35.1,68.2,55.6,54.6,28.4,31.4,7.6,10.1,50,58,40.4,30,67.5,76.797,79.178,1.848,"2,026",0,0,0.2,,70.5,65.1,1.027,1.071,9.111,Southeastern Louisiana
