,0
0,26.209380666458635
1,4.670728792668612
2,2.7883612772059507
3,4.6755694796478195
4,0.8187162311168095
5,9.910350281758156
6,0.5514824120038213
7,12.629626491367873
8,42.03255233753301
9,1.6422130531452837
10,12.165152706854357
11,11.737051664402813
12,2.198314537096465
13,4.513405044181923
14,4.172925009581192
15,12.144627001097518
16,35.52304605365766
17,6.617412276783938
18,0.6960301199925993
19,3.7427721614352123
20,3.071242320324174
21,13.927839906274471
22,11.33787665186533
23,7.043570184189548
24,36.8713732016233
25,3.453644168841393
26,14.618404052321068
27,2.7805423646743748
28,1.4058974779230908
29,31.704659976816522
30,1.01875576195323
31,33.589601465762705
