,0
0,Connecticut
1,Northwestern
2,San Diego St.
3,Auburn
4,BYU
5,Illinois
6,Washington St.
7,Iowa St.
8,North Carolina
9,Michigan St.
10,Saint Mary's
11,Alabama
12,New Mexico
13,Baylor
14,Dayton
15,Arizona
16,Houston
17,Nebraska
18,Wisconsin
19,Duke
20,Texas Tech
21,Kentucky
22,Florida
23,Marquette
24,Purdue
25,TCU
26,Gonzaga
27,Kansas
28,South Carolina
29,Creighton
30,Texas
31,Tennessee
