,0
0,Cal State Bakersfield
1,UC Santa Barbara
2,Lindenwood
3,Southeast Missouri State
4,Southern Indiana
5,SIU-Edwardsville
6,Western Illinois
7,UT-Martin
8,Weber St.
9,Sacramento State
10,Tarleton State
11,California Baptist
12,Stanford
13,Oregon State
