,0
0,Pepperdine
1,Oregon State
2,Jacksonville
3,West Georgia
4,Texas St.
5,Louisiana Lafayette
6,UNC Wilmington
7,College of Charleston
8,Tarleton State
9,Abilene Christian
10,Southeast Missouri State
11,Lindenwood
12,Southern Indiana
13,SIU-Edwardsville
14,Cal State Bakersfield
15,Cal St. Fullerton
16,Utah Valley
17,California Baptist
