TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Liberty,55.8,49.5,25.8,27.8,25.8,20.1,16,19.4,36.5,35.1,56.7,47.6,72.3,72.8,48.6,37.1,57.9,42.1
Maine,51.1,53.4,23,28.7,22.9,30,18.7,20.3,33.5,34.6,51.5,54.4,72.2,71.5,35.6,36.9,51.1,52.1
High Point,50.2,50.7,38.7,35.3,30.8,32,19.6,16.3,32.3,32.5,51.4,52,62.8,66.9,39.5,38.4,47.6,51.5
Harvard,49.5,48.8,31.2,25,30.3,24.3,19.8,18.4,30,31.2,52.1,50,68,75.1,36.7,39,52.3,47.3
Central Michigan,46.5,51.9,36.9,41,30.5,32.5,22.9,19.2,30,35.6,47.4,50.9,70.4,67.7,38.1,40.5,47.6,51.6
Eastern Illinois,48,52.2,32.4,32.5,25.3,32.2,19.2,19.7,32.6,34.6,47.7,52.4,63.4,70.5,27.7,42.6,55,59.4
Brown,50.7,51.2,29.8,26.9,23.4,23.7,19,19.7,34.7,35,49.8,50.4,64.2,71,39.9,37.1,54.5,47
Delaware St.,45.7,54.4,29.3,37,30.1,29.4,23.5,19,31.4,39.5,45.1,50.6,69.3,69.7,31,43.2,50.9,62.6
Iowa,51.9,53.3,32.6,23.4,32.2,27.6,14.1,18.5,34.3,36.6,52.1,52.6,73.9,74.4,37.4,32.2,58.1,50.9
Coastal Carolina,47.5,53.1,28.9,29.3,30.3,30.7,17.8,15.5,30.6,36.7,48.4,51.3,78.8,72.1,37.9,47.1,45.2,56.5
George Mason,51.9,47.9,37.1,33,27.9,24.8,20.2,16.9,35,30.1,51.5,49.4,65,68.9,38.7,35.1,56.5,45.4
UT Arlington,45.9,51.9,29.7,39.5,32.7,30.8,21.1,20.1,31.9,37.1,44.9,49.6,66.3,71.2,34.7,37.8,55.6,54.9
Toledo,56.6,52.4,35,27.5,29.9,31,13.8,18.3,39.9,35.5,54.8,51.9,77.3,74.4,35.5,37.8,48.1,47.2
Idaho,52,54.3,35.8,31.6,19.6,27.8,17.2,16.1,32,38.7,54.2,52.6,77.1,73.1,36.2,32.5,44.5,43
UCF,50.6,48.2,29.7,33.4,33.9,31,19.4,21.6,35.9,31.3,48.1,49,77.1,72.8,42.4,38.7,56.8,53.5
Northeastern,47.9,50.1,27.7,31.7,31.7,26.9,21.3,14.5,33.2,34.9,46.8,49.2,68.5,71.5,37.2,29.5,52.9,45.4
Manhattan,49.2,51.3,31.5,30.5,26.6,34.2,19.8,20.5,32.9,36.8,49.1,49.1,65.9,70.5,36.1,36.2,51.4,56.4
NJIT,48.3,52.3,28.2,27.9,23.4,29.1,16,14.9,35.2,34,46.1,53.2,67.5,67.6,32.5,39.2,45.1,49.7
Western Michigan,48.8,54.8,27.8,33.1,33,27.6,19.1,14.4,32.1,37,49.3,54.4,72.3,71.9,42,39.8,48.9,55.1
Fordham,48.6,47,37.6,37.4,29.9,25.2,19.1,19.3,31.8,32,49.1,46.5,74.1,73.2,41.7,30.6,52.4,48.7
DePaul,49.7,51.6,27.6,35.7,25.8,34.1,18.2,17.7,36.8,35,46.3,51.1,73.9,71.1,37.8,34.7,54.5,51.9
Central Connecticut,48.1,51.3,23.3,26.5,28.5,28.2,17.9,16.4,32.7,35.4,47.5,50.2,70.9,74.3,35.7,37.2,52.1,56.5
Cleveland St.,49.5,48.2,30,30.7,35.2,35,17.4,20.5,30.8,31.5,50.7,48.8,68.5,73.5,26.6,37.6,48.3,50.5
Cal Poly,45.8,50.4,31,42.3,24.5,24.5,20.9,18.6,29.3,34.9,46.7,49.3,74.6,72.5,35.9,35.1,47.1,50.6
North Dakota,51,53.5,27.3,28,25.7,27.4,16.7,15.5,34.4,36.4,50.6,53,69.1,74.7,44.5,31.4,44.7,40.5
Little Rock,49.2,56.1,31.9,37,29.3,30.4,18,19.2,32.5,39.5,49.4,54.1,73.7,66.7,29.9,38.7,54.4,53.2
UAB,50.8,47.9,36.6,30.7,35.7,28.8,17.4,19.5,36.5,32.9,49,47,73.2,72.3,32.2,37.4,49.7,48.3
Morehead St.,49.5,49.8,35.9,28.3,27.3,24.6,18.9,15.8,35.6,32.7,47.1,50.1,72.3,74.9,37.9,31.2,55,42.1
UTEP,48.6,51.1,38.8,37.3,33.3,29.7,22.9,22.9,29.1,33.2,50.7,51.8,62.8,72.3,29.9,37.4,47,43.4
Mississippi Valley St.,45.4,53.3,38,39.8,28.7,32.4,23.4,19.5,34.9,35.8,42.8,53,66.5,68.5,27.6,39.5,47,53.5
FIU,52.1,52.1,28.7,30.6,25.5,36.7,20.6,22.8,32.8,36.5,53.8,50.4,72.3,74.7,35.7,39.8,44.6,53.8
Delaware,49.6,51.8,33,29.4,25,29.8,16.5,18.6,32,36.6,50.5,50.1,73.4,72.6,36.5,34.7,48,53.7
Lafayette,48.7,50.8,24.5,29.4,23.8,25.3,17.9,18.2,32.7,34.1,48.4,50.6,62.6,69.8,48.4,41.2,68.8,55.3
North Carolina,49.2,48.7,37,26.3,30.4,23.3,15.2,14.9,31.1,33,50.8,48.4,74.2,70.8,37.7,32,45.4,41.9
Chattanooga,54,50.9,32,30.2,27.3,26.7,17.5,15.3,37.3,34.2,51.8,50.6,71.6,76.7,52,42.8,58.1,44.4
South Dakota St.,51.7,50.9,28.1,23.1,21.5,26,17.1,17.3,35.1,33.2,51.2,51.7,79.5,76.1,38.2,40.3,41.8,48.9
Central Arkansas,47.1,54.7,24.3,28.9,27.9,30.5,18.1,16.7,31.6,36.3,46.8,54.8,75.1,71.4,41.3,39.2,46.7,46.6
Bowling Green,50.5,54.1,32.5,33.6,29.8,28,17.5,16.3,33.8,36.4,50.4,53.8,70.8,73,35.5,37.3,49.4,51.3
Denver,52.3,51.7,39.4,27.7,29.8,27.4,21.4,15.6,32.9,33.9,53.4,52.2,72.6,75.2,26,40,43.4,51.7
Wichita St.,50.7,47.5,30.8,25.9,29.1,28.2,18.2,16.9,30.9,33.6,53.3,45.4,71.6,71.5,37.2,40.8,51.5,56.8
Butler,49.5,50.1,25.9,22.6,20,30.3,17.6,18.6,32.7,32.1,49.7,51,74,70.3,35.8,33.2,52.3,52.5
Temple,49.7,48.7,34.6,31.5,28.7,29,19.8,16.5,33,33.6,49.9,47.9,75.7,69.9,43.6,33.7,58.4,51.7
Hawaii,48.6,44.5,33.6,27.2,29.6,26.5,18.6,16.4,32.8,29.5,48.2,44.5,74.6,74.3,37.1,26.1,46.9,32.9
Arkansas St.,47.6,50.3,35.1,34.8,28.8,28,18.1,16.6,34.6,36.4,45.5,48,67.6,74.7,33.5,33.8,53.1,48.9
Southern Utah,51.7,52.5,41.3,32.9,28,25.4,18.6,18,34.7,36.6,51.5,51.2,73.4,72,37.7,35.8,43.3,49.8
Arizona,56.8,47.2,36.5,26,31.1,26.2,18.4,16.9,38.2,32.8,56.6,45.9,70.9,71.4,38,38.7,65.3,49.4
LIU Brooklyn,45.6,55.1,31.7,32.1,24.7,30.3,22.7,16.7,32,37.4,44.8,54.6,66.6,68.3,24.3,35.2,56.7,59.2
Charlotte,54.8,50.2,24.3,25.4,22.9,23.8,17.3,17.6,37.6,34.7,53.6,49,74.4,73.4,40.6,38.5,52.4,42.2
Bethune Cookman,46.6,52.7,32.1,35.2,26.9,34.7,18.3,19.3,35.8,35.8,43.1,52.1,69.9,72.9,33,36,46.6,52.8
Baylor,53.1,51.4,37.2,31.4,34.7,31.1,18.1,19.9,37.2,32.2,50.8,53.3,74.9,70.7,45.3,37.8,56.4,60.4
Houston Christian,51.4,57.5,40.6,33.3,28,31.6,21.1,16.7,36.1,37.8,49.5,57.9,72.7,70.6,40.7,33,56.4,53
Wofford,52.4,54.8,30,26.4,28.6,28.7,16.3,16.6,32.1,35.3,55.1,56.1,73.2,73.6,39.1,42.8,45.2,45.6
UC San Diego,49.6,51.8,26.1,27.9,23.2,29.3,17.9,16.5,33,37.1,49.6,49.7,74,72.8,39.2,35.6,47.4,56.6
Rutgers,47.6,45.9,28.5,28.2,32,27.6,17.2,21.7,31.8,30.5,47.6,46.1,70.2,68.7,30.3,43.1,59.4,57
Hartford,47.7,55.4,24.1,27.7,25.2,33.5,22.7,17.6,32,38.7,47.4,53.8,65.7,70.6,40.3,37.5,53.2,58.2
Dartmouth,50,51.3,29.1,31.7,23.5,26.2,20.2,16.5,32.6,34,50.8,51.6,69.6,72.9,41.6,35,49.2,44.6
Florida Gulf Coast,51.2,50.7,28.2,28.1,26.6,28.8,17.1,17.3,35.1,33.4,50.1,51.1,73.7,69.4,44.9,41.2,50.7,51.2
Tarleton St.,47.5,53.1,48,47.1,25.7,30,18.2,24,33.5,36.3,46.6,52,70.5,73.1,24.7,43,48.9,56.7
Monmouth,43.8,54.4,33.1,38.8,30.3,32.9,21.1,21,28.8,37,44,53.4,66.7,71.9,25.1,46,52.9,55.9
