TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Colorado,49,47.7,30.3,32.2,31.3,25.3,19.2,19.6,31.9,31.8,49.6,47.7,69.3,71,34.7,34.4,50.9,46.6
Southern Illinois,51.7,47.6,30.6,29.8,22.8,27.3,19.3,19.6,32.2,33,54.6,46.7,72.2,64.9,46.6,34.1,59.2,48.8
Western Carolina,49,51.1,34.5,34,25.8,25.5,15.7,15.7,33.6,33.1,48.1,51.7,71,71.5,41.5,30.2,48.8,42.5
Wagner,44.9,49.1,25.2,47,34.4,24.8,19.1,20.9,30.2,31.5,44.7,50.2,68.3,71.8,35.3,36.7,50.8,53.9
Prairie View A&M,44.8,48.2,33,41.8,31.7,28.7,19.6,21.2,30.9,33.3,44,47.3,67.6,71.9,33.7,34.5,47.4,49.7
Louisiana Tech,50.9,54,28.4,38.5,30.1,28.1,19.9,21.3,34.5,38.5,50.3,51.1,71.8,69.5,41.1,42.9,46.2,59.8
Campbell,52.7,52.5,38,32.1,24.4,27.8,18.1,18.4,32.9,34.4,54.7,53.2,69.8,70,38.6,41.3,50,48.2
Boston University,47,50.5,29,36.5,28.7,24.6,17.8,18.3,32.4,33.8,45.9,50.3,74,69.7,38.7,39.3,43.3,49.6
Northern Colorado,52.4,53.1,31.4,31.7,24.3,27,17.5,14,36.4,33.4,51,54.5,74.8,72.5,39.6,33.5,44.1,48.5
College of Charleston,51.5,47.9,32.7,24.7,35.1,25.5,16.7,19.3,33.3,30.3,52.9,49.1,74.3,68,47.4,32,49.1,44.8
Quinnipiac,49.9,48.1,33,27.1,32.2,27.6,18.1,16.5,36.1,31.6,47.4,48.5,66.5,70.1,37.8,36.8,50,48.2
Albany,47.3,55.3,31,36.8,27.8,26.7,19.2,16.6,32.2,35.3,46.6,56.5,72.9,73.9,41.2,34.1,49,53.8
Virginia,51.3,48.3,34.5,26.1,25.5,25,13.7,19.7,35.3,34,50.4,46.5,70.1,74.8,36.1,39.7,65.8,52.9
Air Force,54.2,49.3,31.2,35.2,22.3,28.6,19,17.1,35.6,29.3,54.8,51.9,72.2,74.8,44.8,32.9,64.8,42.3
Jackson St.,47.5,52.5,32.9,34,32.9,29.1,22,19.1,32.1,35.4,47.1,52.1,67.4,72.7,34.2,39.2,50.4,51.8
Fort Wayne,50.5,51.9,28.7,23,27.1,26.1,18.9,17.7,33.5,31.2,50.8,55.2,71.7,72.4,47,39.5,49.7,46.5
Villanova,52,50.8,30.7,27.5,22.6,25.3,15.6,17.2,34,33.7,52.9,51,82.1,78.2,48,41.5,47.1,59.8
Davidson,50.1,50.8,32.8,26.7,24.9,27.8,16.2,17.3,31.9,33,51.3,51.5,75,70.5,36.6,36.8,53.1,49.2
California,43.7,51.6,31.5,32.6,25.3,30.4,20.1,16,29.8,33.4,43.2,52.5,72.3,71.6,30.9,38.3,46.5,51.6
Arkansas Pine Bluff,45.2,51.4,33.8,43.2,26.6,29,21.6,21.4,31.1,34.5,44,51.1,74.1,71.5,43.4,35.7,54.1,60
Tulsa,47.9,53.6,26.7,27.8,24.9,33,19.1,17,31.3,31.3,48.6,57.9,64.6,72.9,42.4,39.6,48.5,57.2
Merrimack,48.3,49.1,34.6,26.9,20.5,35.6,20.7,26,32.3,33,48.2,48.9,68.7,71.4,43.8,32.5,57.4,60
UNC Asheville,53.9,48,41.3,26.8,25.8,28.7,20,17.9,38.8,30.5,51.4,49.1,69.3,71.8,37.2,34,50.1,45.2
Texas A&M,49,47.9,45.9,35.1,36.7,30.4,18.3,21.1,32.8,32.3,49,47.4,75.9,70.4,33.7,45.9,52.8,59.3
Green Bay,46,54.8,31.5,31.6,21.7,32.4,21.1,16.1,30.1,35,46.6,56.1,70.2,76,43.5,34.6,53.2,49.6
Alabama,52.7,41.5,36.7,32.8,33.8,27.6,19,16,33.8,28.1,54.6,41.2,72.6,71.4,47.8,30.6,54.8,41.8
Saint Joseph's,50.2,50.5,34.2,32.8,28.9,30.7,18.2,18.9,32.9,34.1,50.9,50.1,70.3,70.6,45.9,42.1,48.8,58.9
La Salle,48.5,51,28.3,31.6,30.5,30.5,18.1,17.9,34.2,34.5,46.9,50.6,69.3,68.6,35.6,34.9,47.3,50.7
Southern,48.5,51.4,34.5,42.9,24.4,28.6,20.5,23,32.8,34,48,51.6,72.3,69.3,40,40.4,56.3,60.2
South Dakota,50.1,52.7,28.1,31.8,24.9,27.1,17.3,14.4,37.9,36.1,45.5,51.8,76.1,73.7,40.2,40.2,49.7,47.5
Chicago St.,48.8,53.3,31.9,35.9,33.5,33.2,21.3,16.7,32.9,35.7,48.4,53.1,72.6,69.3,41.8,37.4,46.7,56.1
St. Thomas,51.8,51.9,30.7,31,24,28.8,15.1,17.3,35.1,33.7,51.2,52.6,78.3,74.8,44.9,35.6,49.8,45.2
SMU,47.4,51.8,33,32.8,28.1,30.5,18,18.7,31.1,34.9,47.8,51.4,67.4,70.9,33.7,37.1,53.8,57.3
North Carolina Central,50.9,48.9,34.2,35.5,32.3,29.6,22.6,21.6,35,31.3,50.1,49.9,71.1,69.1,34.7,36,51.1,54.5
Wake Forest,54.2,51.6,32.1,26.7,24.8,26.6,17.1,17.3,36.4,35,54,51,74.6,71.9,45.4,38.6,50.6,46.2
Illinois Chicago,48.7,51.2,34.1,33,22.7,30.3,18.3,19.6,33.2,34.3,47.9,51.1,65.7,72.2,43.3,34.5,56.6,55.3
Saint Peter's,43.9,49.5,28.4,51.4,36.4,30.6,19.5,19.7,29,34.3,44.1,48.4,68.8,72,35.3,35.7,46.6,49.7
Presbyterian,47.3,54,36.5,39.1,29.9,29.5,20.8,18.4,31.5,38.5,47.3,52,62,66.3,36.3,35,46.7,47.9
Nebraska,51.7,49.9,28.2,21.9,24.7,28.3,18.6,17.7,32.6,34.1,53.4,49,64.1,69.4,36.7,43.6,51,59.4
Southern Indiana,50.5,51.8,33.4,40.3,32.6,25,18.3,16.7,36.6,35.2,47.2,51,68.1,72.1,42.6,39.9,46.5,49.3
Seton Hall,49.4,47.6,40.5,31,30.8,30.3,20.4,21.3,33.2,31,49.2,48.2,67.8,72.8,32.7,37.5,51.3,54.3
Alabama St.,42.3,49.7,31.2,34.6,31.7,34.4,18.7,17.7,30.8,34.2,40.4,48.9,70.3,69,33.1,34.7,44.6,46
Tulane,52.4,50.4,35.4,29.6,19.3,30.5,15.1,19.3,33.8,35.7,53.4,48.2,77.7,69.9,38.1,42,56.3,62.5
Columbia,45.5,52,28.1,28.8,25.3,30.9,19.9,17.6,30.4,33.1,45.4,53.2,71.1,70.2,40.7,34.5,46.7,53.2
Queens,51.2,53,35.9,25.4,29.7,26.1,17.6,15.7,34.8,35.3,50.5,53,72.2,71.8,44.1,36.5,50.9,48.3
VMI,47.8,56.9,21,28.1,28.9,27.3,19.3,14.6,34.2,37.4,45,57.7,75.8,71.3,44.1,50.1,43.9,60.4
Rhode Island,44.2,49.1,37,31.7,31.6,29.5,20.4,17.2,30.4,32.1,43.6,49.6,74.4,69.5,31.3,34.7,49.9,51.2
UTSA,47.4,52.5,37.4,30.6,28.5,31.2,19.5,15.4,33.8,35.6,45.3,51.9,74,72.2,38.5,37.8,44.4,51.3
Winthrop,55.1,54.8,41.6,31,25.9,34.2,20.6,17.4,37.9,35.8,53.8,55.5,74.7,64.2,44.9,38,46.7,50.3
William & Mary,49.4,53.9,29.2,27.4,27.4,29.9,18.8,17,36.3,35.5,46.3,54.3,67.9,70.2,37.8,36.9,49.7,48.6
