,0
0,0.30898055149802767
1,0.07684424999060468
2,0.2795344616776174
3,0.4152711809113947
4,0.10372602672086251
5,0.32481407263774137
6,0.10953771683209756
7,0.2937196547854011
8,0.42234453650233733
9,0.10478327271194865
10,0.1118316343031901
11,0.24138492934694755
12,0.26998203994893044
13,0.26472823053916333
14,0.07097125804885385
15,0.25726785250619005
16,0.5273054755576906
17,0.022026513699032413
18,0.22784096783537278
19,0.2885685710997482
20,0.0635505328158471
21,0.2141098594290919
22,0.07718726657572395
23,0.39228437610479916
24,0.4273499823000709
25,0.05511447549148041
26,0.12202281980581686
27,0.2542542575435798
28,0.024504541449492323
29,0.22882898327597084
30,0.298380794262637
31,0.36851681866918284
