,0
0,Auburn
1,Creighton
2,Michigan
3,Texas A&M
4,North Carolina
5,Iowa St.
6,Marquette
7,Michigan St.
8,Florida
9,Connecticut
10,Colorado St.
11,Maryland
12,Missouri
13,Texas Tech
14,Kansas
15,St. John's
16,Duke
17,Baylor
18,Oregon
19,Arizona
20,BYU
21,Wisconsin
22,Saint Mary's
23,Alabama
24,Houston
25,Gonzaga
26,Clemson
27,Purdue
28,Illinois
29,Kentucky
30,UCLA
31,Tennessee
