,0
0,0.39141739791863817
1,0.07977695355711967
2,0.27346955129548944
3,0.37316803547079425
4,0.17909822501390849
5,0.2818842498271568
6,0.25968321908078357
7,0.33835139500174183
8,0.38708338744532506
9,0.1041722219176946
10,0.06018211933601847
11,0.2407131511029308
12,0.3202989157895228
13,0.27460626521948406
14,0.033116491294751915
15,0.2987679681840381
16,0.617754954819181
17,0.00195006609761883
18,0.24025665353896059
19,0.3599469900170408
20,0.07767748236336736
21,0.23765634442059902
22,0.06315137029978368
23,0.41942196379469904
24,0.5611268957499717
25,0.015162811735888515
26,0.15068512602183093
27,0.22488034560396752
28,0.0068860906768009045
29,0.3260022138613017
30,0.2163255309665768
31,0.35601268176639933
