,0
0,20.255450000000007
1,2.2614999999999963
2,6.029250000000005
3,8.153949999999998
4,5.6201999999999925
5,9.245150000000004
6,6.757499999999999
7,15.504599999999998
8,28.46454999999999
9,0.904750000000007
10,16.045900000000003
11,11.569249999999995
12,5.614799999999994
13,10.918050000000008
14,4.94135
15,2.823750000000002
16,27.0554
17,4.739449999999997
18,0.4419000000000022
19,11.500700000000013
20,2.9699500000000105
21,11.782799999999996
22,3.330249999999996
23,17.64075
24,22.457249999999995
25,2.6903500000000005
26,1.034050000000006
27,8.211150000000007
28,2.26295
29,5.871750000000006
30,10.823299999999998
31,13.4666
