,team,pwr_rat
126,Tarleton St.,50.34412711257811
201,Morehead St.,49.88421667992289
185,Texas A&M Corpus Chris,49.81362621745568
205,Georgetown,49.630291183927845
193,Pepperdine,49.48236523556871
245,Western Carolina,49.3471892605075
190,East Carolina,49.186253033097636
236,Delaware,49.17687596951676
244,Fort Wayne,49.009926211393704
233,Northern Colorado,48.90031833170383
229,Jacksonville,48.83550098342227
216,Northern Arizona,48.71329417100192
209,La Salle,48.667350390153004
283,New Hampshire,48.661862522068475
276,Oakland,48.636321632948714
226,Campbell,48.502622641031735
206,Florida St.,48.46418105064863
217,Bryant,48.33839957849278
137,Utah Tech,48.11784980821835
225,Northwestern St.,48.104676847808676
160,UC Davis,48.008704079330926
210,Minnesota,47.872723791526276
222,Detroit,47.849224313568726
199,Weber St.,47.76325874518268
187,Buffalo,47.71434362322876
224,Mercer,47.67018248553299
135,Stephen F. Austin,47.63553561986707
237,Army,47.62084130571102
228,Rice,47.53343647826868
243,Idaho St.,47.52369744115176
306,Idaho,47.52369744115176
300,Western Illinois,47.46832028074263
247,North Alabama,47.423619667954725
231,UC San Diego,47.36343069275228
265,Fairfield,47.336239568624066
191,Texas St.,47.09613740079383
213,South Carolina,46.388492846122745
220,Siena,46.215162397573984
249,Canisius,46.07076967512541
178,Grambling St.,46.0480878338443
218,Rider,45.95885242446035
174,North Carolina Central,45.91661877879326
275,Tennessee St.,45.83335655671035
248,East Tennessee St.,45.83335655671035
194,Abilene Christian,45.74122033172583
211,New Mexico St.,45.73552403534813
200,Gardner Webb,45.73101162365502
278,Tennessee Martin,45.6998631014491
203,FIU,45.450485912503034
215,Massachusetts,45.3469716495094
285,Lehigh,45.276059643696655
214,Norfolk St.,45.128235972078556
279,Tennessee Tech,44.89689647354635
180,Louisiana Tech,44.75384611039777
252,Bellarmine,44.491481509507395
234,Jacksonville St.,44.12280629787515
238,Milwaukee,43.941988587114494
235,Portland St.,43.68047751475659
257,SIU Edwardsville,43.65711074903628
258,Southeastern Louisiana,43.529855808648
179,UTEP,43.51547903520601
221,Oregon St.,43.500679697560145
277,Marist,43.37178522403536
241,Rhode Island,43.33065263522246
242,Robert Morris,43.289159867473806
240,Northern Illinois,43.21755684173487
284,Valparaiso,43.142206160641614
256,Niagara,42.82929123243855
293,Tulsa,42.62972240226393
269,Bowling Green,42.55037850117129
253,Alcorn St.,42.50969647832077
287,Maine,42.3615125838425
320,NJIT,42.33623787392975
261,Louisiana Monroe,42.11194046323864
282,Illinois Chicago,41.926390357135794
259,Dartmouth,41.58390423451158
262,Southeast Missouri St.,41.526199896827386
255,Sacramento St.,41.460421057247814
246,Winthrop,41.307889688527695
212,Howard,41.23442655821825
291,Coastal Carolina,40.8603903567217
260,Mount St. Mary's,40.847935974326724
288,Merrimack,40.82000071282396
230,Loyola Chicago,40.43672572105321
263,California,40.356297697110605
251,USC Upstate,40.33748712432261
312,Eastern Michigan,40.21293292340641
301,Boston University,40.03422862660663
323,North Carolina A&T,39.97713431934165
271,UTSA,39.94130264140034
309,Fairleigh Dickinson,39.935426584408695
274,Denver,39.87012505076693
266,Miami OH,39.704346470588284
311,Elon,39.59471952122596
286,Arkansas St.,39.5502000203726
280,Southern Indiana,38.94374333568338
272,Maryland Eastern Shore,38.87036764410981
294,Bucknell,38.48640514674384
232,UT Arlington,38.46665074911181
270,Prairie View A&M,38.44129877610877
304,High Point,38.43901283902258
303,Binghamton,38.28590064909057
299,Charleston Southern,38.22760506389914
339,Holy Cross,38.15559317436465
315,William & Mary,37.888729499906695
281,Texas Southern,37.87738071402458
268,Nicholls St.,37.607003178973834
331,St. Francis PA,36.909576438905994
295,Georgia St.,36.769384848194086
314,Texas A&M Commerce,36.76488934984572
328,Central Arkansas,36.697377512472364
254,UT Rio Grande Valley,36.3274013923407
330,Stonehill,36.32512825551821
336,Sacred Heart,36.1296994664908
289,Illinois St.,36.04527890339303
318,Nebraska Omaha,36.02040374374816
273,Louisville,35.989097791003786
313,Manhattan,35.827561695355435
333,Austin Peay,35.6637950401757
334,The Citadel,35.54765382810171
335,Stony Brook,35.225025661154056
305,Northeastern,34.90261506680115
296,Cal St. Bakersfield,34.65047546433739
290,American,34.501943356628416
317,Wagner,34.4903493182664
344,Central Connecticut,34.48537697587224
319,Loyola MD,34.01990799830378
297,Cal Poly,33.88112247509725
302,Chicago St.,33.41330102946772
321,Little Rock,33.34905250830539
329,Western Michigan,33.16278965635548
340,Columbia,33.04527616656295
307,Jackson St.,32.59514964724753
326,Cal St. Northridge,32.34370629823412
325,UMKC,32.342133657144984
348,Hampton,32.271518600079496
308,Alabama A&M,32.24948193109456
349,Evansville,32.03623336475707
332,Incarnate Word,31.85650123489123
342,Lindenwood,31.562476701298635
310,Saint Peter's,31.314786164933373
350,Eastern Illinois,30.950794804044598
343,Coppin St.,30.5733896621162
345,Bethune Cookman,30.297855534808807
322,Morgan St.,29.96422268824846
316,Arkansas Pine Bluff,29.813520460385874
352,Alabama St.,29.52616122701532
346,Albany,28.7750618260803
327,McNeese St.,27.972543948524116
353,VMI,27.767029577060228
337,Presbyterian,26.691978607469924
354,Lamar,26.644659853837002
324,New Orleans,26.14654137027088
347,Houston Christian,25.113102283876366
351,Monmouth,24.511742143833484
338,Central Michigan,24.43407611373891
341,South Carolina St.,23.408157733393608
357,St. Francis NY,22.79408427909466
360,Green Bay,21.674269939525708
355,Mississippi Valley St.,19.35900076768766
356,Florida A&M,19.03954352065914
359,IUPUI,18.33773597676807
358,Delaware St.,17.687299144139963
361,Hartford,13.551301371975228
362,LIU Brooklyn,10.109339548454448
