,0
0,Alabama
1,San Diego St.
2,Baylor
3,Arizona
4,Purdue
5,Tennessee
6,Kansas St.
7,Marquette
8,Houston
9,Miami FL
10,Xavier
11,Texas
12,Kansas
13,Connecticut
14,Gonzaga
15,UCLA
