TeamName,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD
Weber St.,53.5,52.3,37.8,26.9,20,24.9,16.3,20.2,34.6,38.1,54.5,49.2,75.4,72.8,38.5,38.8,40.4,50.7
Cal St. Bakersfield,44.4,51.4,29.5,48,32,26.1,18,20.1,28.3,35.2,44.9,50.5,71.3,75.1,22.9,41,39.7,52.4
Florida A&M,46.1,48.2,29.8,38.9,25.7,34.4,18.7,18.5,29.7,34.3,46.6,46.4,70.6,67.2,26.5,35.3,49.2,52
UC Davis,48.6,47.3,29.4,36.9,26.2,28.9,17.9,19.2,32.3,33.9,48.7,45.4,71.6,70.5,31.5,34.3,43.9,47.5
Pacific,46.2,54.9,32.3,28.1,22.6,22.6,17.4,18.7,31.4,39.2,45.8,52.1,68.3,76.9,33.2,42.5,49.2,49.1
South Dakota,52,52.7,34.1,34.2,26.5,22.4,15.1,15.5,37.3,36.2,50,51.7,75.4,72.2,33.3,37.2,43.6,38.5
Texas Southern,48.6,44.8,33.6,34.1,33.5,27.8,21.3,17.2,31.7,29.8,49.1,44.9,67.5,65,31.1,35.7,42.2,47.6
New Mexico St.,52.2,45.5,35.4,27.8,33.3,26.2,20.7,16.9,33,30,54.1,45.8,69.5,74.2,41.1,42.6,53.6,48.2
Bradley,51.1,46.9,27.3,30.2,31.9,23.5,19.9,18.2,34.1,32.2,51.1,46.1,68.5,74.4,39.5,37.9,52.2,43.9
North Dakota St.,51.8,47.6,33.4,25.5,24.8,23.1,17,12.7,35.3,32.5,51.1,47,76,74.8,36.9,32.2,41.2,38.4
Houston,53.6,43.5,28.7,35.1,37.8,27.3,17.1,21.7,34.1,29,55.1,43.5,66.9,70.5,39.1,42.9,59.5,55.4
Kentucky,53.3,46.5,27.2,25.1,37.8,24.9,16.6,17.4,34.9,30.3,53.7,47.2,73,71.5,28.1,36,53,46.2
Nicholls St.,52.5,48.5,21.9,36.3,30,30.7,17.3,19.6,32.4,33.9,54.8,47,62.4,71.3,37.5,37.4,42.5,54.2
North Carolina A&T,46.6,51,28.2,37.8,29.2,30.8,18.1,19.9,31.5,34.8,46.3,50.1,66,69.9,33.9,40.8,47.8,58.6
Samford,51.8,52.1,28.9,32,30.1,29,19.3,17.8,33.1,34.4,53.4,52.6,72.8,70.6,43.2,47.1,46.8,60.2
UTEP,49,49.9,28.4,38.2,22.5,30.1,17,20.9,35,33.5,46.9,49.8,76.3,64.7,37.6,32.4,48.5,50.1
Illinois Chicago,51.1,51.6,22.9,34.2,25,27.2,17.2,16.8,32.4,37.4,53.3,50,70.8,72.3,46.1,27.4,54.2,43.5
Gonzaga,59.4,43.2,29.7,22.2,29,23,15.9,17,37.9,30.7,60.9,41.6,73.1,69.5,35.4,33.9,55,40.6
Old Dominion,46.9,49.7,34.3,29.4,32.3,27.3,18.4,17.1,29,34.2,48.1,48.4,67.2,67.8,26.2,45,49.7,54.9
Bowling Green,48.6,53.5,31.9,30.8,29.9,30.7,16.5,17.3,33.1,36,48,53.1,74.2,74.7,36.9,42.9,43.5,50.5
Alabama A&M,41.3,46.3,33.5,28.6,28.7,31,19.6,19.6,27.1,32,41.5,45.2,71.3,68.4,24.9,38.9,43.4,56.4
Drexel,52,50.4,25.4,26.1,25.6,26.1,16.4,16.2,34.7,33.4,52,50.6,71.1,70,35,32.1,44.7,41.3
Cal Baptist,50.3,48.1,37.4,33.3,27.9,27.8,20.5,17.3,33.4,32.5,50.4,47.8,67.7,68.7,42.9,33,63.9,51.5
South Alabama,51.7,47.3,31,30.7,26.7,31.5,19.4,20.8,34.2,32.1,51.9,46.7,71.2,71.1,34.7,38.4,44.4,54.8
Illinois St.,51.8,51,31.3,31.9,28.5,29.8,19.5,17.2,36.9,34.5,49.7,50.5,75,75.3,36.8,37.4,46.1,49.9
Marshall,49.4,52,24.3,28.3,27.3,28.1,18.1,17.8,30.1,35.3,52.1,51.6,70.9,78.1,39.1,34.2,50.2,46.1
Purdue,57,49.6,36.3,21.4,35.2,23.6,17.3,14.1,39.1,33.5,55.9,49.2,70.3,72,39.1,41,58.9,53.1
Wright St.,52,51.2,31.1,26,31.3,30,17.9,18.4,33,33.7,53.2,51.6,76.6,71.3,32.5,34.2,50.3,41
Fresno St.,50,47.9,30.7,27.2,27.4,22.4,18.1,19.4,32.6,32.6,50.6,47.1,72.8,68.1,38.5,41.8,50.5,50.8
Cal St. Northridge,44.4,51.9,29.6,36.5,26.8,33,18.5,19.9,30.2,33.2,44,53.1,68.5,75.9,29.6,37.9,39.5,57.3
UC Santa Barbara,53.5,48.1,37.2,30.4,28.4,27.2,19.3,19.5,33.4,32,55,48.2,70.5,74,30,32.6,57,51
Northern Colorado,56,52.9,31.6,31.3,21.3,24.5,16.9,14.4,38,37.9,55.2,50.9,71.9,73.4,45.5,33.8,43.8,40.7
Detroit,52.6,54.4,22.8,30.5,27.9,29.7,17.9,19,36.9,35.3,50.1,55.4,77.9,71.6,48.9,41.4,47.5,57.8
Indiana,51,45.7,33.5,30.8,27.3,24.9,17.2,17.7,33.5,32.6,51.4,43.6,69.6,75.8,31.5,40.2,56.8,47.5
