,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
17,Kansas,Kansas,113.3839503,93.60735524,17.4,23.2,31.8,55.1,19.77659503,6.080322966,,Oklahoma,Oklahoma,,Kansas
20,Clemson,Clemson,118.5229383,98.15246823,14.8,31.4,32.7,55.8,20.37047008,6.061686748,,Colorado,Colorado,,Clemson
22,Utah,Utah,117.3584078,98.17571141,16.5,23.2,34.7,53.7,19.18269637,5.595244784,,Colorado St.,Colorado St.,,Utah
21,Gonzaga,Gonzaga,115.8417908,96.39890212,16.5,27.7,32.4,55.7,19.44288867,5.577212087,,Clemson,Clemson,,Gonzaga
27,Texas Tech,Texas Tech,116.8014473,98.29133999,15.7,24.4,31.4,53.9,18.51010727,5.477165438,,Kansas,Kansas,,Texas Tech
25,Colorado St.,#N/A,118.0597011,99.07971228,15.1,28.8,33.9,60.2,18.97998878,5.442193157,,Gonzaga,Gonzaga,,Colorado St.
33,Dayton,Dayton,120.8516251,102.5477843,16.5,21.3,32.5,53.9,18.30384073,5.418792845,,Iowa,Iowa,,Dayton
18,St. John's,#N/A,116.5380723,96.35301208,16.9,33.1,32.6,50,20.18506025,5.270836755,,Charleston Southern,Charleston Southern,,St. John's
28,Florida Atlantic,Florida Atlantic,119.3186055,100.5293765,16.7,26,33.5,57.5,18.78922897,5.269829671,,Evansville,Evansville,,Florida Atlantic
35,Miami FL,#N/A,117.1635885,99.92901316,17.6,19,28,54.9,17.23457533,5.186790951,,Notre Dame,Notre Dame,,Miami FL
24,Ohio St.,#N/A,117.1137349,98.10753858,16.9,28.2,31.2,49.8,19.00619634,5.115879768,,George Washington,George Washington,,Ohio St.
23,Oklahoma,Oklahoma,112.459814,94.10339469,18.5,27.5,27.8,58.8,18.35641926,5.058165747,,Bradley,Bradley,,Oklahoma
26,San Diego St.,#N/A,113.3403936,95.30926646,15.5,31.3,28.9,52.1,18.03112717,4.719437576,,Utah,Utah,,San Diego St.
34,Indiana St.,#N/A,116.6430708,99.29079541,17,27.9,30.7,60.4,17.35227543,4.476238012,,Hawaii,Hawaii,,Indiana St.
41,Nebraska,Nebraska,116.2723894,99.79464667,15.7,24.5,31.4,52.6,16.47774271,4.18907305,,Maryland,Maryland,,Nebraska
29,Villanova,Villanova,111.4895489,94.12836662,15.4,27.5,33.8,48.7,17.36118225,4.18887117,,Marshall,Marshall,,Villanova
36,Nevada,Nevada,112.5772634,96.03397453,13.5,30.1,30.9,52.9,16.54328886,4.124056202,,Indiana St.,Indiana St.,,Nevada
38,Utah St.,#N/A,113.6665803,97.27449194,15.5,31.5,28.2,58.7,16.39208836,3.9549239,,Alabama,Alabama,,Utah St.
31,Mississippi St.,#N/A,110.5511894,93.39372978,18.6,32.7,27,54.8,17.15745964,3.767800378,,Memphis,Memphis,,Mississippi St.
32,Florida,Florida,114.9085268,97.26213791,17.7,32.4,33.4,54.3,17.64638886,3.718297207,,Texas A&M,Texas A&M,,Florida
43,Cincinnati,Cincinnati,111.6202536,95.94122987,15.9,26,31,50.9,15.67902371,3.509004462,,Sacramento St.,Sacramento St.,,Cincinnati
49,Butler,Butler,115.9454236,101.3311474,14.8,23.6,31.7,54.2,14.61427627,3.311708523,,Minnesota,Minnesota,,Butler
39,TCU,#N/A,113.7337528,97.42318971,17.1,33.6,31,56.3,16.31056311,3.1440435,,North Dakota St.,North Dakota St.,,TCU
37,Colorado,Colorado,115.019832,98.29318587,19.9,29.8,34,55.3,16.7266461,3.01275412,,UTEP,UTEP,,Colorado
45,Texas,Texas,114.2949251,98.37033145,17.4,30.5,33.2,54.4,15.92459364,2.915052123,,Buffalo,Buffalo,,Texas
