,team,This matches from B to L,adjoe,adjde,TO%,FTR Def,3pD%,2p%,Adj_OtoD_Margin,gilgo_score,,Team,This matches from L to B,,This matches from B to L
171,Towson,Towson,102.0102238,102.9976106,20.4,31.8,32.7,44,-0.987386863,-8.298805986,,Hofstra,Hofstra,,Towson
192,Denver,Denver,111.2025435,114.1431425,13.7,29.2,37,48.6,-2.940598984,-8.32756538,,Texas St.,Texas St.,,Denver
172,Jacksonville St.,#N/A,99.1056778,100.2366202,20.8,35.1,30.1,49.2,-1.130942375,-8.398124849,,East Carolina,East Carolina,,Jacksonville St.
209,New Hampshire,New Hampshire,102.2136139,105.6824632,15.5,30.7,28.2,46.1,-3.468849297,-8.463448071,,Albany,Albany,,New Hampshire
200,La Salle,La Salle,107.9082388,111.0919889,14.6,29.9,35.5,48.8,-3.183750105,-8.566537564,,Bucknell,Bucknell,,La Salle
142,Stephen F. Austin,#N/A,99.51273864,97.19261402,23.9,50.5,34.4,50,2.320124622,-8.573673981,,Temple,Temple,,Stephen F. Austin
183,Utah Valley,#N/A,99.13251737,100.9795733,18.3,34.6,33.6,50.8,-1.847055952,-8.600204131,,Alcorn St.,Alcorn St.,,#N/A
208,Stony Brook,Stony Brook,105.5737559,109.1032336,16.5,23.4,37,47,-3.52947764,-8.662881361,,Northern Illinois,Northern Illinois,,Stony Brook
195,Cal Baptist,#N/A,100.7160698,103.489057,17.1,30.7,33.5,46.5,-2.772987206,-8.719772195,,Colgate,Colgate,,#N/A
197,UC Santa Barbara,UC Santa Barbara,104.2584107,107.248054,20.1,29.1,30.4,53.7,-2.989643301,-8.742332414,,Idaho,Idaho,,UC Santa Barbara
186,Wyoming,Wyoming,104.9085539,107.2962058,21.7,27.3,31.7,47.3,-2.387651884,-8.771617649,,Oregon,Oregon,,Wyoming
176,Tarleton St.,#N/A,102.3624586,103.6677454,19.4,37.3,33.5,47.7,-1.305286832,-8.791974967,,Wagner,Wagner,,#N/A
182,Merrimack,#N/A,96.36540106,98.02145405,20.4,36,32.7,52.3,-1.656052985,-8.850392321,,Troy,Troy,,#N/A
187,Cleveland St.,#N/A,105.6512576,108.0900405,16.4,37.8,31.5,45.2,-2.438782976,-8.941157615,,Holy Cross,Holy Cross,,Cleveland St.
206,Chattanooga,Chattanooga,104.1318122,107.5588895,17.9,29,34.5,54.2,-3.427077342,-8.943217179,,McNeese St.,McNeese St.,,Chattanooga
210,Northern Kentucky,#N/A,105.0385715,108.64436,17.7,27.3,34.6,51.6,-3.605788474,-8.945680969,,Florida Atlantic,Florida Atlantic,,#N/A
194,Saint Louis,Saint Louis,109.3696736,112.3116727,17.8,32.9,33.9,47.7,-2.941999069,-9.142169432,,Vanderbilt,Vanderbilt,,Saint Louis
217,Oral Roberts,Oral Roberts,106.776592,110.923006,14.1,30.1,35.6,47.1,-4.146413973,-9.147462524,,Texas Southern,Texas Southern,,Oral Roberts
193,Long Beach St.,#N/A,104.069335,106.841735,18.8,35.4,32.3,52.4,-2.772400003,-9.171464002,,Siena,Siena,,Long Beach St.
238,The Citadel,#N/A,101.3888157,106.8683835,17.8,20.5,30.6,48.7,-5.479567772,-9.236686341,,Niagara,Niagara,,The Citadel
211,Stetson,Stetson,110.9444692,114.7968827,18.3,28.8,33.2,50.8,-3.8524135,-9.249172235,,UC Santa Barbara,UC Santa Barbara,,Stetson
201,UAB,UAB,109.1179495,112.4287482,17.1,32.2,36,47.8,-3.310798682,-9.349087196,,George Mason,George Mason,,UAB
213,Vanderbilt,Vanderbilt,102.0053423,105.7289508,16.2,30.6,37.7,48.5,-3.723608474,-9.415101169,,UC Irvine,UC Irvine,,Vanderbilt
204,Georgia St.,#N/A,105.1000328,108.4399099,14.7,41.8,31.4,49.8,-3.339877063,-9.433225008,,Drexel,Drexel,,Georgia St.
196,Marist,Marist,98.03382984,100.8002854,19,39.5,30.6,52.1,-2.766455613,-9.457787924,,Mississippi St.,Mississippi St.,,Marist
170,Troy,Troy,101.8881966,102.8043662,20.9,41.4,35.6,44.3,-0.916169575,-9.459963441,,Fordham,Fordham,,Troy
198,East Tennessee St.,#N/A,100.5377962,103.4794986,17.9,38.9,31.5,46.2,-2.941702408,-9.572788469,,Gardner Webb,Gardner Webb,,East Tennessee St.
226,Columbia,Columbia,105.960695,110.6591895,17.5,28.7,31.7,48.2,-4.698494551,-9.579531676,,Air Force,Air Force,,Columbia
215,Northern Colorado,Northern Colorado,107.0094534,111.0695792,17,30.5,39.1,55.8,-4.060125761,-9.638426714,,Presbyterian,Presbyterian,,Northern Colorado
223,Northeastern,Northeastern,106.5510088,111.0383274,19.8,24.8,37,53.7,-4.487318645,-9.731464374,,Tennessee St.,Tennessee St.,,Northeastern
203,Sam Houston St.,#N/A,102.6472458,105.8432657,18,38,32.6,44.2,-3.196019936,-9.808572161,,Canisius,Canisius,,Sam Houston St.
212,Eastern Kentucky,Eastern Kentucky,104.5859777,108.3698773,17.5,28.1,42.3,46,-3.783899616,-9.879528766,,Miami OH,Miami OH,,Eastern Kentucky
216,Wofford,Wofford,106.2316829,110.2851842,16,36.7,36,53,-4.053501299,-9.882085792,,Valparaiso,Valparaiso,,Wofford
220,Northern Illinois,Northern Illinois,105.4165417,109.6549059,18.1,31,36.2,49.7,-4.238364119,-9.929702113,,Milwaukee,Milwaukee,,Northern Illinois
205,Mount St. Mary's,#N/A,101.97687,105.2592144,21.3,38,31.1,54.2,-3.282344413,-9.995630092,,Seton Hall,Seton Hall,,Mount St. Mary's
221,Gardner Webb,Gardner Webb,99.53503988,103.5921533,14.4,41.2,32.4,44.7,-4.057113429,-9.997239192,,Elon,Elon,,Gardner Webb
234,South Alabama,South Alabama,101.9531485,107.1030899,15.6,34.7,31.3,50.2,-5.14994137,-10.00471424,,Northwestern St.,Northwestern St.,,South Alabama
229,Illinois St.,#N/A,99.17654427,103.7879206,18.4,30.2,35.6,50.6,-4.611376342,-10.05783957,,Wisconsin,Wisconsin,,Illinois St.
189,Norfolk St.,#N/A,104.4434964,106.9555888,18.4,45.3,32.7,46.4,-2.512092437,-10.08312639,,UTSA,UTSA,,Norfolk St.
243,Tennessee Martin,#N/A,104.8301077,110.9515284,15.8,27.8,32.6,47.7,-6.121420753,-10.16476666,,James Madison,James Madison,,Tennessee Martin
199,Abilene Christian,#N/A,103.5220861,106.5532679,17.7,43.5,34,45.6,-3.031181746,-10.24187086,,FIU,FIU,,#N/A
202,Iona,Iona,101.9428786,105.0815505,16.5,44.7,35.2,47.7,-3.138671867,-10.25103984,,North Texas,North Texas,,Iona
230,Portland St.,#N/A,100.8029946,105.5661051,16.2,31.3,38.5,44.1,-4.763110464,-10.31064738,,UC Riverside,UC Riverside,,Portland St.
237,Louisville,Louisville,103.9108915,109.3833187,18,31.9,31.7,48.3,-5.472427299,-10.43183065,,Cal Poly,Cal Poly,,Louisville
242,Miami OH,Miami OH,103.9231771,109.8993227,17.6,32.6,29.6,51.3,-5.976145632,-10.47934884,,Louisiana Monroe,Louisiana Monroe,,Miami OH
225,San Diego,San Diego,100.6611983,105.116306,19.9,34.8,32.7,47.1,-4.455107672,-10.51761568,,Davidson,Davidson,,San Diego
244,Maine,Maine,97.96162625,103.7727493,16.4,33.8,32.7,51.4,-5.811123075,-10.53428508,,Rhode Island,Rhode Island,,Maine
231,North Dakota St.,#N/A,106.886795,112.0704653,16.1,31.7,40,49.3,-5.183670374,-10.55178893,,Oregon St.,Oregon St.,,North Dakota St.
224,Air Force,Air Force,100.101864,104.4790192,19.5,36.8,34.7,53.2,-4.377155221,-10.56686469,,Princeton,Princeton,,Air Force
222,Kennesaw St.,#N/A,103.8418445,108.1456318,16,44.4,33.3,51.8,-4.303787332,-10.57471027,,Southern,Southern,,Kennesaw St.
228,Green Bay,#N/A,101.9501916,106.6262141,20.8,35.3,32.1,53.5,-4.676022476,-10.61032371,,Austin Peay,Austin Peay,,#N/A
239,Fresno St.,#N/A,100.7540625,106.2691244,21.3,26.6,35,53.9,-5.515061873,-10.61268774,,Georgetown,Georgetown,,Fresno St.
233,Cal St. Fullerton,#N/A,98.89450567,103.8654733,19,33.5,33.1,46.1,-4.970967636,-10.62154026,,Navy,Navy,,#N/A
218,Pepperdine,Pepperdine,102.5763784,106.6277377,18.2,38.8,36.4,48.2,-4.051359372,-10.62272922,,LIU Brooklyn,LIU Brooklyn,,Pepperdine
227,Southern,Southern,97.44578544,101.77455,19.1,41.9,30.1,49.4,-4.328764531,-10.69299636,,Ball St.,Ball St.,,Southern
207,Fordham,Fordham,99.80184194,103.1169742,19.4,44.1,35.1,47.3,-3.315132228,-10.79378066,,Maryland Eastern Shore,Maryland Eastern Shore,,Fordham
240,Albany,Albany,101.8563473,107.566567,19.9,35.6,27.4,50.4,-5.710219771,-10.83503406,,North Florida,North Florida,,Albany
249,Rice,Rice,101.5258816,108.3191498,17.8,25.9,36.7,52.2,-6.793268267,-10.92594364,,Stephen F. Austin,Stephen F. Austin,,Rice
214,UT Arlington,#N/A,104.454032,108.31724,22.5,34.4,38.9,48.7,-3.863207958,-11.00395685,,Monmouth,Monmouth,,UT Arlington
250,Central Connecticut,#N/A,100.1204123,106.8707557,16.9,29.7,34.6,49.8,-6.750343482,-11.00785952,,Florida A&M,Florida A&M,,Central Connecticut
255,Southern Utah,Southern Utah,106.3982156,114.1704155,14.9,31.3,32.7,49.5,-7.772199922,-11.30179195,,Tennessee Tech,Tennessee Tech,,Southern Utah
248,Austin Peay,Austin Peay,99.08775643,105.5351249,15.3,40.1,30.1,44.1,-6.447368454,-11.33764476,,Pacific,Pacific,,Austin Peay
258,Middle Tennessee,#N/A,94.41123929,101.4605134,20.5,26.4,32.1,47.4,-7.049274116,-11.35845721,,Samford,Samford,,Middle Tennessee
232,Mercer,Mercer,101.3829726,106.337676,18.1,43.2,35,48.5,-4.954703428,-11.44736909,,San Francisco,San Francisco,,Mercer
262,Queens,#N/A,102.4139378,110.1879693,17.7,28.8,32.2,46.9,-7.774031527,-11.57755923,,Jacksonville St.,Jacksonville St.,,#N/A
264,Nebraska Omaha,#N/A,100.161695,108.0219313,16.3,32.4,31.5,48.5,-7.860236376,-11.62754419,,USC,USC,,#N/A
219,Saint Peter's,#N/A,95.97239796,99.77987975,21.6,47.8,31.2,42.9,-3.807481785,-11.62966389,,South Florida,South Florida,,Saint Peter's
246,Nicholls St.,#N/A,101.5331378,107.9931531,17.6,38.2,31.3,44.5,-6.460015292,-11.63810933,,Coastal Carolina,Coastal Carolina,,Nicholls St.
253,Southern Miss,#N/A,101.4699897,108.6209812,17,32.9,37,46.6,-7.150991517,-11.85625483,,Liberty,Liberty,,#N/A
260,Elon,#N/A,104.7367061,112.5883909,17.7,32.4,32.4,48.5,-7.85168482,-11.92952774,,North Carolina St.,North Carolina St.,,Elon
254,Binghamton,Binghamton,102.454494,109.7846726,18,32.8,37,50.6,-7.330178666,-12.00420899,,VMI,VMI,,Binghamton
256,Lehigh,Lehigh,98.91139392,106.2324813,17.1,33.8,38.4,50.4,-7.321087353,-12.05896329,,Northwestern,Northwestern,,Lehigh
245,Texas St.,#N/A,96.42102867,102.4404211,21.2,40.5,30,45.3,-6.019392475,-12.06117941,,Pittsburgh,Pittsburgh,,Texas St.
241,Jackson St.,#N/A,102.3908127,108.2338837,20,39.6,36.2,45.8,-5.843071015,-12.14887332,,Binghamton,Binghamton,,#N/A
247,Howard,Howard,106.2033675,113.1039707,20.4,36,34.1,49.9,-6.900603156,-12.23356793,,Nevada,Nevada,,Howard
266,American,#N/A,107.7656228,116.4122686,17.2,29.2,37.3,52.7,-8.646645829,-12.29725396,,Cornell,Cornell,,American
275,North Carolina Central,#N/A,98.60232341,107.068186,17,37.7,28.6,48.7,-8.465862581,-12.37212617,,Eastern Kentucky,Eastern Kentucky,,#N/A
274,Western Illinois,Western Illinois,97.46354244,105.7400652,21.2,28.6,30.7,45.5,-8.276522756,-12.37537888,,Illinois,Illinois,,Western Illinois
273,Portland,Portland,100.9932002,109.5069893,19.6,29.5,34.5,53.9,-8.5137891,-12.38746135,,Western Illinois,Western Illinois,,Portland
263,Montana St.,#N/A,98.39677673,106.1010638,17.2,41.6,31.3,51.9,-7.704287071,-12.42581511,,Loyola Chicago,Loyola Chicago,,Montana St.
252,Little Rock,#N/A,106.9881728,114.4426912,16.7,41.9,35,51.6,-7.454518386,-12.52250622,,Saint Peter's,Saint Peter's,,Little Rock
235,UTEP,#N/A,96.21103517,101.081185,21.9,52,31.9,49.4,-4.870149813,-12.58199139,,UMKC,UMKC,,UTEP
282,Bellarmine,#N/A,101.36272,110.6859376,17.1,28,34.9,45.9,-9.323217501,-12.59296268,,Cal St. Northridge,Cal St. Northridge,,#N/A
257,Milwaukee,#N/A,108.8148527,116.8723398,18.1,34.2,37.3,50.9,-8.057487093,-12.61056713,,Pepperdine,Pepperdine,,Milwaukee
261,North Alabama,#N/A,102.9570499,110.6950884,16.5,40.3,36.2,47.2,-7.738038492,-12.74025348,,Alabama St.,Alabama St.,,#N/A
265,North Florida,North Florida,102.9482288,111.0969916,17,38.1,36,47.3,-8.148762871,-12.85009535,,Iona,Iona,,North Florida
251,UMKC,UMKC,101.7113987,108.6439377,19.5,43.9,34.2,46.3,-6.932539038,-12.95649881,,Oakland,Oakland,,UMKC
269,Idaho,Idaho,102.0276608,110.3256796,16.4,38.5,37.8,49.2,-8.298018805,-12.96474147,,College of Charleston,College of Charleston,,Idaho
267,Robert Morris,Robert Morris,101.0876864,109.1992352,20.4,38.6,31.9,51.6,-8.111548799,-12.98834477,,Eastern Illinois,Eastern Illinois,,Robert Morris
271,Boston University,#N/A,96.45112202,104.418105,18.9,38.9,33.5,45.3,-7.96698295,-12.9932096,,Arkansas Pine Bluff,Arkansas Pine Bluff,,Boston University
279,UTSA,#N/A,104.3923564,113.9182227,16.2,34.9,34.1,46.9,-9.525866271,-13.11652843,,California,California,,UTSA
259,Utah Tech,#N/A,98.78029491,106.1756906,21.1,40.3,34,47,-7.395395712,-13.13404138,,Loyola Marymount,Loyola Marymount,,#N/A
281,DePaul,DePaul,99.30103407,108.4148154,19.8,30.5,36,47.6,-9.113781332,-13.18955661,,Sam Houston St.,Sam Houston St.,,DePaul
236,New Mexico St.,#N/A,100.8708882,106.1006618,21.1,56,34.6,48.4,-5.229773576,-13.28696188,,Northeastern,Northeastern,,New Mexico St.
289,Navy,Navy,94.76222221,104.2930093,16.9,40.8,28.2,45.2,-9.530787106,-13.36778013,,Penn,Penn,,Navy
280,Chicago St.,#N/A,97.92344694,106.909322,20.4,36.3,31.3,45.8,-8.985875055,-13.43263378,,UNC Greensboro,UNC Greensboro,,#N/A
268,FIU,#N/A,99.80921159,107.9089925,19.9,40.2,37,51.4,-8.099780946,-13.46076638,,William & Mary,William & Mary,,FIU
294,Eastern Michigan,Eastern Michigan,101.6412262,112.2264427,17.3,32,34.4,51.5,-10.58521658,-13.56238212,,The Citadel,The Citadel,,Eastern Michigan
292,Coastal Carolina,Coastal Carolina,103.1119358,113.7965003,18.8,30,33.1,51.5,-10.68456452,-13.58398436,,Oral Roberts,Oral Roberts,,Coastal Carolina
276,Texas Southern,Texas Southern,94.28491629,102.7256171,17.8,41.8,34.2,39.6,-8.440700822,-13.5955275,,Rice,Rice,,Texas Southern
278,New Orleans,#N/A,99.72632187,108.8034328,18.9,37.7,33.6,44.2,-9.077110971,-13.59918769,,Yale,Yale,,#N/A
285,SIU Edwardsville,#N/A,104.1027591,114.0331603,15.8,35.5,37,45.6,-9.930401185,-13.62319472,,Duquesne,Duquesne,,#N/A
284,Old Dominion,Old Dominion,99.72907484,109.2055298,15.9,38.5,37.8,48.1,-9.476454925,-13.6325875,,Dartmouth,Dartmouth,,Old Dominion
290,Brown,Brown,97.40774474,107.2997402,19.1,32.4,35.1,46.9,-9.891995445,-13.67331722,,Rider,Rider,,Brown
291,Sacred Heart,Sacred Heart,98.79422811,108.8871787,17.7,33.9,35.8,48.7,-10.09295058,-13.70294985,,Radford,Radford,,Sacred Heart
287,UC Riverside,UC Riverside,101.4990727,111.6186704,14.1,37.5,37.6,44.7,-10.11959766,-13.71500457,,Bethune Cookman,Bethune Cookman,,UC Riverside
296,North Dakota,#N/A,100.5916093,111.1584891,17,32.6,36.4,50.2,-10.56687985,-13.75589671,,DePaul,DePaul,,#N/A
270,Lamar,Lamar,104.1217664,112.7180903,18.2,43.6,35,47.1,-8.596323837,-13.76495754,,Manhattan,Manhattan,,Lamar
298,Niagara,Niagara,103.3271589,114.585245,17.5,28.3,34.8,48.6,-11.25808607,-13.7794825,,Santa Clara,Santa Clara,,Niagara
286,Ball St.,#N/A,102.8036464,113.0475806,20,29.3,36.4,49,-10.2439342,-13.79034986,,Central Connecticut,Central Connecticut,,Ball St.
302,Valparaiso,Valparaiso,96.5169131,107.7630985,17.3,29.3,33.7,44,-11.24618541,-13.8821231,,Syracuse,Syracuse,,Valparaiso
283,Rider,Rider,99.89304263,109.2463282,18.1,41.6,33.8,44.6,-9.353285575,-14.0019042,,Wofford,Wofford,,Rider
272,Tennessee St.,#N/A,101.4286212,109.8262049,19.7,45.5,35.1,48.8,-8.39758375,-14.03037609,,Detroit,Detroit,,Tennessee St.
288,Alabama St.,#N/A,95.8215399,105.4508731,15.8,43.3,33.5,39.7,-9.629333163,-14.06584323,,Fairfield,Fairfield,,Alabama St.
297,Idaho St.,#N/A,101.2782448,112.1858241,20.4,34.2,33.3,54.4,-10.90757925,-14.31052334,,South Carolina,South Carolina,,Idaho St.
307,Wagner,Wagner,94.860863,107.3405859,15.4,31.3,29.7,39.2,-12.47972288,-14.32638095,,Texas A&M Corpus Chris,Texas A&M Corpus Chris,,Wagner
295,Florida Gulf Coast,Florida Gulf Coast,101.8826129,112.503205,19.2,32.4,38.6,46.7,-10.62059205,-14.42056115,,South Alabama,South Alabama,,Florida Gulf Coast
299,Southeastern Louisiana,Southeastern Louisiana,97.95905428,108.7345547,21.2,30.9,35.3,44.7,-10.77550042,-14.50680526,,Saint Mary's,Saint Mary's,,Southeastern Louisiana
277,Texas A&M Corpus Chris,#N/A,96.79189281,105.5935264,18.6,53.9,30.2,45.7,-8.801633626,-14.57844651,,Vermont,Vermont,,Texas A&M Corpus Chris
301,Northern Arizona,Northern Arizona,98.3062509,109.2612196,19.1,41,31.3,49.8,-10.95496866,-14.73483089,,Harvard,Harvard,,Northern Arizona
300,Texas A&M Commerce,#N/A,96.70665687,107.4668788,18.5,41.1,34.5,48.9,-10.76022198,-14.80758541,,Western Kentucky,Western Kentucky,,#N/A
293,USC Upstate,#N/A,99.08591187,109.3775476,16.9,46.6,34.2,45.6,-10.29163574,-14.8421978,,Stony Brook,Stony Brook,,USC Upstate
305,Western Michigan,Western Michigan,100.7516423,112.7199305,19.9,30.3,36,50.2,-11.96828818,-14.85090579,,Brown,Brown,,Western Michigan
318,Dartmouth,Dartmouth,91.14967918,104.2228913,19.5,24.4,35.3,49.7,-13.07321209,-14.86505938,,New Hampshire,New Hampshire,,Dartmouth
315,Tennessee Tech,Tennessee Tech,97.18360172,110.837714,17.5,26.7,34.2,49.7,-13.65411229,-15.0104585,,Grambling State,#N/A,,Tennessee Tech
308,Central Michigan,Central Michigan,96.76392168,109.5189889,19.5,32.7,32.8,47.1,-12.7550672,-15.32504099,,Delaware State,#N/A,,Central Michigan
303,Cal St. Bakersfield,#N/A,99.94937078,111.7741816,17.2,40.4,37.4,47.1,-11.8248108,-15.45913459,,Quinnipiac,Quinnipiac,,#N/A
319,Lafayette,Lafayette,89.50298675,102.3610963,19.3,31.3,35.4,44.9,-12.85810953,-15.49739681,,Army,Army,,Lafayette
312,South Dakota,#N/A,101.2969505,114.8929689,19.3,26.4,36.8,48.1,-13.59601835,-15.50537119,,Coppin St,#N/A,,#N/A
306,Eastern Illinois,Eastern Illinois,96.71505174,108.4601322,18.8,39.2,35.7,42.8,-11.74508048,-15.56009909,,San Diego,San Diego,,Eastern Illinois
304,Delaware St.,#N/A,93.938982,105.06029,21.8,36.5,38.3,45.4,-11.12130799,-15.56114787,,Jackson State,#N/A,,#N/A
313,Bucknell,Bucknell,98.62173106,112.0992856,20.3,28.4,35.9,49.5,-13.47755455,-15.67410828,,Hartford,#N/A,,Bucknell
332,Campbell,Campbell,94.67364037,109.9163078,19.8,26.8,30.5,49.3,-15.24266741,-16.09122712,,Loyola Maryland,#N/A,,Campbell
329,Army,Army,90.79084782,104.7219875,19.9,33.7,32.2,45.5,-13.93113971,-16.20314522,,Morgan St.,Morgan St.,,Army
314,William & Mary,#N/A,104.2432865,118.7932256,16.3,34.3,38.1,53.4,-14.54993906,-16.26691283,,Robert Morris,Robert Morris,,William & Mary
316,Presbyterian,Presbyterian,98.59166159,112.4585866,17.1,41.6,33.1,52.9,-13.86692502,-16.28222426,,Prairie View AM,#N/A,,Presbyterian
336,Manhattan,Manhattan,92.69873224,108.2982486,19.5,25.7,32.8,44.8,-15.59951636,-16.47465498,,Columbia,Columbia,,Manhattan
311,Louisiana Monroe,Louisiana Monroe,95.65676356,108.4747021,20.3,42,34.4,44.4,-12.81793851,-16.57634249,,SE Missouri St.,#N/A,,Louisiana Monroe
335,Le Moyne,#N/A,96.8714031,113.0752592,17.2,26.9,33.7,46.7,-16.20385613,-16.58410224,,Cal St Fullerton,#N/A,,#N/A
317,Incarnate Word,#N/A,99.62200213,113.743314,21.1,37.2,32.5,47.2,-14.12131189,-16.82100025,,Maine,Maine,,#N/A
309,Jacksonville,Jacksonville,97.8761763,110.9112961,21.1,42,36.2,48.9,-13.03511977,-16.85222306,,Hampton,Hampton,,Jacksonville
324,Cal Poly,#N/A,94.98062207,108.8402154,18.1,44.3,36,44.7,-13.85959338,-17.17620196,,Murray St.,Murray St.,,Cal Poly
322,Grambling St.,#N/A,93.35515477,106.8784856,22,35.5,42,45.9,-13.5233308,-17.24748179,,Sacred Heart,Sacred Heart,,#N/A
326,NJIT,#N/A,97.73896311,112.2250234,18.5,41,36.3,46.5,-14.48606029,-17.28699678,,St Francis NY,#N/A,,#N/A
320,Sacramento St.,#N/A,95.82635887,109.685356,25.2,35.4,35.7,50.8,-13.85899717,-17.32948827,,Bryant,Bryant,,Sacramento St.
323,Alcorn St.,#N/A,101.5130798,116.2668178,16.7,40.7,39.3,44.2,-14.75373796,-17.42883016,,MD Baltimore Cty,#N/A,,Alcorn St.
327,UT Rio Grande Valley,#N/A,96.50588837,111.0904319,20.6,40.5,34.6,46.6,-14.58454356,-17.51412157,,Fairleigh Dickinson,Fairleigh Dickinson,,#N/A
334,Charleston Southern,Charleston Southern,97.30289137,113.2809928,19,34.2,35.3,44.1,-15.97810145,-17.63734188,,,,,Charleston Southern
321,Georgia Southern,Georgia Southern,101.1005137,115.7258192,20.3,41,36.8,46.9,-14.62530552,-17.70233637,,,,,Georgia Southern
310,Bethune Cookman,Bethune Cookman,95.86026285,108.6900457,21.4,50.3,37.6,47.3,-12.82978284,-17.71341753,,,,,Bethune Cookman
328,Central Arkansas,Central Arkansas,99.91857647,115.227227,19.5,36.6,38,43.9,-15.30865056,-17.75937684,,,,,Central Arkansas
331,Southern Indiana,#N/A,90.75831918,105.2206655,21,43.8,33.4,44.3,-14.46234636,-17.78833128,,,,,#N/A
339,North Carolina A&T,#N/A,101.2912639,119.0762756,14.1,31.6,38.4,46.5,-17.78501164,-17.8492571,,,,,North Carolina A&T
325,Florida A&M,#N/A,95.0800574,108.9747064,20.4,46.2,38.2,41.6,-13.89464895,-18.03063586,,,,,Florida A&M
338,Fairleigh Dickinson,Fairleigh Dickinson,98.94607834,116.2465198,17.4,34.1,35.4,47.7,-17.30044145,-18.06581929,,,,,Fairleigh Dickinson
340,Loyola MD,#N/A,93.22602439,109.9172587,21.1,32.5,34.2,47,-16.69123434,-18.09120295,,,,,#N/A
330,Prairie View A&M,#N/A,93.7730924,108.3584777,18.2,51.2,33.6,41,-14.58538529,-18.19988503,,,,,#N/A
341,UMBC,#N/A,101.1669379,119.3683905,19.2,31.1,32.5,50.7,-18.20145262,-18.3153361,,,,,#N/A
337,Hampton,Hampton,95.656282,112.2780441,20.6,38.7,35.7,47.5,-16.62176214,-18.6495249,,,,,Hampton
343,LIU Brooklyn,LIU Brooklyn,92.3281674,110.0156249,20.5,41.1,29.7,46.1,-17.68745748,-19.06919906,,,,,LIU Brooklyn
345,Buffalo,Buffalo,95.87292396,114.9868152,21.6,27.8,34.9,51.8,-19.11389121,-19.12557364,,,,,Buffalo
342,Lindenwood,#N/A,94.07308469,111.0343222,18.3,46.9,32.7,42.6,-16.96123753,-19.14390489,,,,,#N/A
350,Stonehill,#N/A,92.45921328,112.21706,19.3,27.8,35.4,45.2,-19.75784671,-19.36998649,,,,,#N/A
344,Arkansas Pine Bluff,Arkansas Pine Bluff,99.25496727,118.318168,17.2,33.6,38.4,44.8,-19.06320073,-19.38775245,,,,,Arkansas Pine Bluff
333,South Carolina St.,#N/A,98.18680037,114.2328068,20.4,49.3,36.6,42.9,-16.04600638,-19.46581389,,,,,South Carolina St.
348,Houston Christian,#N/A,92.39318148,112.079627,22.3,29.9,31.3,47,-19.68644548,-19.64478174,,,,,#N/A
349,Pacific,Pacific,93.77833468,113.781479,18.7,36.6,33.9,49,-20.00314432,-20.00761803,,,,,Pacific
352,Maryland Eastern Shore,#N/A,89.44324432,109.0413992,19,35.3,34.7,38.4,-19.59815492,-20.0714245,,,,,Maryland Eastern Shore
351,Holy Cross,Holy Cross,97.69051567,118.5898726,18.4,29.3,38.7,48.3,-20.89935692,-20.22635772,,,,,Holy Cross
346,Morgan St.,#N/A,95.53025797,115.1985754,20.6,39.1,34.7,45.7,-19.66831743,-20.51932363,,,,,Morgan St.
355,VMI,VMI,88.7481998,109.1720321,23.2,33.6,31.1,47,-20.4238323,-20.5757377,,,,,VMI
354,St. Francis PA,#N/A,92.06702259,113.1384055,22.8,32.4,34.6,45.4,-21.07138294,-21.1193436,,,,,St. Francis PA
357,Siena,Siena,89.69600267,110.8392914,24.2,28,37.5,46.1,-21.1432887,-21.19800611,,,,,Siena
353,Southeast Missouri St.,#N/A,92.20779748,112.490459,18.8,48.4,35.3,45.6,-20.28266147,-21.5122235,,,,,#N/A
358,IUPUI,#N/A,93.93502278,116.0930121,21.6,32,36.1,49.4,-22.15798928,-21.54317346,,,,,IUPUI
356,Northwestern St.,#N/A,94.32027614,116.3633716,20,37.6,34.5,44.6,-22.04309546,-21.74388823,,,,,Northwestern St.
347,Alabama A&M,#N/A,95.07068166,114.9300774,22.1,47.8,37.7,45.8,-19.85939575,-21.93833141,,,,,Alabama A&M
359,Detroit,Detroit,88.06332627,111.8520574,20.7,31.4,39,46.1,-23.78873117,-22.66162602,,,,,Detroit
360,Coppin St.,#N/A,81.85986614,105.5484651,23.8,33.1,33.2,42.1,-23.688599,-22.93629539,,,,,#N/A
361,Mississippi Valley St.,#N/A,87.47103629,115.4569648,26.1,39.2,36.3,40.9,-27.98592852,-26.7984164,,,,,Mississippi Valley St.
