,0
0,47.00148483050803
1,1.7975773761515796
2,2.6810534247733173
3,2.914420401618571
4,1.1086605241271457
5,15.360028510206988
6,2.506542948718547
7,31.45241848014033
8,18.968714641013932
9,2.375748741395128
10,2.4341079383019206
11,19.6685878219941
12,4.155141299188429
13,15.86230418085114
14,3.524796689536771
15,23.226080993216392
16,22.83308800231839
17,1.1527318646014209
18,16.926790564856162
19,1.6046856039406805
20,0.6189271947947077
21,12.196941868636266
22,3.75169129051271
23,21.687599978479973
24,23.918890138165708
25,0.2946209234065833
26,14.116115582012682
27,0.19963220973491502
28,5.504416975157824
29,11.514006070393577
30,2.323933777123237
31,17.928417658333572
