,0
0,26.425783220742552
1,1.7404171684421499
2,10.680028588107845
3,6.851455865437558
4,8.471724388334508
5,17.058176768220598
6,8.117644068892204
7,21.06510304188089
8,44.226813094938116
9,0.27433200260254864
10,3.6079772912653567
11,12.9055456362399
12,2.2949955193518434
13,10.722896818324188
14,8.65362293150993
15,11.763395604242803
16,30.6089224900416
17,0.295104440702346
18,0.2576737904017108
19,10.011612787853636
20,14.532933519331081
21,18.69647338945797
22,4.763559018701756
23,9.229399660830623
24,26.54372050366286
25,5.886327088521426
26,15.206042849284984
27,10.46085550699324
28,2.324570782432403
29,23.8642447227653
30,4.636972802200333
31,24.222001844162946
