,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
20,Kentucky,124.1,99.4,0.928,6–5,6,11,56,53.9,36.3,32.9,16.1,14.3,25.5,23.2,71.9,54.9,56.3,38.5,33.8,8.9,7.4,52.9,45.3,40,41.7,70.9,78.766,82.166,2.359,"2,025",0,0,46.39,,76.3,73.3,1.148,1.1,48.235,Kentucky
21,Georgia,120.7,96.7,0.928,5–5,5,10,51.4,50.9,38.4,34.1,16.8,15.7,32.6,33.1,68,51.5,50.7,34.1,34.1,15,9.1,43.4,54.6,36.4,42.8,66.8,78.779,81.864,1.396,"2,025",0,0,64.73,,72.1,69.5,1.095,1.1,51.103,Georgia
22,Louisville,116.9,93.8,0.926,9–1,9,10,57.9,46.6,32,24.2,17.4,18,26.8,28.3,69.6,58.8,47.6,37.8,30.2,6.8,6.7,48.9,42.3,42.4,42.2,70.1,77.95,81.12,2.555,"2,025",0,0,20.184,,77.5,67.6,1.15,0.963,17.636,Louisville
23,Purdue,129.9,104.7,0.923,4–5,4,9,58.2,56.4,27.2,40,15,13.5,31.5,26.4,66.5,56.4,64.1,40.7,30.8,3.6,9.2,51.1,57.3,40,43.2,65.2,77.055,80.651,1.48,"2,025",0,0,73.827,,76.1,69.2,1.198,1.162,47.358,Purdue
24,Xavier,118.2,95.6,0.92,8–1,8,9,56.6,54.4,34.7,22.9,15.7,19.3,20.9,19.9,70.1,55.5,56.4,39,34.4,6.1,7.3,65.9,57.3,37.1,42.1,71,77.006,80.423,2.523,"2,025",0,0,43.118,,83.4,67.5,1.137,1.007,22.912,Xavier
25,Iowa St.,114.2,92.4,0.92,6–5,6,11,51.3,48.9,41.8,33.8,19.7,22.6,28.4,31.3,68.1,49.9,49.7,35.7,31.6,10.1,11.3,58.8,50.8,40.6,38.7,67.9,77.799,81.04,2.408,"2,025",0,0,36.297,,77,75.4,1.045,0.985,41.375,Iowa St.
26,Colorado St.,123.7,100.2,0.919,8–2,8,10,59.1,51.3,35,34.8,17.5,16.2,30.6,24.4,64.7,55.1,50.1,43,35.6,8,8.3,61.6,50,41.7,36.5,65.5,76.87,79.227,2.034,"2,025",0,0,33.873,,80.2,67.6,1.208,1.035,27.681,Colorado St.
27,UC San Diego,119.4,96.8,0.918,10–0,10,10,58.7,44.9,27.2,25.1,11.3,23,25.2,29.4,66.6,55.7,43.8,40.9,31,7.1,7.5,62,51.6,52.8,41.4,65.8,77.477,78.918,2.444,"2,025",0,0,14.09,,72.7,80.6,1.221,0.915,10.695,UC San Diego
28,Santa Clara,119.1,97,0.914,6–3,6,9,58.8,47.4,28.3,33,15.9,17,31.2,21.5,71.2,52.9,50,43.4,28.9,8.9,11.3,62.6,57.4,47.8,39.4,70.5,78.415,81.554,2.442,"2,025",0,0,19.88,,72.8,76,1.204,0.97,20.033,Santa Clara
29,Kansas,114.9,93.8,0.912,5–6,5,11,52.6,47.7,26.1,26.6,18,14.8,26.5,29.6,69,53.3,48.5,34.3,31.1,12.6,12.1,62.2,51.4,35.8,42.2,69.1,77.952,82.004,2.517,"2,025",0,0,66.083,,66.7,72,1.039,1.034,48.096,Kansas
