,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
84,North Texas,108.2,99.7,0.719,7–3,7,10,52.3,45.7,32.5,39.3,16.8,16.7,28.9,28,60.1,52.4,48.6,34.7,26.5,7.2,9.3,48.3,40.8,38.3,33.3,59.7,77.09,80.706,2.75,"2,025",0,0,29.759,,78.7,75,1.092,1.004,12.36,North Texas
85,Yale,113.5,104.6,0.719,8–1,8,9,56.2,47.6,29.3,22.4,11.9,15.5,29.1,28.3,69,56.5,45.5,37.1,33.2,12.9,6.2,49.1,62.2,30.6,49.2,67.9,77.678,79.613,1.868,"2,025",0,0,9.585,,71.8,75.4,1.195,1.016,9.014,Yale
86,Saint Louis,113.6,104.7,0.719,5–4,5,9,57.1,50.5,20.4,22.3,18,13.9,24.8,26.6,66.3,57.4,46,37.9,37.9,7.7,12.4,56.5,55.6,51.7,41.9,66.4,76.875,80.274,2.242,"2,025",0,0,11.099,,73.6,68.8,1.097,1.066,19.561,Saint Louis
87,Minnesota,110.9,102.3,0.717,4–6,4,10,49.4,50.9,29.1,36.7,17.9,16,32.2,32.1,63.5,50.1,48.7,31.9,37.3,10.2,10.8,57.7,57.8,34.1,30.7,62.8,77.621,81.279,2.532,"2,025",0,0,41.39,,70.6,74.8,1.038,1.106,38.489,Minnesota
88,UC Irvine,109.3,101,0.713,8–2,8,10,53.3,47.9,37.4,24.8,18.2,18.6,28.4,27.6,67.7,53.2,42.2,35.7,38.8,9.1,7.8,58.8,56.3,36.5,35.5,68.3,76.603,80.403,1.838,"2,025",0,0,7.328,,79.9,76.4,1.1,0.984,9.361,UC Irvine
89,Georgetown,113.3,104.7,0.713,3–6,3,9,51,56.1,25.6,34.3,13.3,17.5,27.3,27.9,68.5,51,59.5,34,34.3,9.3,10.9,54.3,58,44.2,41.9,69.5,78.567,81.659,1.241,"2,025",0,0,67.848,,69.2,76.7,1.085,1.125,34.685,Georgetown
90,Florida Atlantic,112.9,104.4,0.711,6–4,6,10,55.3,45.4,32.5,32.2,17.5,13.7,31.2,30.9,68,54.7,45.6,37.5,30.1,13.6,8.4,55.9,46.2,41.9,30.3,68.2,77.493,81.405,1.76,"2,025",0,0,46.262,,71.5,80.8,1.128,1.056,14.967,Florida Atlantic
91,Troy,106.7,98.7,0.71,8–3,8,11,49.3,44.1,37.4,34.5,17.7,19.5,38.8,31,66.3,52.7,43.9,30.2,29.6,15.3,9.2,51.5,43.8,46,38.1,66.7,77.802,80.146,1.66,"2,025",0,0,0.2,,71.7,73,1.104,0.95,9.596,Troy
92,Nevada,113.1,104.7,0.708,5–5,5,10,54.1,52.5,35.6,39.5,12.3,19.8,17.6,27.2,65.3,59.2,50.7,30.1,36.5,11.7,6.7,55.2,63.9,36.5,44.9,65.7,78.834,81.338,2.328,"2,025",0,0,30.291,,72.3,70.8,1.101,1.043,23.533,Nevada
93,George Washington,107.5,99.7,0.704,5–5,5,10,50.1,49.5,37.2,22.3,19.8,20.2,32.4,32.7,65,52.6,49.4,30.7,33.1,9.1,13.5,54.2,56.4,38.1,41.7,64.9,77.701,80.831,1.513,"2,025",0,0,38.336,,68.5,72.2,1.04,1.002,17.463,George Washington
94,Nebraska Omaha,115.8,107.5,0.702,9–2,9,11,56.4,51.8,37.5,33.8,13.7,14,29.3,25.3,69.5,56.8,49.3,37.2,36.5,8.2,8.8,51.9,47.9,38.5,45.2,68.5,77.229,79.995,2.432,"2,025",0,0,0.2,,75.8,73.5,1.201,1.088,9.513,Nebraska Omaha
95,McNeese St.,112,104.1,0.699,9–1,9,10,54.1,49.3,30.9,22.6,15.7,21.2,36.2,28,65.4,51.9,47.6,39.1,34.1,11.8,8.6,52.1,53.7,33.3,46.6,65.5,76.815,78.906,2.509,"2,025",0,0,25.823,,67.2,71.2,1.166,0.969,6.922,McNeese St.
96,New Mexico St.,103.7,96.7,0.691,5–5,5,10,44,46.7,40,38,13.6,15.6,30.8,22.7,64.7,44.7,50.4,28.4,28.6,8.3,8.7,44,51.2,36.3,49.5,63.7,76.3,80.266,2.566,"2,025",0,0,2.519,,69.3,70.9,1.005,0.973,14.589,New Mexico St.
97,LSU,109.5,102.3,0.686,2–9,2,11,48.6,52.9,26.5,31.8,16.2,14.7,21.8,35.7,67,51,54.9,30.5,32.8,8.9,11.4,49,49.2,46.1,35,66.7,77.083,80.575,1.897,"2,025",0,0,58.039,,62.5,72.6,0.977,1.145,48.475,LSU
98,Arkansas St.,112.1,104.8,0.685,7–4,7,11,51,46.8,32.2,34.3,15.6,16.4,37.9,28.1,69.9,53.3,45.6,32.2,33,11.3,10.5,56.2,53.3,45.6,32.2,70.5,77.152,79.749,2.225,"2,025",0,0,35.571,,73.9,72.6,1.147,1.003,9.169,Arkansas St.
99,Grand Canyon,104,97.3,0.683,7–2,7,9,52.6,45.5,37.2,32.4,21.7,20.3,33.6,30.1,71.6,55.9,44.7,30.5,31.2,14,10.3,48.8,48.1,32.4,35,71.9,77.793,80.507,2.464,"2,025",0,0,26.74,,69.8,74.9,1.036,0.952,9.762,Grand Canyon
100,Northern Iowa,107.1,100.4,0.678,7–3,7,10,53.4,50.4,34,25,15.7,16.3,26.5,23.9,64.8,52.4,46.6,36.8,37.3,9.3,8.7,53.1,40.2,35.1,40.5,65.7,78.009,80.571,1.936,"2,025",0,0,14.052,,66.8,68.1,1.086,1.012,12.841,Northern Iowa
101,Utah Valley,108.9,102.1,0.677,8–1,8,9,52.9,43.5,46.4,30.7,15.9,17.2,29.6,28.9,68.4,51,40.7,37.9,33.3,14.3,11.7,60.6,48.1,31.9,30,67.8,78.049,80.751,1.511,"2,025",0,0,2.636,,65.4,71.7,1.1,0.945,8.467,Utah Valley
102,George Mason,104.3,97.8,0.677,8–2,8,10,50.8,49.2,38.1,33.6,18.9,19.7,27,27.2,64.4,46.8,51.7,38.6,31.1,11.8,12.1,49.1,54.1,35.7,49.3,64.4,77.521,80.671,2.591,"2,025",0,0,30.374,,70.9,68.3,1.016,0.996,19.926,George Mason
103,UNC Wilmington,114.4,107.4,0.674,8–2,8,10,56.1,52,31.3,26.1,17.2,16.3,36.3,25.7,65.2,56.6,49.2,36.7,37.1,12.2,8.1,56.5,49,32.3,43.1,65.4,77.624,80.482,2.558,"2,025",0,0,0.2,,74.7,67.3,1.181,1.047,7.906,UNC Wilmington
104,Kent St.,115.6,108.7,0.67,8–2,8,10,55,49.9,35.2,36,18.8,16.3,41.2,29.6,68.5,53.7,50.4,38.5,32.8,9,8.2,46.7,52.4,32.7,39.2,67.1,75.381,79.219,2.387,"2,025",0,0,0.2,,80.5,79.5,1.191,1.082,9.467,Kent St.
105,Northern Colorado,112.5,105.8,0.67,9–2,9,11,60,49.4,36.1,32.4,15.9,15.2,23.7,21.7,68.7,56.3,48.1,43.7,35.1,5.7,9.9,52.9,35.6,40.2,29.9,69.6,76.956,79.66,2.474,"2,025",0,0,0.2,,70.5,74.5,1.172,1.024,6.222,Northern Colorado
106,Furman,111.4,104.8,0.669,8–3,8,11,55.9,47.7,39.8,24.8,16.5,15.3,28.6,30.1,66.9,51.4,47.2,40.1,32.2,9,11.1,64.1,47.3,52.1,39.6,66.8,77.849,81.437,2.038,"2,025",0,0,4.156,,70.3,75.7,1.15,1.034,10.465,Furman
107,Montana,115,108.3,0.666,9–1,9,10,60.9,49.7,42.1,31.7,16.4,15.2,22.4,27.2,65.7,61.3,50.1,40,32.7,8.3,7.1,48.6,41.3,34.2,35,66.4,76.561,78.54,2.14,"2,025",0,0,0.2,,75.3,67.8,1.177,1.048,7.918,Montana
108,UAB,120,113.3,0.659,7–3,7,10,50.8,54.9,29.1,29.7,11.8,15.1,39,31.9,67.7,49.9,54.8,35.7,36.8,12.3,7.7,51.8,48.3,26.2,30.5,68,76.608,80.463,2.715,"2,025",0,0,4.646,,76.3,68.9,1.194,1.148,12.941,UAB
109,South Alabama,111.2,105,0.659,7–3,7,10,51.2,50.8,40.8,24.2,13.4,20,30.4,32.8,63.3,54.3,50.2,30.6,34.1,9.3,10.3,46.3,71.8,36.8,59.6,62.8,75.958,78.38,2.281,"2,025",0,0,23.227,,72.4,67.6,1.129,1.04,11.805,South Alabama
110,Lipscomb,115,109.1,0.647,11–1,11,12,59.2,49.6,35.2,21.9,12,13.5,21,23.5,65.8,57,51.8,40.8,30.3,7.5,11.1,51.6,37,52,34.9,66.1,76.309,80.035,2.583,"2,025",0,0,0.2,,85.3,72.8,1.227,1.04,5.919,Lipscomb
111,Seattle,101.6,96.4,0.647,5–4,5,9,44,46.4,44.8,43.5,14.8,25.4,30,26.6,66.1,43.5,46.9,29.8,30.3,12.3,13.3,51.8,55.8,35.8,38.8,65.7,76.725,80.187,2.147,"2,025",0,0,18.633,,69,77.3,1.008,0.902,8.646,Seattle
112,UCF,112.2,106.5,0.646,3–8,3,11,47.6,52.9,34.6,32,17.9,17.4,32.7,33,73.6,50.2,57.1,29.1,31.2,12.2,10.5,47.2,56.9,40.1,40.1,73.3,78.003,81.863,2.003,"2,025",0,0,51.864,,78.9,73.5,1.037,1.113,36.564,UCF
113,Providence,111.7,106.3,0.639,1–9,1,10,53.8,54.3,25,32.1,19.5,14.5,26.8,29.4,68.3,49.2,51.2,39.5,39.2,8.1,8.6,57.8,58.2,45.2,41.5,68.2,77.124,79.998,1.695,"2,025",0,0,65.728,,63.6,77.4,1.033,1.156,38.625,Providence
114,Kennesaw St.,106.2,101.1,0.638,6–4,6,10,51.1,48.4,38.3,50.4,20,16.2,28,22.1,69.6,52,49.8,33.3,30.7,10.9,13.4,55,46.7,46.1,37.7,69.4,77.401,79.821,1.349,"2,025",0,0,7.204,,73.6,69.5,1.036,1,15.208,Kennesaw St.
115,Winthrop,111.3,106,0.637,9–2,9,11,57.4,51.8,41.4,32.9,18.1,16.7,31.4,28.1,73.9,55.3,51.4,40.5,34.9,8,8.6,50.6,45.5,38.4,37.4,73.6,77.079,79.654,2.408,"2,025",0,0,5.755,,68.4,72.8,1.156,1.068,8.093,Winthrop
116,Cal St. Northridge,112.4,107.1,0.635,8–2,8,10,52.6,50.4,35.3,40.8,18.3,19.4,36.6,27.2,72.2,50.9,45.6,37.6,37,7.8,7.6,60.1,61.5,30.4,47.9,72.1,77.364,79.363,2.464,"2,025",0,0,28.793,,78.1,77,1.142,1.032,11.391,Cal St. Northridge
117,Wofford,112.5,107.5,0.628,7–4,7,11,52.7,49.7,36.1,37,16,16.1,37.5,25.7,64.7,53.5,52.4,34.5,30.7,8.9,7.8,50.7,43.4,48,43.2,64.8,76.151,79.156,2.085,"2,025",0,0,0.2,,69.7,67.7,1.161,1.029,6.601,Wofford
118,Duquesne,108.4,103.6,0.627,4–6,4,10,50.7,52.9,32.6,39.5,18.3,21.8,32.7,29.2,66,53.3,51.8,31.6,36.6,11.9,10.3,56.8,49.6,43.8,36.2,66.4,76.823,80.152,2.084,"2,025",0,0,0.2,,67.2,73.4,1.053,1.037,18.588,Duquesne
119,Belmont,110.6,105.8,0.625,7–4,7,11,54.8,52,23,28.6,15.9,18.7,24.5,31.9,68.2,50.4,53.4,40.1,33.5,9.7,10.7,62.8,57.6,44.7,42,69.9,78.105,80.895,2.04,"2,025",0,0,13.381,,66.9,71,1.094,1.061,12.633,Belmont
120,Florida St.,106.7,102.1,0.624,4–6,4,10,49.5,50.5,39.3,34.1,18,16.6,27.8,32.7,68.7,51.4,50.4,30.5,33.8,10.9,8,45.7,54.4,34.1,39.8,69.4,79.206,82.025,1.51,"2,025",0,0,52.239,,72.2,77.3,1.017,1.105,36.077,Florida St.
121,Sam Houston St.,110.9,106.3,0.619,5–5,5,10,53.3,50.5,38.1,29.8,18.9,17.1,26.3,29.2,67.1,47.9,47.2,41,36.6,10.2,9.8,46.9,45.5,39.4,42.5,67.2,76.493,80.28,2.168,"2,025",0,0,7.01,,75.1,73.6,1.056,1.066,16.019,Sam Houston St.
122,Hampton,107.2,102.9,0.616,7–4,7,11,50.5,48.1,28.5,42.6,15.2,18.5,35,26.7,64,49.6,51.3,34.6,27,6,8.6,38,44,35.6,29.1,65.8,76.592,79.39,1.804,"2,025",0,0,11.307,,68.1,75.3,1.096,1.012,9.101,Hampton
123,St. Thomas,112.9,108.4,0.615,7–4,7,11,56.7,53.8,35.2,34.3,12.4,19.2,21.1,28.4,68.3,57.8,54.1,36.9,35.7,9.2,10.1,52.7,46.1,47.4,41.7,67.8,76.395,79.186,1.794,"2,025",0,0,5.92,,78.1,79.5,1.166,1.099,8.308,St. Thomas
124,Jacksonville St.,107.1,102.9,0.613,6–4,6,10,47.9,48.5,29.8,33.3,15.1,15.1,27.9,25.6,65.2,47.1,48.4,32.8,32.4,12,8.6,39.3,49,38.9,37.8,64.8,77.775,80.712,2.005,"2,025",0,0,0.2,,77.7,70.2,1.046,1.016,15.838,Jacksonville St.
125,Radford,112.2,107.9,0.611,6–4,6,10,54.3,51.3,43.9,36.4,16.2,16.8,29.5,30.2,62.8,53.7,48.2,36.9,38.5,7,6.1,42.6,37.1,36.5,32.6,62.1,77.509,80.532,2.551,"2,025",0,0,9.896,,79.1,72.7,1.157,1.083,8.485,Radford
126,Robert Morris,107.3,103.2,0.61,8–1,8,9,56.8,48.9,35.4,23.3,18.3,18.4,34.2,29.1,66.9,58.7,48.5,35.9,33,11.6,8.2,63.1,49.6,39,34.2,66.9,76.677,79.537,1.887,"2,025",0,0,0.2,,69.5,73,1.147,0.996,6.338,Robert Morris
127,Bradley,111.6,107.4,0.609,8–4,8,12,56.1,49.9,29.9,36.2,16.1,14.4,25.5,27.5,63.7,52.9,46,40.5,36.9,11.7,8.9,50.5,55.7,40.9,42.4,65.6,76.823,81.281,2.329,"2,025",0,0,1.302,,68.9,71.4,1.111,1.083,15.989,Bradley
128,Middle Tennessee,110.1,106,0.607,7–3,7,10,50.9,49.3,34.6,26.6,16.1,14.3,30.5,26.2,69.2,53,46.4,32,36.3,11.5,8.9,52.5,46.8,41.7,35.7,69,77.203,80.598,2.45,"2,025",0,0,11.075,,68.1,72.3,1.07,1.048,15.326,Middle Tennessee
129,Stanford,104.8,100.9,0.607,4–6,4,10,45.6,51.2,23.7,37.1,17.4,16.7,30.1,30.2,65.9,45,48.6,31.1,37.3,10,6,52.4,45.7,40.1,34.9,65.9,78.66,82.485,1.76,"2,025",0,0,42.225,,82,73.2,0.985,1.086,33.888,Stanford
130,Abilene Christian,100.8,97.1,0.606,7–2,7,9,49.2,47.4,34.8,45.1,19.2,26.4,29.6,35.2,71.9,48.5,50.9,34.1,26,8,12.5,50.4,48.4,23.2,29.6,71.2,77.328,79.616,1.819,"2,025",0,0,16.651,,76.8,64.6,1.012,0.932,6.536,Abilene Christian
131,Wichita St.,105.2,101.4,0.604,7–3,7,10,47,48.1,35.5,29,17.5,14,38,24.8,66.4,49.5,50.6,26.4,28.9,11.4,10.6,37.1,46.1,25,34.6,66.6,76.839,80.171,2.803,"2,025",0,0,25.325,,73.3,69.6,1.056,1.019,15.018,Wichita St.
132,Pittsburgh,111.6,107.6,0.603,3–8,3,11,49.3,55.7,36.7,38.9,15.4,17.9,30,27.9,64.9,48.3,53.8,33.7,38.8,11.6,8.5,53.9,60.8,42.6,44,65.1,78.131,82.016,1.863,"2,025",0,0,38.066,,76.9,75.1,1.089,1.12,28.893,Pittsburgh
133,Portland,114.2,110.3,0.599,5–4,5,9,55.2,52.6,26.7,18.4,14.1,12.8,21.5,28.9,68.7,53.7,52.7,38.1,35,6.8,9.4,61.3,52.3,43.7,38.9,68.6,78.769,82.191,1.308,"2,025",0,0,2.689,,78,81.3,1.123,1.13,16.717,Portland
134,UC Santa Barbara,113.1,109.3,0.597,6–4,6,10,58.1,50.4,29.6,32.8,17.5,18.3,25.6,30.4,68.1,52.9,52.9,42.7,30.4,9.2,6.1,59,44.6,46.7,33.8,67.4,77.832,80.735,2.483,"2,025",0,0,25.955,,78.2,81.9,1.139,1.076,11.813,UC Santa Barbara
135,Chattanooga,119.2,115.2,0.597,10–1,10,11,58.7,50.6,33.1,32.7,13.5,16.8,27.5,34.3,66,56.9,49.3,40.6,34.9,12.3,7.1,58.9,44.2,44.1,43,65.9,76.216,80.203,2.293,"2,025",0,0,0.2,,77.5,72.7,1.231,1.091,8.553,Chattanooga
136,South Carolina St.,106.3,102.8,0.595,8–1,8,9,54.3,46.7,48.6,40.3,20.6,25,43.2,35.7,71.5,52.7,48,38.2,29.3,8.2,6,60.7,56,33.8,32.2,70.6,77.255,79.804,1.842,"2,025",0,0,0.2,,74.6,72.2,1.154,0.962,3.875,South Carolina St.
137,Washington,113.1,109.5,0.592,3–8,3,11,52.7,58.5,30.3,38.2,18,14.5,25.3,27.1,66.7,49.6,55.1,38.7,42.4,11,9.7,49.6,55.3,36.4,39.7,66.5,77.896,80.754,2.047,"2,025",0,0,32.957,,71.7,76.7,1.047,1.205,36.601,Washington
138,Towson,111.7,108.3,0.588,9–1,9,10,51.5,51.5,24.9,26.3,12.8,17.6,37,28.4,63.1,48.6,51.1,37.2,34.7,10.6,9.8,43.7,46.3,39.4,39.5,64,77.199,79.704,1.969,"2,025",0,0,2.032,,71.5,68.1,1.162,1.048,6.08,Towson
139,Miami OH,106.3,103.3,0.582,8–3,8,11,54.6,48.2,27.8,33.5,17.5,19.1,27.4,31.9,70.5,51.6,50.1,38.9,29.7,9,8.9,62.1,45.4,44.4,33.8,69.8,77.371,80.53,1.132,"2,025",0,0,19.226,,70.8,73.2,1.093,1.013,6.541,Miami OH
140,UC Riverside,113.6,110.4,0.581,7–3,7,10,51.7,50.9,29.7,33.8,14.5,16.8,35,28.9,68.5,50.8,50.1,35.2,34.7,6.1,7.3,46.6,44.6,43.4,38.3,67.4,77.096,81.3,1.532,"2,025",0,0,0.2,,81.3,77.9,1.154,1.084,11.219,UC Riverside
141,California,108.4,105.4,0.58,2–8,2,10,45.3,54.2,37.6,35.4,15.4,16.1,31.6,25.7,68,44.2,50.5,31.3,41.8,10,9.6,43.5,40.6,38.9,30.2,68.2,76.917,80.284,1.856,"2,025",0,0,42.769,,73.9,76.9,1.04,1.105,32.573,California
142,DePaul,107.9,105,0.578,3–6,3,9,51,51.9,20.8,27.8,16.5,15.3,23.8,31.8,66.6,55.4,53.2,30.3,33,11.5,7,56.3,52.2,45.1,35.1,66.8,77.158,80.052,2.056,"2,025",0,0,38.1,,72.2,72.5,1.012,1.108,34.273,DePaul
143,Notre Dame,107.7,105,0.573,4–7,4,11,49.7,52.9,36.7,33.9,17.6,15.1,29.2,27,65.2,50.1,56.7,32.6,31.1,4.7,7.6,42.5,50.7,37,37.8,65.3,77.498,81.235,1.85,"2,025",0,0,57.224,,72.3,77.6,1.035,1.115,26.13,Notre Dame
144,UTSA,106.2,103.6,0.571,3–7,3,10,49.8,51.1,28.6,48.7,15.4,22.4,27.1,34.1,68.7,47.4,52,35.1,33.2,9.6,14.6,45.5,54.9,45.6,36.7,69.5,76.455,79.639,2.36,"2,025",0,0,4.818,,74.6,73,1.053,1.043,13.386,UTSA
145,Vermont,107.4,104.8,0.57,10–0,10,10,55.6,46.5,28,23.5,15.7,13.7,28.9,24.4,61.8,55.6,45.3,37,32.2,15.9,11.5,49.6,47.1,42,41,61.2,77.711,79.717,2.32,"2,025",0,0,0.731,,68.9,69.2,1.139,0.979,3.924,Vermont
146,St. Bonaventure,102.2,99.8,0.568,5–4,5,9,48.8,51,26.3,27.8,16.1,20.2,23,28.7,66.4,53.2,55.6,26.9,30.4,7.8,10.3,42.8,60,34.1,46,65.5,78.276,80.998,1.42,"2,025",0,0,16.374,,73.5,71.2,0.982,1.019,15.755,St. Bonaventure
147,Cornell,112.7,110.2,0.564,5–4,5,9,57.1,53.7,24.6,29.8,15.4,15.6,26.5,26.2,72.7,57.1,57.7,38.1,32.1,5.6,8.7,63.3,58.9,51.2,42.2,72.4,77.014,79.599,2.025,"2,025",0,0,2.877,,76.3,65.9,1.146,1.088,11.468,Cornell
148,Bucknell,110.7,108.4,0.56,9–2,9,11,60.4,49.8,37.3,39.2,17.7,14.8,28.3,22.8,66.4,60.3,46.6,40.4,36.1,10.6,8.4,51.4,50.8,36.8,42.9,67.5,76.594,80.691,2.139,"2,025",0,0,0.2,,67.7,68.3,1.172,1.026,3.44,Bucknell
149,Akron,112.9,110.6,0.559,9–1,9,10,57.4,50.5,27.3,34.1,16.5,15.4,32.8,29.1,71.6,61.1,54,35,30,9.3,4.8,58.2,41.1,42.7,38.5,71.5,75.082,77.539,2.378,"2,025",0,0,16.319,,72.9,71.9,1.171,1.078,6.362,Akron
150,Drexel,106.9,104.8,0.557,6–5,6,11,54.5,49.1,25.7,26.6,18.1,14.8,30.1,32.1,62.4,52.7,48.6,38.4,33.3,12.3,8.4,49.3,48.6,36.9,36.9,62.5,77.628,79.438,1.607,"2,025",0,0,0.2,,68.6,60.8,1.094,1.046,8.402,Drexel
151,Southeast Missouri St.,103.4,101.4,0.556,9–2,9,11,53.6,44.9,27.7,37.9,15.5,19.7,23.8,26.4,68.9,53.9,46.1,35.3,27.9,9.9,9.3,47,37.8,36.3,27,69.4,75.531,79.478,2.02,"2,025",0,0,4.131,,73.4,74,1.065,0.938,4.76,Southeast Missouri St.
152,Illinois St.,111.6,109.5,0.554,6–5,6,11,55.4,54.2,28.1,33.2,15.6,17.1,23.2,25.8,66.6,58.4,53,34.8,37.5,7,9.1,57.2,50.2,48.1,38.5,67.4,76.17,79.309,1.789,"2,025",0,0,1.811,,74,75.5,1.107,1.097,12.425,Illinois St.
153,Lamar,104.8,103,0.55,7–3,7,10,49.6,48,27,32.8,19.1,18,35.9,30.1,64.3,45.7,47.5,38.1,32.4,14.1,9.7,57.3,58,33.7,40.2,64.9,77.048,81.082,2.387,"2,025",0,0,0.2,,71.6,64.8,1.059,0.994,8.286,Lamar
154,Portland St.,99.4,97.7,0.549,6–4,6,10,49.4,47.1,34.4,33.2,18.4,20.1,33.9,29.9,66.9,50.1,50.6,31.6,28,13.9,8.6,42.1,49.4,27.3,40.4,67.7,77.743,80.001,2.693,"2,025",0,0,9.286,,61.8,71.9,1.026,0.971,7.178,Portland St.
155,Louisiana Tech,106.4,104.7,0.546,5–5,5,10,51.2,48,36.1,37.2,18,15,25.4,25.9,64.7,49.2,45,36,35.8,9.2,10.7,57.9,43,42.9,35,64.1,76.96,80.096,1.84,"2,025",0,0,46.843,,78.3,72.2,1.046,1.033,15.567,Louisiana Tech
156,Marshall,109.4,107.8,0.542,7–3,7,10,49.9,47.6,28.7,42.9,15,14.4,33.9,28.1,67.9,50.1,48.3,33.1,30.8,18,7.8,55.4,36.5,37.4,31.9,69.3,77.267,79.726,2.587,"2,025",0,0,4.118,,69.1,70.2,1.099,1.042,9.557,Marshall
157,Texas A&M Corpus Chris,105.1,103.7,0.539,6–5,6,11,52.5,48.1,32.4,36.5,18.4,18.7,31.6,30.5,64.8,54.1,45.2,32.6,35.5,9,12.3,53.7,53.8,31.1,36.1,65.3,77.099,80.019,2.084,"2,025",0,0,6.984,,65.6,69,1.064,1.008,9.925,Texas A&M Corpus Chris
158,Indiana St.,113.6,112.1,0.538,4–6,4,10,55.4,53.5,34.6,38.5,15.7,13.2,24,25.5,70.3,55,53.5,37.3,35.6,6.5,13.8,60.4,53.1,47.3,37.5,71.3,77.469,79.566,1.625,"2,025",0,0,0.2,,77,72.4,1.14,1.121,15.325,Indiana St.
159,Rice,111.9,110.5,0.536,2–8,2,10,49.4,51.2,41,31.4,14.9,11.8,32.6,31.1,65.3,46.8,49.7,36,35.8,7.8,13.5,50.2,55.4,35.9,35.6,65.2,77.571,80.653,2.393,"2,025",0,0,17.235,,68.1,71.1,1.098,1.138,16.145,Rice
160,N.C. State,106.6,105.5,0.53,3–8,3,11,46.5,53.9,29.7,34.9,14.2,16.1,26.9,29.1,67.3,44.1,52.3,33.2,38.5,7.7,8.5,54.1,46.8,42.2,28.9,67.1,76.861,79.817,2.541,"2,025",0,0,55.802,,75.1,77.8,1.013,1.127,28.269,N.C. State
161,Eastern Kentucky,112.6,111.5,0.528,7–3,7,10,54.1,51.6,23.5,32.1,12.7,16.4,31.2,31.3,66.3,50,52.5,39.6,33.2,7.7,5.3,49.1,47.5,43.1,34.7,66.1,76.782,79.742,1.822,"2,025",0,0,8.128,,78.2,70.7,1.181,1.077,7.619,Eastern Kentucky
162,Oregon St.,116.1,115.1,0.525,4–5,4,9,51.7,55,43.5,32.7,15.6,13.3,34,27.8,63.3,51.6,50.8,34.6,41.2,6.6,9,53.6,59.3,32.6,38.2,63.2,77.765,80.955,1.9,"2,025",0,0,0.609,,78.8,76.9,1.155,1.162,19.963,Oregon St.
163,Cal Poly,107.6,106.8,0.521,6–4,6,10,57.1,51.1,25,28.3,18.9,20.4,25.4,31.9,75.9,58,54.6,37.6,30.9,6,7.5,48.5,47.9,54,43.2,76.2,76.424,77.879,2.096,"2,025",0,0,1.954,,80.6,74.7,1.119,1.032,10.693,Cal Poly
164,Northern Kentucky,112.6,111.9,0.518,8–3,8,11,55.2,52.8,29.9,33.4,14.9,18.3,31.1,32.2,68.4,53.9,53.1,38.2,34.9,8.8,7.8,52.7,53.7,38.4,39.8,68.5,77.398,79.493,2.373,"2,025",0,0,8.079,,69.2,77,1.153,1.092,8.534,Northern Kentucky
165,Harvard,104.9,104.5,0.511,5–4,5,9,51.1,54.4,21.9,22.3,15.6,17.9,21.9,27.1,65.6,52.6,58.1,32.3,31.6,6.9,7,55.4,46,36.6,34.6,63.9,76.634,78.17,1.305,"2,025",0,0,26.556,,82.3,72.8,1.037,1.069,10.054,Harvard
166,Nicholls St.,109.2,108.8,0.511,7–3,7,10,51.3,49.7,35.9,28.6,13.1,17.4,30.9,29.2,67,48.4,50,37.4,32.7,8.8,11.1,41.7,45.3,36.6,36.7,67.5,76.467,79.347,2.613,"2,025",0,0,6.858,,66.5,67.5,1.115,1.033,7.144,Nicholls St.
167,Missouri St.,100.9,100.6,0.509,2–8,2,10,52.2,53.1,29.7,33.7,22.2,18.8,30.6,24.9,64.3,51.8,55.4,35.3,33.3,12.1,10.4,51,59.8,35.6,42.7,65,75.802,77.624,1.724,"2,025",0,0,0.2,,62.8,68.6,0.995,1.035,14.166,Missouri St.
168,Tulane,109.4,109.2,0.505,7–3,7,10,54,50.3,33.8,26.8,15.8,15.3,26.3,31.6,65.3,55.6,48.8,34.2,34.7,13.6,9.9,49,57.4,37.1,44,66.2,78.368,80.134,1.155,"2,025",0,0,59.696,,75.5,75.3,1.111,1.088,12.438,Tulane
169,Idaho St.,110.4,110.3,0.503,6–4,6,10,49.9,55.7,33.4,30.3,12.2,17.6,35,24.8,66.3,49.5,54.4,33.8,38.5,10.6,7.9,46.1,47.3,35.1,37.6,66.9,77.832,80.5,2.102,"2,025",0,0,0.2,,75.4,68.5,1.144,1.085,7.452,Idaho St.
170,Queens,109.6,109.7,0.497,6–5,6,11,55.1,51.6,36,30.8,16.2,15.5,29.2,27.3,66.3,52.7,48.9,38.9,37.7,13.8,9,58,47.1,41.7,35.2,67,77.9,80.646,2.112,"2,025",0,0,8.048,,73,77.9,1.137,1.092,10.085,Queens
171,Washington St.,111.3,111.5,0.495,4–6,4,10,55.4,53.4,27.6,37.1,18.9,16.1,27.6,36.4,71.6,56.3,52.1,36.1,36.8,13.2,7.4,58.5,55.2,40.8,39.5,71.2,78.372,81.713,1.656,"2,025",0,0,4.198,,65.6,76.7,1.065,1.18,27.94,Washington St.
