,0
0,27.188087843408624
1,2.6864628363140426
2,2.1680107033176483
3,2.164311810849817
4,7.482817192369822
5,7.643599628761031
6,8.026418799799679
7,15.32338837052432
8,35.55156531535572
9,1.6754462624784878
10,2.6808645348430815
11,16.5694018644164
12,2.113626687852978
13,9.066183746553726
14,1.1156610190160734
15,8.947995095448803
16,33.357898361776186
17,6.621108922761479
18,1.666261913604302
19,4.6936535631916385
20,3.046470318248076
21,13.493753217178927
22,4.188374711016408
23,5.818135818046073
24,20.496613593400546
25,3.957693355628173
26,7.68894489939067
27,7.723529272591037
28,1.7251499254184282
29,15.282537209926872
30,7.291380761544531
31,15.277205428333872
